,Recent headlines and conversations for CSCO,Polarity
0,"If china had paid us ,say 1.9T, that would have covered some of the LOSSbutthat is not the case",0.4898
1,mars1 minute agoTrump will be impeached.So you couldn’t prove collusion now we’re back to impeachment Snicker When will he be impeached??I need a date ?? Demrats are a jokeThank you trump for maga,-0.298
2,7 Trillion in 4 Years! Wow!,0.6405
3,this reminds me when Microsoft was treading water in the 60s range to then explode. I know Cisco is no Microsoft but still.,0.1728
4,Brette honey - you ok Tiger?Three weeks and the Trump shutdown continues....((((((HILLARY!!!!!))),0.5839
5,Dave43 seconds agoI'M OUT OF HERE... GOING TO SPEND SOME OF THAT MONEY JOE MADE MElolyour shift at walmart starts in an hour,0.8731
6,MAGA,0.0
7,"As the World turns, the Demtird Party is standing still.",0.3551
8,"Wow, who would have thought, another disappointing report from this one. Ole No growth Cisco at it again.",0.6108
9,"The pride and joy of Obama, every city should like his pride and joy and to think he want 11 million of these dead beats more. https://www.youtube.com/watch?v=61FtMLt_Jek",0.8984
10,dow greener than kev's envy of Joe's great job,0.5031
11,Hey Mares!!! WOKE THIS!!! Guess what I am pointing at Twinkie!!!,0.6553
12,"ANDERSON POOPER IS A LAUGHING STOCK !CNN slammed for asking about Ellen, but not climate change, at Democratic debate/",0.668
13,"$CSCO $WIMI $AMZN The market is most afraid of uncertainty, when there is uncertainty, first fell to respect, no matter whether the real occurrence of bad news, anyway, first fell again, if it is bad, then fell right, if not sure, there is no expected bad, then rise back, anyway what is not delayed.",-0.86
14,nasdaq down 10% since joe stole the election top economists warned this would happen,0.4428
15,"The electric-car revolutions needs more plugsAn urgent need for reliable charging stations.Bradley Wilkinson, owner of a 2017 Chevy Bolt, recent road trip from Tampa, Fla to Fort Carson, Colo took 58 hours. In a gas powered vehicle, the 1,900 mile trip would take about 30 hrs. With the Chevy Bolt the trip took the additional 28 hrs due to ‘power up time’ needed to ‘fast’ charge his batteries.Unintended consequences of going ‘green’",0.5656
16,Sorry folks I have to go. Three dots on the right!!! You know the drill. IT WORKS!!!,0.4176
17,Will the stock market rally when Joe raises taxes and kills American Jobs?,0.1161
18,Some people never learn.Snicker.Dow green.,0.198
19,FINALLY the oblama administration is going to be held accountable it will be constant news and indictments up until TRUMPS LANDSLIDE VICTORY,0.7601
20,"David Cameron believed Barack Obama, a man with whom he appeared to share a warm and respectful relationship that even verged on a so-called bromance, was one of the “most narcissistic, self-absorbed people” he ever met, according to the ex-Prime Minister’s former strategy chief.Steve Hilton, who was one of the former Premier’s closest advisers until they parted ways over his support for Brexit and tougher immigration laws, said the former president “thought he was smarter than everyone”.Discussing the fall out triggered by the publication of Michael Wolff’s book Fire and Fury: Inside the Trump White House, which claims many of Donald Trump’s top aides believe he is mentally unfit to be President, Mr Hilton claimed Mr Trump was being attacked for his assault upon national and international elites.“My old boss, former British prime minister David Cameron, thought Obama was one of the most narcissistic, self-absorbed people he’d ever dealt with,” Mr Hilton said.“Obama never listened to anyone, always thought he was smarter than every expert in the room, and treated every meeting as an opportunity to lecture everyone else. This led to real-world disasters, like Syria and the rise of Isis.”He said for the world’s elites, such problems were not an issue as they existed within their own bubble.“For them, it’s all about style and tone, not substance and results. Donald Trump offends the elites aesthetically, like a piece of art that’s not to their taste,” he said.“They can afford to do that because they live in a world of booming neighbourhoods, delightful hipster eateries and everyone they know employed in the virtual world of the knowledge economy. They don’t see what’s going on in the actual economy.”",0.9686
21,"Futures trading should be left to people who are reality based, not screaming twinks.Cheers and look for a green nasdaq again today.Snooker. Lol.",0.0782
22,they are calling joe the tech wreckhe's a 48 year career failure,0.1596
23,Cult didn’t go to college Hence the reason she always says no one else went,0.2004
24,what are tomorrow's dow futures ? ROTFLMAO,0.6872
25,"Anyone can be wrong once in a while ,I supposebuthow does mario do it many times PER DAY??",0.3974
26,Now the Dims are going to pay the PIPER (Barr).,0.2236
27,Cuomo says no one should bow to cancel culture I hope all republicans remember that statement,0.099
28,"James BondJames Bond7 minutes agodo you really have kids, or are they like the faux employeesYes wreekie i have 3 kids And I stuck around and raised them Snicker",0.1802
29,"whose moronic idea was it to ""fundamentally change"" the greatest country on earth??a guy who couldn't change ""KENYAN BORN,RAISED IN INDONESIA"" FOR 16 YEARSnowhe says he considered being gayAFTERthe left insisted it is NOT A CHOICELOL",0.6225
30,LMAO - Rashida Tlaib boos Hillary Clinton at Bernie Sanders event in Iowahttps://www.foxnews.com/politics/rashida-tlaib-boos-hillary-clinton-at-bernie-sanders-event-in-iowa,0.7153
31,"Keep your friends close, and your enemies closer!",-0.0951
32,Maybe someone should have checked this dotards qualifications.,0.3227
33,Yeah baby Look at those nasdaq futures Joe is being referred to as The tech wreck,0.6445
34,"Rasmussen (verb): To inflate bad results to make oneself feel or appear better.e.g. ""I got 52% on my math test, Mom. I've been Rasmussened!""",-0.64
35,Economists think coronavirus could push unemployment above Great Depression levels.https://www.businessinsider.com/economic-outlook-coronavirus-labor-market-unemployment-rapid-recovery-recession-experts-2020-4,-0.0525
36,Nasdaq back over 14k,-0.049
37,waiting for this to cross 50 today !!!!!!!! Its been a while,0.5085
38,"by Mary L Trump, PHDgreat so far",0.181
39,This does not negate the facts!,-0.3621
40,This company consistently finds ways to disappoint. It did it again today.,0.3958
41,The pirates of Nassau were your proto-demsstealin' is fun and profitable,0.7355
42,America is built on immigration of childrenIt has always been what America is about.,0.126
43,This is dead company. 40 is reality.,-0.7004
44,Well then I will not respond to you Hot Pockets.,0.2458
45,"The very secret, “'strictly OFF-THE-RECORD' and not to be printed or reproduced by/for media"" document was produced by the Republican Study Committee to offer “messaging guidance” on the Republican Party's ""pro-life platform.""",0.7424
