,Recent headlines and conversations for CSCO,Polarity
0,"Wall Street experts agree Joe will destroy the stock market,",0.5223
1,I think old age is already in the process of impeaching Joe from the earth.,0.5725
2,James Hewitt had red hair and dated Diana.,-0.1622
3,"Coca Cola Confirms Training Employees To ""Try To Be Less White""maybe smoke more pot?",0.0217
4,LIbtirds are the leading cause of ignorance.,-0.0774
5,Don't we need to believe Tara Reade?,0.037
6,Ron desantis told Joe I will not call you president and you can GFY lmao Millions are moving to Florida,0.9334
7,Ebery body knows what da abbreviations stand for Mares!!! UH HUH!,-0.573
8,A photo of Texas republiCONs fleeing the state has been found....,0.1469
9,It's great having a sane person in charge.markets going to all time highs IMOmaga.,0.6286
10,All the talk about $2k checks made dems vote for barabbas again,0.4528
11,Mares is two lips come bubble. Ebertime Mares losing here he/she becomes two lips come bubble.,-0.622
12,Remember the true definition of socialism I want what you have but I don’t want to work for it Maga,0.4705
13,"WILLUM HEARTS BOBBIENeed a get out of jail card? Contact Rudy, get your checkbook ready.",0.396
14,To whine about 5 deaths when 15 were killed in just chicongo this week and 719 last year seems lopsided when never mentioned once,-0.6693
15,Socialism Is the philosophy of failure The creed of ignorance And the gospel of envyIt’s inherent virtue is the equal sharing of misery Winston Churchill,-0.668
16,Nasdaq is weak today - but it's taking off again next week IMOit's what professional traders call a 'buying opHappy trading!,0.7631
17,Futures dropping faster than home bois caught in a drive by,0.4092
18,"mario37 seconds agoIn any case - you should research the markets - Obama ended the Great Bush Recession.It was a type of miracle really.Some people downplay this success - but the doesnt diminish it.ok now admit that the fed had to bail obama out, you downplay it but it doesn't diminish it",0.3405
19,Some of us are old enough to remember Iran taking all the people in our embassy hostage. Iran is not our friend!!!,0.7629
20,What does race have to do with MMT?,0.5346
21,Wacko gates says the south will disappear if we don’t go to windmill energy,-0.6357
22,President Biden’s Air Force 1 will not be available for awhile. It needs a complete overhaul from all the weekend trips to Mara Lago.,-0.4647
23,Fled Cruz and No Can Do AbbotNice sauce,-0.3506
24,https://scontent.faus1-1.fna.fbcdn.net/v/t1.0-9/161999086_2272140986253259_5612485923888121205_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8bfeb9&_nc_ohc=nKYYiJrWhVgAX-XHrmM&_nc_ht=scontent.faus1-1.fna&oh=8fffd4ae8e63a5cde736a4d111130d5e&oe=60775EDC,0.0
25,Chamber of Commerce slams GOP effort to challenge Democracy,-0.2619
26,"CY1 hour agoKO says try to be less white, rodneysodo a carjacking ,holdup, or drive by tonightCy don’t forget you also need to blame white e for your failures and beat ya hoe every night",-0.2393
27,"When Joe's term is over, America will be no more",-0.449
28,Anonymous3 minutes agoWhy do we need Joe? We could have hired some high school kid to rubber stamp executive orders all day.joe has the mentality of a high school kid is that the same thing ????,0.8614
29,There goes licorice!!! Forevuh!!!,0.3748
30,There are startling similarities between the implosion of the GOP and the demise of the Soviet Union: conservative professor,-0.3158
31,CRE will crash again bringing the whole market down with it.,-0.5727
32,Minneapolis Hiring Social Media Influencers to Spread City-Approved Narrative During George Floyd Trial. Unbelievable!,0.7623
33,S&P is up 18% since Joe’s Election,0.214
34,you know... electric companies didnt leave coal because natural gas was cleaner... they left coal because gas is one hell of a lot more efficient and cheaperthose gas turbines reburn the exhaust ... they capture every btu....and they are almost instantaneous... so they can fire up a new turbine during peak loads...and shut it down ... coal doesnt work that way they sure didnt do it out of a concern for the environment,0.0615
35,Ted Cruz never looked so good as he did today,0.4759
36,Is that RumpRaider or RumpRider!!!,-0.2274
37,Texas conservatives leaders and activists are furious with the Republican leadership of the state who have been spending their time pointing fingers and trying to spread blame as Texans are freezing in their homes after the state's power grid collapsed.,-0.4979
38,Kev- seriously you are talking about people with multi id's?,0.4317
39,We all know where that stimulus money went to. Straight up Hunters nose.,0.0229
40,The Office of the Non President.,0.2147
41,csco making a strong move in a down mktis that why blob hitz so hangry?,0.3071
42,Day 31 and 50 Million doses of vaccine have been administered. Way ahead of Joe’s promised 100 Million in the first 100 days! BBB,0.8371
43,You would rather have Cuomo make a fist for you eh Mares?,0.5591
44,"Andrew Cuomo's actions show failure to exercise 'the necessary self-control', Democrat lawmaker says",-0.5072
45,The infamous Capitol riot is still under investigation. Elements of the media narrative of an “armed insurrection” that led to the alleged murder of officer Brian Sicknick are being debunked and quietly retracted.Many Americans disapproved of an outgoing president holding a massive rally about alleged voter fraud in a highly polarized climate. But evidence has not yet suggested — as the media once insisted — that Sicknick was assaulted and murdered by a rioter.,-0.9606
46,Do poor people have the right to reproduce all they want and be a burden on society?This will have to be addressed,-0.6746
47,tech s dropping because REAL traders dont see a future for our country with joe in charge lock him up,0.7672
48,We could see 6% GDP in the second half. Don’t be left behind.,-0.4282
49,Those stimmy checks not helping the market much Snicker,0.3952
50,I heard a Deceptocrat claim that the stimulus money was just coming back from the taxes you paidwaitkids didn't pay any taxes,0.3982
51,Nasty Nan is holding your relief at Ransom for PORK!!! Again!!!,0.5237
52,Hahaha just a dead cat bounce today!,0.1
53,nasdaq futures already 50 points off their days high joe is a failure,0.4332
54,Folks in W.Va don't lock their doors at nightthe colluds know what happens when they try them,0.1927
55,"Come on MAGA, Cheer up! An additional 4 Million Vaccine doses could ship tomorrow, after the FDA’s approval. Things are looking good. Green shoots!",0.9619
56,GOP reps. introduce ‘OMAR Act’ to crackdown on lawmakers who channel campaign funds to spousewhat about waters and her daughter?,0.3155
57,"Earnings: 79 cents per share, adjusted, vs. 76 cents per share as expected by analysts, according to Refinitiv. Revenue: $11.96 billion, vs. $11.92 billion as expected by analysts, according to Refinitiv.",0.6706
58,gulf states sure could use some of that glo bull warming right now,0.523
59,"Ron is right. Walmart, Cabelas, Hobby Lobby, Bass Pro, and Chick Fil-a will be packed next week",0.1888
60,Joe: I'm not joking folks... I'm gonna bail out blue states with progressive fail policies so that they can continue to progressively fail.,-0.3687
61,Stimulus Fever! Shoppers have caught it! They’ll be knocking down the doors!,-0.4986
62,Kamala Harris is standing by. Ready anytime MAGA wants.,0.2687
63,Being an obese ward of the state I doubt if you are worried about staying warm FAT Mattress Stain!!!,0.2559
64,"Pro_gre$$_ives threaten support for COVID-19 relief package if Dems drop $I5 minimum wage hike----------------------------------------------------yes pass it....the ""new democrats' coming in want good wages....and the wife and I want our $1,500and we'll send the future bill to the Pro-gre$$_ives",0.8342
65,If He Is Gone Why Are You So Worried? Scared Are YA!!! GOOD!,0.5422
66,Joe is just getting started with his lies!!! Just wait and see!!!,0.6943
67,"csco is a good trade .... while I was rushing back to America from sunny Cancun, AOC raised $1 million for the people of Texaswow that makes me mad.... who does she think she is",0.882
68,"Stock futures were down big time last night when the republican candidates in Georgia were leading but now that the democrats have secured one of the two senate seats and on the verge of securing the other, the stock futures have come back nicely. Its a relief to wall street to see that we are finally going to get some sanity back in our government.",0.9702
69,"Hey if companies continue to have their employees working from home , the big brother can't watch them doing the personal stuff like stock trading and getting house projects taken care of. It will be interesting how long this working from home last and how many days companies allow an employee to work from home. Sweet deal for folks for now including the governmental folks.",0.9754
70,"mario really has a unique way of agreeing with us, doesn't he?",0.406
71,Votes don't count. The people who count the votes are in charge. WE LOSE!,-0.4673
72,Another Sat night and dems ain't got nobodythey got no money cause they got not skillsoh how they wish they at least got impeachmentthey're in an awful way,-0.0848
73,Can’t wait for $15 min wage. Now I can finally get laid off at Walmart and collect unemployment!,-0.293
74,what is happening with the investigation into Cisco?,-0.1926
75,Joe gotta go.,0.5847
76,"Why did Texas buy Cheap, Chinese made Windmills? Next time it should be American Made",0.5197
77,Joe said the inner city kids love to rub his hairy legs in the pool. This is the leader of the free world?,0.9568
78,Mares what exactly do you want justice for ???We’d all like to hear this answer ??,0.8799
79,Nanzi overheard asking Schumer when they’re going to pop the implant capsule they put in Joes head.,0.0195
80,"""George, the report said no collusion."" June 16 (ABC interview)From the report: ""We understood coordination to require an agreement -- tacit or express -- between the Trump Campaign and the Russian government on election interference. That requires more than the two parties taking actions that were informed by or responsive to the other's actions or interests. We applied the term coordination in that sense when stating in the report that the investigation did not establish that the Trump Campaign coordinated with the Russian government in its election interference activities",0.7569
81,another nice move for csco stock thank you Joe,0.8933
82,"The flow of immigrants across our southern border has already reached crisis levels.The new POTUS calls it a ""challenge"".- Thy Willby Dunn",-0.4064
83,Did Pat Robertson sign 50 executive orders last week like a dictator?,0.482
84,43 here we come again. To get this stock to move you have to make the Robbins fly away. Overpays for everything and then gives poor guidance. Sounds like a CEO of a competitor. Dead money.,-0.3094
85,"Can I get my $1,400 stimulus payments in BYTE-KOIN?Major Corps are now offering the KOIN for payments....getting ready for the end of the US doll-are maybe...",0.2852
86,"The flow of immigrants across our southern border has already reached crisis levels.Whitehouse officials calls it a ""challenge"". Our CIC is in the basement, napping- Thy Willby Dunn",-0.5078
87,There has never been a market this good evah!,0.6353
88,"......multiple legal problems facing former President Donald Trump, and she said that Trump should be particularly worried about efforts to flip longtime Trump Organization Chief Financial Officer Allen Weisselberg.....",-0.6417
89,"If Libtirds would lay off the tofu and soy milk, they might become normal again.",0.1725
90,the market loved his speech real traders know he is still president,0.6235
91,Will it get to 42?,-0.0731
92,"My Id's over the years Mario, Mars and MaresGosh did I confuse you old timers?Derp.",-0.2071
93,Ya just never know where we will show up Chip.....,0.29
94,"As with everything else, our CIC is absolutely clueless about the crisis he created on our southern border.- Thy Willby Dunn",-0.5619
95,Just loving' the all time high marketsGood time to buy,0.7774
96,"I will say this. Donalds best work was in 'Home Alone 2""",0.6363
97,Joe says we need a Ghey’er America. All Dims agree.,0.7381
98,THANKYOU INTENSELY YAHOO!!!,0.3949
99,"CSCO can milk the customer base a little longer but enterprise sales will crater as there is no next thing. Not a 5G player. WebEx is a disaster with RNG, MSFT & ZM far ahead—that’s what the take away is. $40 by Friday",-0.6437
