,Recent headlines and conversations for DAL,Polarity
0,"Stay out of politics , you can lose half your customers overnight",-0.2333
1,I sure hope DAL is hedging fuel cost contracts at these prices. That should mean a giant profit in the near future if they can lock in the savings and the travel industry picks back up.,0.9171
2,Delta must have the oldest stewardesses of all the airlines. I was on a flight to Los Angeles and the lady working 1st Class had to be 80!,-0.1948
3,shorts getting crushed time for em to cover,-0.3581
4,Best airline in the world.,0.6228
5,"Lots of people still reacting with fear. Larger airlines will NOT go under, just won't happen. We've hit the bottom, its time to either hold or secure a position and hold. Yes, there could be a dip after Monday, but in any case get in or get gone. This is going to double, maybe triple in 3 years.",0.859
6,i love watching shorts lose everything,0.4121
7,"Last chance to get in at 22, with TSA volume ticking up every day youMight miss it",0.4193
8,"Delta Air Lines Bought an Oil Refinery. It Didn’t Go as Planned.https://www.nytimes.com/2020/08/10/business/energy-environment/delta-oil-refinery-jet-fuel.htmlDelta’s foray into oil refining illustrates some of the reasons the business was in trouble even before the pandemic.Today, airlines and refineries face their biggest crises in modern times. Tens of millions of people are working from home, and the number of people flying is down about 75 percent from a year ago. Delta’s refinery, Monroe Energy, has been one of many casualties in an industry that is working well below capacity, idling plants and losing money.Monroe, in Trainer, Pa., lost $114 million in the second quarter, and its future appears bleak. In 2018, Delta announced that it was interested in finding a partner to jointly own and operate it, but it never found any takers.“The refinery may not even be a live albatross,” said Tom Kloza, global head of energy analysis at Oil Price Information Service. “We don’t see jet fuel becoming a marquee moneymaker for refiners again until the middle of the decade, if then.”“It’s a refinery that could shut down if nobody wants to buy it,” said John Auers, executive vice president of Turner Mason & Company, an energy consulting firm. “I don’t think Delta is interested in running it longer term. It didn’t play out as they thought it would.”",0.9609
9,Loaded up at $18!,0.1238
10,I haven't seen a tv commercial from Atl based Delta watching Super Bowl. What's up with that?!,0.7141
11,Wheel's Up! The captain will let you know when it's safe to move about the cabin.Enjoy the ride.,0.8245
12,"To every stock churn churn churn, there is a reason churn churn churn, and a time for every stock to go back up. That time is now.",0.6573
13,"Revenue up 22% yoy, earnings up 29% yoy, upcoming dividend and good cashflow. I don't really get why you'd sell now instead of after the dividend.",0.907
14,30 look like a good bottom,0.5116
15,"I always do the opposite of what Cramer says. When he telling people to stay away from any oil company, i bought solid names and i'm up more than 30% right now. Always have a long term vision and do your own diligence. GL.",0.9255
16,"airlines and hotels are dead and its not reflected in the pricefundamental even if demands ever recovers to pre pandemic levels the billions of dollars of lost revenues and accumulated losses will never be recovered unless the government loans are forgiven. Logical outcome is bankruptcy and réorganisation, but than again what's logical .",-0.4974
17,DAL is the best airlines to own...... period!,0.6793
18,"can believe dal is down , they're certain to beat on both top and bottom",0.3768
19,"Fuel cost was 25% higher as reported, but fuel costs have come way down now. I bought in 47.50 today, looking for a rebound. DAL is still beaten down from Dec. GL.",0.4527
20,Just flew drone ATL to Kansas City- got upgraded to 1st class!,0.3322
21,CFO sticking around is good news.,0.5563
22,"I bought Friday and I'm not sure if I should take the money and run. This is crazy, I don't want to be greedy but how much more upside could there be?",0.5761
23,iT will $30 in next 3 weeks with the rising TSA numbers and opening of economy.,0.3333
24,ER DOESNT MATTER. EVERYONE KNOWS ITS GOING TO BE A DISASTER. WE ARE BUYING THE FUTURE.,0.0465
25,Nice 500 shares in before the news,0.6486
26,To all me followers short $DAL and buy $PG,-0.3896
27,"From what I gathered, WB feels that taking over 50% loss by selling DAL and investing that cash into different companies will double or tripple his investment than the probablilty of DAL rising to $50-60 in the near future. He knows that the airlines industry will take a long time to recover from this! I sure agree with him.",0.9421
28,Up 21% and will add more on my next paycheck,0.3767
29,"Earnings report in 24 hours for the months of april, may, june. People run for the hills.",0.4282
30,Big recovery. Will see a good day tomorrow lots of buyers here,0.5503
31,Dont wait to load up guysYou've seen the bottomYou might end up chasing the flightTake care,0.8347
32,Could someone clarify to me that 70% of grant will not be payable in the future by airlines companies ?,0.4616
33,Negative earnings until 2022! $DAL impossible for them or $MGM to survive without filing bankruptcy unfortunately :(,-0.8723
34,Great American stock . I’m in at 500 shares . See you later !,0.8361
35,This trading range is all about the slow building of a base leading eventually to the next plateau in the $35-37 range.,0.5158
36,"DAL underperforming so far today, all other US based airlines are up along with Jets ETF and the XAL ACRA index. I'm looking for recovery above 51 later today.",0.5625
37,Flights here... Flights there... Flights everywhere!!! TravelWar is getting booked all the way to summer of 2023.... Airlines heading to triple digits....#AAL #UAL #BA #LUV #JBLU #DAL #JET #MESA #ALK #SKYW #HA #^DJI #^IXIC,0.4205
38,I’m in a Sizable short position at $37 entry. Thoughts anyone? I don’t have a lot of money to lose and don’t want my margin getting called if I dip below. My thoughts are this will dip to 30 and I can exit but maybe not with holiday travel and vaccine speculation driving it up? Any advice is appreciated.,0.9701
39,interesting... they waited after the election to announce the vaccine ...,0.7904
40,Sadly Delta has filed bankruptcy ;(,-0.631
41,"I'm a buyer at 27, look at the chart! Certainly not buying at these levels!",0.5643
42,only green stock in pre markets today....BULLISH,0.4611
43,Delta cashburn breakeven is when travel demand reach back to the 35% to 40% level. Currently sitting at 28% from the 5% low in March.,0.4506
44,Bless trump... make airplanes great again!! 2020,0.8292
45,"hydroxychloroquine works. Recent VA was not even clinical research by a doctor funded by Gilead. Also, hcq patients were sicker. Major outlets were pumping negative stories on HCQ.but they dont report costa rica's death rates which is lowest in yhe world even though they use HCQ.This means REMDESIVIR and vaccine approval is near whether HCQ work or not. remember the oval office hot mic? they were vaccinated?it is coming soon and it will be all over",0.8951
46,Does anyone have a link to listen to the earnings call? I can't find it anywhere?,0.4979
47,Yes keep buying Jerome,0.6442
