,Recent headlines and conversations for DAL,Polarity
0,BRIEF-India's Poona Dal and Oil Industries June-qtr profit rises,0.3244
1,Delta (DAL) to Begin Direct Flights to Croatia This Summer,0.1451
2,"Turismo, Germania pronta a riaprire a Ue dal 15 giugno, per Di Maio è D-Day europeo",0.0346
3,Soccer-Group of Serie A clubs demand resignation of league boss Dal Pino,-0.3162
4,BRIEF-Cad It appoints Giulia Dal Cortivo CEO,0.2218
5,BRIEF-Yong Pyong Resort changes CEO to Shin Dal Soon,0.2106
6,BRIEF-Poona Dal and Oil Industries Dec qtr profit falls,0.5048
7,Delta Air Lines (DAL) Dips More Than Broader Markets: What You Should Know,-0.1755
8,BRIEF-Beni Stabili appoints Alexei Dal Pastro general manager,-0.047
9,BRIEF-Cad It Appoints CEO Paolo Dal Cortivo Also Chairman,0.2789
10,UPDATE 1-Soccer-Group of Serie A clubs demand resignation of league boss Dal Pino,-0.4641
11,AGENDA-Appuntamenti dal 24 al 29 dicembre,0.0087
