,Recent headlines and conversations for DIS,Polarity
0,What Disney's Q2 Earnings Say About fuboTV,0.1835
1,Your selfies at Disney World are about to get a lot more magical,0.1799
2,"Cloverfields Capital Group, Lp Buys The Walt Disney Co, Black Knight Inc, Shattuck Labs Inc, ...",0.4373
3,Better Buy: Disney vs. Peloton,0.4746
4,"UPDATE 2-S.Africa's Dis-Chem lifts profit, withholds dividend as eyes acquisitions",0.4274
5,2 'Strong Buy' Growth Stocks for Investors to Add at Big Discounts,0.829
6,Disney And Chevron Lead The Dow Jones Higher Friday,0.0629
7,"Andreas Halvorsen Sells Disney, Buys Bank of America",-0.0803
8,This 1 Comment From Discovery's CEO Should Terrify Cable Companies,-0.1516
9,South Africa's Dis-Chem sales rise on preventative healthcare demand,-0.4754
10,Disney+ a Disappointment in Q1 and Maybe for All of 2021,-0.4378
11,Discovery-WarnerMedia Merger to Rev Up Streaming Competition,0.1805
12,Is Disney Stock a Buy After Its Fiscal Q2 Earnings?,0.2388
13,"Ergoteles LLC Buys The Walt Disney Co, Exxon Mobil Corp, HMS Holdings Corp, Sells Tiffany, ...",0.3606
14,"UPDATE 1-S.Africa's Dis-Chem to buy Medicare Health, take stakes in two software firms",-0.0361
15,"Beaton Management Co. Inc. Buys The Toronto-Dominion Bank, The Walt Disney Co, Procter & ...",0.2065
16,"Veriti Management LLC Buys Tesla Inc, The Walt Disney Co, Berkshire Hathaway Inc, Sells ...",0.4048
17,ETFs in Focus on AT&T-Discovery Mega Merger Deal,0.1537
18,3 Positives from Disney's Disappointing Streaming Results,0.0394
19,"ViacomCBS streaming head: We're 'extremely well-positioned' vs. WarnerMedia, Discovery",0.3052
20,Why Wall Street Has Second Thoughts on the AT&T-Discovery Deal,0.2611
21,S.Africa's Dis-chem joins list of retailers removing TRESemmé products from shelves,0.3701
22,"S.Africa's Dis-Chem makes acquisitions to expand, develop business",0.2566
23,Disney Doubles Streaming Subscribers,-0.0975
24,"Jackson Square Capital, Llc Buys Workday Inc, L Brands Inc, The Walt Disney Co, Sells Avalara ...",0.5738
25,Disney Makes Gains in Streaming Wars Against Netflix,-0.5766
26,South Africa's Dis-Chem posts 16.2% rise in H1 earnings,-0.6261
27,3 Surprising Stocks Riding Disney's Coattails,0.2732
28,2 Growth Tech Stocks to Buy at a Discount Despite Inflation and Volatility,0.5044
29,"After the Storm, Discovery Is Cheap (Again)",0.7198
30,Closure of Parks & Theaters to Mar Disney's (DIS) Q2 Earnings,-0.1386
31,Disney Q2 revenue misses estimates as Disney+ subscribers fall short,-0.7127
32,Walt Disney (DIS) Tops Q2 Earnings Estimates,0.5462
33,Why Earnings Season Could Be Great for Walt Disney (DIS),0.6962
34,Disney CEO Bob Chapek Says Dramatic Shift In CDC Mask Guidance Is “Very Big News”; Interest In Visiting Disney World Back At 2019 Levels,0.5503
35,"Disney EPS beats by $0.53, misses on revenue",-0.206
36,"Pittenger & Anderson Inc Buys ASML Holding NV, The Walt Disney Co, Morgan Stanley, Sells ...",0.5728
37,Walt Disney (DIS) Expected to Beat Earnings Estimates: Should You Buy?,0.4712
38,Disney Q2 Earnings Preview: Here's What You'll Want to Know,0.2334
39,"Dow Jones Futures: Market Rally Gets Win As CDC Lifts Mask Mandate, But Bitcoin, Tesla Fall; Disney, Coinbase Lead Earnings Movers",0.2619
40,Disney ETFs in Focus Ahead of Q2 Earnings,-0.0583
41,Netflix vs. Disney: Which Streaming Stock is a Better Buy in 2021?,0.5075
42,Why Everyone Is Talking About Disney Stock,0.5115
43,"Walt Disney Q2 Profit Beats Street View, But Revenues Miss",0.0908
44,"Kirkoswald Asset Management LLC Buys The Walt Disney Co, Morgan Stanley, PayPal Holdings Inc, ...",0.7699
45,Disney and Airbnb Earnings: Buy Reopening Stocks Amid Tech Pullback?,0.3218
46,"Top Stock Reports for Mastercard, Home Depot & Walt Disney",0.5515
47,Markets Bounce Back; Disney+ Misses on Subscriber Numbers,-0.2262
48,Disney+ growth has slowed. That's bad news for Disney,-0.3693
49,Disney Stock Has a Lot to Prove This Week,0.2835
50,The Walt Disney Co Q2 adjusted earnings Beat Estimates,0.2913
51,Should Disney Restart Its Dividend When It Reports Q2 Earnings?,0.3129
52,Walt Disney (DIS) to Report Q2 Earnings: What's in the Cards?,0.1585
53,"Disney Plus rivaling Netflix in subscriber loyalty, research shows",0.7559
54,Disney's (DIS) New Division to Focus on Adult Animation,0.2954
55,Netflix Is Crushing Disney in This Fast-Growing Market,-0.4084
56,"Disney Plans Major Expansion for California Parks, Report Says",0.5105
57,Is Disney a Great Dividend Stock?,0.7417
58,Disney+ and ESPN+ Launched on Comcast's Xfinity,0.1782
59,"RH, Thryv Holdings, Netflix, Disney and AT&T highlighted as Zacks Bull and Bear of the Day",-0.2363
60,This Summer Will Be Pivotal for Disney's Streaming Strategy,-0.2164
61,Better Buy: Walt Disney vs. Nike,0.4746
62,Is Disneyland the New Disney World?,0.0446
63,Disney cuts ties with wavve as it gears up for launch in Korea,0.0777
64,BRIEF-SA's Competition Tribunal Fines Dis-Chem Pharmacies R1.2 Mln For Excessive Pricing Of Face Masks,-0.6629
65,"Cacti Asset Management Llc Buys The Walt Disney Co, Jacobs Engineering Group Inc, Volkswagen AG",0.784
66,South Africa's Dis-Chem Pharmacies posts 12% jump in annual revenue,-0.2609
67,Business Models: What Do Disney and Amazon Have In Common?,0.3115
68,Get ready to see more films like 'Cruella' on Disney+,0.6279
69,Walt Disney (DIS) Dips More Than Broader Markets: What You Should Know,0.019
70,Walt Disney (DIS) Outpaces Stock Market Gains: What You Should Know,0.5844
71,"Is Now The Time To Buy Stock In Microsoft, Disney, Apple Or Nike?",0.4124
72,"One of the most common questions traders have about stocks is “Why Is It Moving?” That’s why Benzinga created the Why Is It Moving, or WIIM, feature in Benzinga Pro. WIIMs are a one-sentence description as to why that stock is moving. Here’s the latest news and updates for Microsoft, Disney, Apple and Nike.",0.9236
73,BRIEF-Dis-Chem Pharmacies Announces Acquisition Of Baby City,0.5138
74,3 Reasons Disney Is a Buy Right Now,0.1228
75,Marvel's 'Black Widow' will debut on Disney+ and theaters at the same time,-0.1048
76,Disney (DIS) Set to Reopen California Theme Parks on Apr 30,0.1368
77,"Disney to Release ""Black Widow"" and ""Cruella"" on Disney+ and in Theaters Simultaneously",0.0521
78,"Disney (DIS) Reshuffles Movie Release Slot, Focuses on Disney+",0.3001
79,"Cedar Fair, Disney, or Six Flags: Which Theme Park Is Best in a Reopened Economy?",0.7454
80,Six Flags to Beat Disney by Reopening California Theme Parks Weeks Earlier,0.1488
81,Disney+ just raised prices. Here's why,0.1477
82,Disney+ now costs $1 more a month,0.0682
83,"The Zacks Analyst Blog Highlights: Amazon, Disney, ViacomCBS and Comcast",0.2078
84,The Walt Disney Co Stock Shows Every Sign Of Being Significantly Overvalued,0.1086
85,First Disney+ Price Hike Takes Effect Friday,0.0476
86,"Welcome Back, Disneyland!",0.5447
87,This Massive Disruption Creates a Once-In-a-Lifetime Opportunity,0.6402
88,3 Reasons to Buy Disney Stock Now,0.3091
89,1 Consumer Discretionary Stock to Avoid No Matter What,-0.5862
90,Better Buy: Disney vs. Roku,0.4746
91,Disney rises as Truist reups Buy rating on NFL deal upside,0.7017
92,Better Buy: Disney vs. Fubo,0.4746
93,Disneyland Will Reopen on April 30,-0.0574
94,Disneyland sets reopening date,-0.0013
95,Disney (DIS) Up 3.3% Since Last Earnings Report: Can It Continue?,0.401
96,Investors Shouldn't Count Disney Out,-0.1518
97,Why Is Everyone Talking About Disney Stock?,0.5115
98,Better Buy: Amazon vs. Disney,0.5843
99,3 Surprise Stocks Are Beating Netflix and Disney in the Streaming Wars,-0.7183
100,Disney's (DIS) Media Deal With NHL to Aid Streaming Growth,0.5249
101,"Benzinga's Bulls And Bears Of The Week: Comcast, Disney, Nike, Starbucks, Tesla And More",0.0408
102,Disney World's New Ride Opening in the Fall Is Great for Theme Park Rivals,0.7595
