,Recent headlines and conversations for DVA,Polarity
0,DVA is up 4.91% to $65.76,0.1818
1,"DAVITA BEEN A FRAUD FOR 2 YEARS WITH ACCOUNTING FRAUD,,,,,, AND IN JAN 2019 THEY BOUGHT THE NAJARIAN BROTHERS TO PUMP THE STOCK TO $66.00 BY JAN 16, 2019 CALLS..... WHICH BY THE WAY IS FRAUD......",-0.5296
2,DAVITA IS A FRAUD,-0.5859
3,"hopefully, DVA stays the way it is now for long term investment. I've had confidence with this company that leading by a few smart guys I knew of in the company. I've did bought 1,000 shares at $46 on June-6-2019 and keep for mine kids' educations in colleagues.",0.9587
4,"i shorted 10,000 share of this pig at 116.29 , they are running out of cash missed rev, cfo is evasive as heck with his forecast this is going back to the 90's....they keep buying back shares and blowing through cash...SELL",0.6595
5,Nice one here too! Wonder where this will go today? Anybody more information?,0.7062
6,8k change to CEO payout. setting up for a sale?,0.8181
7,Hey Peter should i buy DVA at $103 ???? how about $102 or $101 or $100 or $99 ....,0.5215
8,DVA is up 5.43% to 52.44,0.1818
9,Someone knows something that's not public. DVA rarely makes a 2% move on volume without market moving news. Why should I be surprised? Because it's DVA which is as exciting as watching paint dry.,0.8498
10,I think the company has money for open market stock purchases. Nice opportunity under 55.,0.7264
11,DaVita is down 11.44% to 67.26,-0.2462
12,DVA is up 4.91% to 45.55,0.1818
13,DaVita is up 5.00% to 97.60,0.1818
14,Why is DVA down today?,-0.1284
15,Big miss on earnings see you are 40,0.1465
16,why did this just go up?,0.3393
17,DVA is down 5.87% to 52.25,-0.2462
18,DVA on the way to $120 then $116 then $110 then UNDER $100.....yay me !!!!!!,-0.5506
19,Did Berkshire just buy 33%?,0.2356
20,"DVA- had a huge run already! Remember that hospitals do NOT admit these patients (pts for us medical folks), if they are not critical! Buy backs are just one way to hype any stocks",0.7914
21,DVA is up 5.86% to 72.25,0.1818
22,DVA is down 11.44% to 67.26,-0.2462
23,"the fraud continues,,,,,,,,,, davita is a fraud company,,,, najarian brothers gets involved with a fraud,,,,,,,,, sure glad they are not having my monies....... DAVITA IS A FRAUD1/29/2019",-0.3975
24,DaVita reached an all time high at 124.15,0.3228
25,135 price per share,0.46
26,Buffett the largest shareholder. Wish I had some $ to put in it,0.7045
27,Man back down to 58. Not looking good.,0.3622
28,"$66.00 CALLS BY 01/16/2019 WAS A FRAUD, BY DAVITA AND THE NAJARIAN BROTHERS.....",-0.4447
29,DVA reached a 52 Week low at 46.40,-0.1464
30,BUY FMS instead !!!!! $45 in 1 month,0.5907
31,DVA is down 4.97% to 73.86,-0.2462
32,Are traders expecting price move above $70? Look @ Jan 67 Options... I bought it and hoping for merry Christmas .. Good Luck,0.9476
33,"Still wondering where this will go today? With other words, do you sell today?",0.5151
