,Recent headlines and conversations for FB,Polarity
0,"Empyrean Capital Partners, LP Buys Facebook Inc, Verizon Communications Inc, International ...",0.2211
1,Should You Be Buying Facebook Stock?,0.527
2,BRIEF-FB financial corp revises terms of Clayton Banks acquisition,0.3462
3,Fate of suspended Trump FB page seen as 'sideshow',-0.4175
4,The Facebook Oversight Board proved it's not Mark Zuckerberg's puppet — now it's his move,0.2413
5,"NorthCoast Asset Management LLC Buys FedEx Corp, Facebook Inc, U.S. ...",0.504
6,"RWE, Facebook Partner to Build 150 MW Solar Facility in Tennessee",0.7491
7,Report: Packers FB Lovett (ACL) out for season,0.3542
8,Patriots FB Develin retires due to neck injury,-0.5752
9,BRIEF-FB Financial reports Q1 earnings per share $0.40,0.4714
10,Facebook's Oversight Board ban of Donald Trump is totally arbitrary and ideologicalRachel Bovard,-0.4605
11,Is Facebook (FB) Stock Outpacing Its Computer and Technology Peers This Year?,0.3579
12,"Facebook Inc. Cl A stock rises Thursday, still underperforms market",-0.0044
13,"Facebook dethrones Amazon as the stock most popular with hedge funds, according to Goldman data",0.6306
14,What Silvergate's Partnership with Facebook-Backed Diem Means Going Forward,0.5994
15,Zuckerberg says FB's failure to remove militia page 'an operational mistake',-0.8098
16,"Crawford Lake Capital Management, LLC Buys Facebook Inc, Boeing Co, FedEx Corp, Sells Amazon. ...",0.493
17,Facebook Eyes Pay-Per-View Model To Monetize Live Online Sports: CNBC,0.5777
18,"Fernbridge Capital Management Lp Buys Facebook Inc, Netflix Inc, Global Payments Inc, Sells ...",0.0415
19,"Freedman Financial Associates, Inc. Buys Verizon Communications Inc, Facebook Inc, National ...",0.538
20,"Knighthead Capital Management, LLC Buys Sabre Corp, Facebook Inc, Amazon. ...",0.457
21,Facebook Loses Bid to Derail EU-US Data-Transfer Suspension,-0.6692
22,"Mosaic Advisors LLC Buys Amazon.com Inc, Microsoft Corp, Facebook Inc, Sells JPMorgan ...",0.4936
23,"Corriente Advisors, LLC Buys Teledyne Technologies Inc, Facebook Inc, Cue Biopharma Inc, Sells ...",0.0968
24,"Alpha Family Trust Buys Facebook Inc, ServiceNow Inc, Coupang Inc, Sells Enterprise Products ...",0.6594
25,BRIEF-FB Financial Announces Secondary Offering Of 3.2 Mln Shares,0.3791
26,"Glenview Capital Management Buys Cigna Corp, Facebook Inc, McKesson Corp, Sells Tenet ...",0.1975
27,"Clearline Capital LP Buys Facebook Inc, Churchill Capital Corp II, Churchill Capital Corp II, ...",-0.5399
28,BRIEF-FB Financial files for mixed shelf of up to $300 mln,0.3098
29,"The same companies comprised the top five in the bank's hedge fund VIP list: Facebook, Microsoft, Amazon, Alphabet, Alibaba.",0.8085
30,"Beacon Pointe Advisors, LLC Buys Facebook Inc, Vanguard Total Stock Market ETF, iShares Core ...",0.4917
31,"Owl Creek Asset Management, L.P. Buys Facebook Inc, General Motors Co, Las Vegas Sands Corp, ...",0.8234
32,Facebook Faces Irish Ruling on Suspension of EU-U.S. Data Flows,0.4027
33,Facebook-Backed Digital Currency Project Revamps to Address U.S. Regulators' Concerns,-0.4397
34,BRIEF-Finansa's unit made investment in FB Foodservice (2017) Ltd,0.5788
35,"HMI Capital, LLC Buys Ncino Inc, Facebook Inc, New Relic Inc, Sells Etsy Inc, Autodesk Inc",0.3225
36,BRIEF-FB Financial Corp Reports Q1 EPS $0.63,0.0902
