,Recent headlines and conversations for FB,Polarity
0,Influential Lapchick study gives FBS schools 'F' grade on athletic director gender hiresMike Freeman,0.8064
1,"How Covid-19 Supercharged the Advertising 'Triopoly' of Google, Facebook and Amazon",0.4294
2,Facebook stock jumped more than 4% after Mark Zuckerberg downplayed Apple's privacy changes,0.0864
3,Mark Zuckerberg says Apple's privacy changes could strengthen Facebook,0.2203
4,BRIEF-Zuckerberg Says Will Require Vast Majority Of Employees To Work From Home Through At Least End Of May - FB Post,0.3119
5,"Is It Time To Consider Buying Facebook, Inc. (NASDAQ:FB)?",0.3698
6,Facebook (FB) Strikes Deal With News Corp (NWSA) in Australia,-0.0884
7,BRIEF-FB Financial Announces Secondary Offering Of 3.2 Mln Shares,0.3791
8,BRIEF-FB Financial Corporation expands board of directors,0.4752
9,Report: Packers FB Lovett (ACL) out for season,0.3542
10,"Facebook CEO Mark Zuckerberg said he thinks that Facebook may be in a ""stronger position"" as Apple rolls out its iOS 14 update.",0.7828
11,Facebook will pay Murdoch for news in Australia,-0.113
12,"Why Facebook, Zoom Video, and Okta Stocks All Jumped on Thursday",-0.1111
13,Facebook Unveils Augmented Reality Wristband,-0.2024
14,Facebook's quest for wearable tech superpowers and the curse of the 'glassholes',-0.5428
15,BRIEF-FB financial corp revises terms of Clayton Banks acquisition,0.3462
16,"Are Instagram, Facebook and WhatsApp Down? Social Media Services Suffer Major Outages",-0.7598
17,Facebook Unveils New Penalties on Facebook Groups in Wake of Capitol Riot—3rd Update,0.0539
18,"The Zacks Analyst Blog Highlights: Google, Facebook, Home Depot, Starbucks and HSBC Holdings",0.3148
19,Facebook Unveils New Penalties on Facebook Groups in Wake of Capitol Riot—2nd Update,0.0539
20,Zuckerberg says FB's failure to remove militia page 'an operational mistake',-0.8098
21,"Instagram, Facebook and WhatsApp Back Up After Major Outages — Update",-0.1151
22,Facebook Stock Jumps As Zuckerberg Changes Tune On Apple Privacy Plan,0.4287
23,"Best Stocks in the Past Week: Upstart, Facebook, AMC",0.7941
24,Facebook (FB) Outpaces Stock Market Gains: What You Should Know,0.5973
25,"Top Stock Reports for Alphabet, Facebook & The Home Depot",0.5566
26,Facebook (FB) to Launch New Platform for Independent Writers,0.4628
27,What's Happening With Facebook Stock Today?,0.3046
28,Facebook stock jumped more than 4% after Mark Zuckerberg said Apple's privacy update will help the social media giant,0.5141
29,BRIEF-FB Financial files for mixed shelf of up to $300 mln,0.3098
30,BRIEF-FB Financial reports Q1 earnings per share $0.40,0.4714
31,Zuckerberg: Facebook may actually be in a 'stronger position' after Apple's iOS 14 privacy changes,0.4794
32,"Booking a Covid-19 Vaccine? More Tools and Tips, Plus Help From Apple, Facebook and Google",0.9139
33,News Corporation (NWSA) Inks Deal With Facebook in Australia,0.4502
34,BRIEF-FB Financial Corp Reports Q1 EPS $0.63,0.0902
35,Patriots FB Develin retires due to neck injury,-0.5752
36,Why Facebook Stock Popped Today,0.299
37,BRIEF-Finansa's unit made investment in FB Foodservice (2017) Ltd,0.5788
38,"Dow Jones Futures: No Crystal Ball For This Market Rally; Facebook, Google, Apple Supplier Near Buy Points",0.4435
39,Facebook stock surges as Mark Zuckerberg downplays Apple privacy clampdown,0.2815
