,Recent headlines and conversations for GOOGL,Polarity
0,"With latest update, Google Photos wants your memories to stand outBrett Molina",0.1429
1,Google honors Luther Vandross with doodle on his 70th birthdayBrett Molina,0.556
2,Roku warns users could lose access to YouTube TV over 'unfair terms' by GoogleBrett Molina,-0.6929
3,"Dow Jones Futures: Market Rally Survives Wild Week, Bitcoin Remains Active; Follow Google, Nvidia, Tesla",0.5234
4,"Independent Family Office, LLC Buys BTC BlackRock Short Maturity Bond ETF, Alphabet Inc, ...",-0.1252
5,"Google adding YouTube TV access to YouTube app 'over next few days,' as Roku standoff continuesMike Snider",0.2071
6,Apple and Google totally control what you do on your smartphones. We need fair rules.Sumit Sharma,0.6067
7,"Zacks Earnings Trends Highlights: Dow, JPMorgan, Chevron and Google",0.3057
8,Here's Why Tesla and Google Are Buys Right Now,0.0797
9,Jeff Reeves's Strength in Numbers: Should you buy Alphabet stock now? A total of 98% of analysts consider it a ‘buy’,0.7355
10,"Alphabet Inc's Google launches Google TV, new Chromecast",0.2814
11,Google plans to launch VPN service for consumers,0.1554
12,Alphabet to Open Google Store in New York,0.0743
13,The Google Nest thermostat can save you money—and it's on sale for Earth Day 2021Kelley MacDonald,0.66
14,Google to Open Its First Permanent Retail Store This Summer in New York City,0.0753
15,"The Baupost Group Buys Willis Towers Watson PLC, Alphabet Inc, Intel Corp, Sells eBay Inc, Fox ...",0.3048
16,"Looking to level up? Amazon, Google, Microsoft and more offer training programsBob O'Donnell",0.6956
17,"UPDATE 1-Alphabet Inc's Google launches Google TV, new Chromecast",0.1022
18,Project Starline: Google's video chat makes it look like users are physically in the same roomBrett Molina,0.3335
19,Fact check: Google does not have a Palestine label on its mapsNayeli Lomeli,0.1779
20,Google CEO: 'Work is no longer just a place',0.0123
21,Google to lift ban on political ads,-0.4761
22,"Alphabet Inc. Cl A stock falls Friday, underperforms market",0.02
23,Should you buy Alphabet stock now? A total of 98% of analysts consider it a 'buy',0.5372
24,Fitbit completes merger with Google,0.0197
25,Google's advertising practices targeted by EU antitrust probe,-0.5363
26,"Kensico Capital Management Corp Buys Alphabet Inc, UnitedHealth Group Inc, General Electric Co, ...",0.3985
27,Use Google services? These five updates will make your lives easierBrett Molina and Mike Snider,0.2004
28,"Freemont Management S.A. Buys Amazon.com Inc, Alphabet Inc, Apple Inc, Sells Sensient ...",0.3958
29,Have you been hacked? Google Chrome and other sites can help you find outJennifer Jolly,0.7136
30,Girl Scout cookies delivered by drone? A Virginia troop teamed up with Google Wing amid COVID-19Kelly Tyko,0.336
31,"Google’s digital ad sales surge 32%, while profits for parent company Alphabet doubleMichael Liedtke",0.7287
32,"Polar Capital Holdings Plc Buys Micron Technology Inc, Alphabet Inc, Alphabet Inc, Sells ...",0.108
33,"Untitled Investments Lp Buys Alphabet Inc, Farfetch, ServiceNow Inc, Sells PayPal Holdings Inc, ...",0.2684
34,Google resolves problem with Gmail after outage,-0.4674
35,"Bragar Eagel & Squire is Investigating Certain Officers and Directors of XL Fleet, Zoom, Capital One, and Alphabet on Behalf of Long-Term Stockholders and Encourages Investors to Contact the Firm",0.7533
36,Google CEO: Our ultimate moonshot is still Search,0.3438
37,Use Google Photos? Unlimited storage goes away on June 1. Here are your other optionsBrett Molina,0.2147
38,Does Google Assistant always say your name wrong? You can teach it to pronounce correctlyBrett Molina,-0.0903
39,"Google touts 'privacy by design' at I/O conference, but privacy from whom?Rob Pegoraro",0.3836
40,"ASML, Google Lead 5 Stocks That You Can Buy Now",0.0949
41,"First Eagle Investment Exits 3M, Cuts Alphabet",0.2153
42,Google celebrates Earth Day with charming new doodleBrett Molina,0.8496
43,"Listen to the news from USA TODAY on Google Home, Amazon EchoUSA TODAY Editors",0.8554
44,Google Fined More Than $120 Million in Italy for Abuse of Dominant Position,-0.8259
45,Big update to Google Earth introduces new Timelapse featureBrett Molina,0.2049
46,"Roble, Belko & Company, Inc Buys Vanguard Extended Market Index ETF, Alphabet Inc, Qualcomm ...",-0.0953
47,Google rolling out Heads Up feature so you're not distracted by your smartphoneBrett Molina,-0.2384
48,"The Zacks Analyst Blog Highlights: Exxon Mobil, AbbVie, Citigroup, Google and Micron",0.0734
49,Alphabet Waymo self-driving unit CFO following CEO out the door,0.6634
50,Can Google Pay Aid Western Union's (WU) Cross-Border Business?,-0.1438
51,Google Plans to Double AI Ethics Research Staff,0.4778
52,"Google says it's fixed issues with Drive, Docs, other services after outageBrett Molina",0.3607
53,Alphabet's Waymo losing two more top executives - Silicon Valley Business Journal,-0.1032
54,Google slapped with $120 million fine by Italy's antitrust watchdog,0.0904
55,"CIBC World Markets Inc. Buys Alphabet Inc, Facebook Inc, Philip Morris International Inc, Sells ...",0.7539
56,Social-Media Stocks Under Pressure as Citi Cuts Ratings on Facebook and Alphabet,-0.51
57,Metropolitan Museum of Art gets Google Doodle treatment for 151st anniversaryBrett Molina,0.1812
58,Supreme Court sides with Google in years long fight with tech giant OracleJohn Fritze,0.8127
59,"Davy Asset Management Ltd Buys Alphabet Inc, The Scotts Miracle Gro Co, GrowGeneration Corp, ...",0.8156
60,"Wall Street Access Asset Management, LLC Buys Microsoft Corp, Bank of America Corp, Alphabet ...",0.6684
61,"Interactive Financial Advisors Buys iShares Core S&P Small-Cap ETF, ISHARES TRUST, Alphabet ...",0.7847
62,"Alphabet Inc. Cl A stock rises Thursday, outperforms market",0.4247
63,Alphabet's Core Business Is Rocking,0.0562
64,Google Stock Rises As Cloud Computing Unit Wins Starlink Contract,0.7981
65,"DRW Securities, LLC Buys iShares MSCI Hong Kong ETF, Alphabet Inc, TFF Pharmaceuticals Inc, ...",0.4864
66,"The Zacks Analyst Blog Highlights: Google, Facebook and Sony",0.0562
67,PayPal Plans to Shift Core Applications to Google Cloud,0.0576
68,Do you get lost at the airport or the mall? Google Maps will help you find your wayBrett Molina,0.0884
69,"OK Google, help me sleep better? The new Nest Hub smart display has built-in tech to helpMike Snider",0.9037
70,Google wants you to sleep better with its new Nest Hub smart display,0.8012
71,How to see everything Google tracks about you and erase itKim Komando,-0.0681
72,Alphabet (GOOGL) Gains As Market Dips: What You Should Know,0.5067
73,"Google Search shows parade of boats with search terms ""suez canal"" and ""ever given""Coral Murphy Marcos",0.324
74,Alphabet's Waymo CEO to depart,0.2095
75,Supreme Court Rules for Google in Multibillion-Dollar Copyright Battle With Oracle — 2nd Update,0.5791
76,Google's $99 bedside display is great—even if it thinks my dog snores too much,0.1007
77,Google US workers can return to offices in April in a limited capacityTerry Collins,-0.299
78,Where Alphabet Stands With Analysts,0.0431
79,Dow Soars On Jobs News Even As Yellen Calls For This Global Tax; Google Parent Passes Buy,0.0729
80,"T-Mobile Partners With Google, and That's Bad News for fuboTV",-0.4144
81,Advocacy groups urge FTC to be tougher on Google with protecting kids privacy on appsTerry Collins,0.4875
82,Waymo CEO John Krafcik Is Leaving the Google Self-Driving Affiliate,0.1304
83,"'Get back to what you love': Google COVID-19 vaccine ad garners 6.3 million views, emotional responseMorgan Hines",0.8406
84,What Does a Google Partnership Mean for Wix?,0.5761
85,Supreme Court Rules for Google in Multibillion-Dollar Copyright Battle With Oracle — Update,0.5791
86,Google’s Supreme Court victory over Oracle hailed as ‘fantastic’ for small companies,0.8947
87,Supreme Court Rules In Google's Favor In Multi-Billion Dollar Copyright Dispute With Oracle,0.7013
88,Google pledges $29 million to new EU fund to tackle fake news,-0.5107
89,"Google Maps adding new features, including augmented reality for (eventually) getting around airports and malls",-0.1975
90,"Verizon brings unlimited storage to cloud data battle with Apple, Amazon and GoogleMike Snider",-0.0695
91,"Dow Jones Jumps 400 Points To All-Time High; Microsoft, Facebook, Alphabet Give Buy Signals",0.688
92,Alphabet (GOOGL) Introduces Advanced Updates on Google Maps,0.2746
93,Supreme Court rules in Google's favor in dispute with Oracle,0.7322
94,Google adding new features to Chromebooks as devices turn 10Brett Molina,0.1137
95,"Third Point, LLC Buys Upstart Holdings Inc, Alphabet Inc, Intuit Inc, Sells Alibaba Group ...",0.3623
96,Alphabet (NASDAQ:GOOGL) has observed the following analyst ratings within the last quarter:,0.0841
97,"Google Stock, Facebook Lead 5 Tech Giants Flashing Buy Signals",0.1625
98,Google to resume accepting political ads in U.S.,-0.0489
99,"4 Top Stock Trades for Monday: AMC, NFLX, PLBY, GOOGL",0.6367
100,Google Doodle celebrates surgical face mask inventor Dr. Wu Lien-teh's 142nd birthdayCoral Murphy Marcos,0.7695
101,"Australia passes law to make Google, Facebook pay for news",0.0877
102,Google says it will stop tracking users as third-party cookies are phased outBrett Molina,-0.3357
103,"Hate speech, censorship, Capitol riot, Section 230: Lawmakers slam Facebook, Google and Twitter, warn of regulationJessica Guynn",-0.8574
104,Here's how to pre-order Google's new Nest Hub,0.7077
105,Alphabet Inc. (GOOG) Stock Moves -0.02%: What You Should Know,0.4013
106,Apple now lets you transfer iCloud Photos to Google Photos. Here's how to do itCoral Murphy Marcos,0.7245
107,Google Stock Rises As Supreme Court Rules Against Oracle In Android Software Dispute,0.4198
108,Italy's communications watchdog fines Google for betting ad,-0.1919
109,"Facebook, Alphabet and Microsoft shares soar to all-time highs",0.7865
