,Recent headlines and conversations for GOOGL,Polarity
0,"World Wide Web inventor Tim Berners-Lee takes on Google, Facebook, Amazon to fix the internetMichael Braga",0.5683
1,"How Covid-19 Supercharged the Advertising 'Triopoly' of Google, Facebook and Amazon",0.4294
2,Alphabet Inc. (GOOG) Gains As Market Dips: What You Should Know,0.5293
3,Google's advertising practices targeted by EU antitrust probe,-0.5363
4,Google to Cut Commission it Charges Play Store App Developers — 3rd Update,-0.2275
5,Google wants you to sleep better with its new Nest Hub smart display,0.8012
6,Google doubles down on office space despite the rise in remote work,0.2599
7,"The Zacks Analyst Blog Highlights: Apple, Google, Amazon and Gramin",0.3781
8,Google Doodle celebrates surgical face mask inventor Dr. Wu Lien-teh's 142nd birthdayCoral Murphy Marcos,0.7695
9,Google plans to launch VPN service for consumers,0.1554
10,"Trade Desk Faces Off With Google, Quantcast In $150B Market",-0.09
11,"OK Google, help me sleep better? The new Nest Hub smart display has built-in tech to helpMike Snider",0.9037
12,"Alphabet Inc's Google launches Google TV, new Chromecast",0.2814
13,Google Invests $7 Billion Across U.S. as it Bets on the Post-Pandemic Office,0.0702
14,Alphabet (GOOGL) to Serve App Developers' Interest With Fee Cut,0.1261
15,Alphabet's Google Slashes App Store Fees,-0.21
16,What Google's Announcement Means for The Trade Desk and Magnite,0.0292
17,Five Things We Know About Google's Ad Changes After Cookies,0.1096
18,"The Zacks Analyst Blog Highlights: Google, Facebook, Home Depot, Starbucks and HSBC Holdings",0.3148
19,"Ford, Google deal means car tech upgrades for drivers: Google apps in the vehiclePhoebe Wall Howard",0.6873
20,Alphabet (GOOGL) Gains As Market Dips: What You Should Know,0.5067
21,Google Docs upgrades comments feature to make collaboration easierCoral Murphy Marcos,0.6041
22,"LastPass to limit its free password manager. Here are other options, including Apple, GoogleRob Pegoraro",0.6041
23,"Top Stock Reports for Alphabet, Facebook & The Home Depot",0.5566
24,"Australia passes law to make Google, Facebook pay for news",0.0877
25,Google to lift ban on political ads,-0.4761
26,Google Invests $7 Billion Across U.S. as It Bets on the Post-Pandemic Office — Update,0.0689
27,"TikTok gets more competition: Google is launching YouTube Shorts, a short-form video featureAnders Bylund",0.0531
28,Google Pledges $7 Billion Investment to Create Jobs in U.S.,0.2838
29,"Google Doodle celebrates poet, civil rights activist Audre Lorde's 87th birthdayCoral Murphy Marcos",0.6581
30,Better Buy: Alphabet vs. Pinterest,0.4911
31,Apple TV app and streaming service available on Chromecast with Google TVMike Snider,0.3867
32,Italy's communications watchdog fines Google for betting ad,-0.1919
33,Google Maps will let you pay for parking or transit fares within the appBrett Molina,0.0017
34,Google adding new features to Chromebooks as devices turn 10Brett Molina,0.1137
35,Apple now lets you transfer iCloud Photos to Google Photos. Here's how to do itCoral Murphy Marcos,0.7245
36,Google to Invest $7 Billion in Bet on Post-Pandemic Office,0.3323
37,"Google will spend $7 billion and add 10,000+ jobs in 2021: Alphabet CFO Ruth Porat",0.3446
38,Google to Cut Commission It Charges Play Store App Developers — 3rd Update,-0.2275
39,Google says it will stop tracking users as third-party cookies are phased outBrett Molina,-0.3357
40,"UPDATE 1-Alphabet Inc's Google launches Google TV, new Chromecast",0.1022
41,Here's how to pre-order Google's new Nest Hub,0.7077
42,"Booking a Covid-19 Vaccine? More Tools and Tips, Plus Help From Apple, Facebook and Google",0.9139
43,Fitbit completes merger with Google,0.0197
44,Google to resume accepting political ads in U.S.,-0.0489
45,Google CFO on equality in the workplace: ‘Society isn’t where it needs to be’,0.1638
46,"Dow Jones Futures: No Crystal Ball For This Market Rally; Facebook, Google, Apple Supplier Near Buy Points",0.4435
47,"DOJ probe of Google's completed Fitbit deal is still ongoing, though currently on hold",-0.1652
48,Google and Microsoft are in a public feud,-0.3808
49,BRIEF-Australia's ACCC Responds To Google Open Letter,0.4113
