,Recent headlines and conversations for GPRO,Polarity
0,"BRIEF-Jilin Gpro Titanium revises private placement, to raise up to 846.2 mln yuan",0.4625
1,GoPro stock on a joyride as camera maker sees high-end demand and reaches 1 million subscriptions,0.5362
2,GoPro to Present at Upcoming Investor Conferences,0.6625
3,GoPro Announces First Quarter 2021 Results,0.0066
4,GoPro introduces new camerasJefferson Graham,0.089
5,GoPro has hired JP Morgan to put itself up for saleAlex Sherman,0.4795
6,BRIEF-Jilin Gpro Titanium gets regulatory approval for private placement,0.5615
7,BRIEF-Gpro Titanium Industry raises selling prices of its titanium products,0.2916
8,Tech Five: GoPro surging earlyBrett Molina,0.0036
9,"If You Invested $1000 In GoPro Stock One Year Ago, Here's How Much You'd Have Now",0.454
10,Tech Five: GoPro IPO makes its debutBrett Molina,0.3079
11,"As GoPro goes public, what does the future hold?Jefferson Graham",0.0878
12,GoPro's revamped mobile app allows users to add photos from anywhere,0.3711
13,"GoPro Inc. stock falls Friday, still outperforms market",0.5013
14,So What's Up With GoPro Stock Today?,0.4538
15,The GoPro Turnaround Accelerates,0.0366
16,BRIEF-Gpro Titanium Industry to issue up to 700 mln yuan bonds,0.4447
17,"GoPro Inc. stock rises Thursday, still underperforms market",-0.0044
18,"GoPro IPO rocks Wall Street, shares surge 30%Matt Krantz",0.7067
19,Tech Five: GoPro shares plungeBrett Molina,0.2991
20,GoPro Stock Is Estimated To Be Significantly Overvalued,-0.0682
21,Tech Five: GoPro stock surge continuesBrett Molina,0.4589
22,Tech Five: No slowing down GoPro stockBrett Molina,-0.6312
23,Apple patent approval sends GoPro stock slidingBrett Molina,0.8374
24,"GoPro Inc. stock falls Wednesday, underperforms market",-0.0473
25,"GoPro Expands Lifestyle Collection with New Floating Sunglasses, Weekender Backpack and Limited-Edition T-Shirts",0.2562
26,Why GoPro Stock Sank Monday,0.2074
27,GPRO and TASR have the momentumNewslook,0.023
28,BRIEF-Gpro Titanium Industry plans industry development JV worth 2.2 bln yuan,0.6815
29,BRIEF-Gpro Titanium Industry Gets Regulator's Approval To Issue Up To 700 Million Yuan Bonds,0.7457
30,"Thinking about buying stock in iBio, T2 Biosystems, Viewray, GoPro, or Tilray?",0.4601
31,BRIEF-Lock-up period for Jilin Gpro Titanium's 40.4 mln shares to end,0.3061
32,BRIEF-Jilin Gpro Titanium Industry says 2015 dividend payment date,0.5565
33,GoPro revamps video-editing app to lure customers that don't own its cameras,-0.0887
34,BRIEF-Gpro Titanium Industry sees H1 2017 net profit up 150-180 pct,0.71
35,"Insider Buying: The GoPro, Inc. (NASDAQ:GPRO) Independent Director Just Bought 9.5% More Shares",0.7993
36,"GoPro Schedules First Quarter 2021 Financial Results for May 6, 2021",0.0825
