,Recent headlines and conversations for GRUB,Polarity
0,I think Grub like Stx will test $64 very soon.,0.1983
1,"Up 53% in 1-1/2 months, time to ring the register. I suspect second chance tax profit taking after the big plunge in October. Don’t be greedy folks.",-0.4025
2,Sell short until Maloney is FIRED!!!!! Why are they keeping him? I guess they don't want at least half of America's business.,-0.4876
3,"UBER won't make good money either as food delivery services charges as a little of money from customers....So if there is a deal, it's gonna be tough....shares won't surge as ones think / or just a little bit...Sell now as GRUB still high for good profits....before too late by tomorrow....",0.0687
4,rally mode: ON,0.1169
5,Are we gona soar to 80$ now?,0.4069
6,$37 at 7am oh my,0.0247
7,The financials show well results. Sales are up quarter over quarter. Current assets are three times more the current liabilities. No loans.,-0.0043
8,bloomberg rumors have 90% strike rate of being right. will be bought out at 75!,0.2178
9,Uber Secures Additional $100 Million from Junk Bond Market,0.0206
10,How high could Grub Hub go considering the low market cap?,-0.5508
11,Friday is market bottom. Perfect timing for once,0.5498
12,"GRUB - the trend is down, go with it!",0.1995
13,GrubHub is down 5.79% to 60.53,-0.2462
14,I'll go through the BODs and let them know too.,0.182
15,Beyond is moving up also. Grub will see $50 very soon. Feed me!!!!,0.6874
16,This company will be acquired soon.,-0.0044
17,You must short before today's close!This deal will NOT go through.Easy $ here.,-0.3331
18,lows of the day coming,-0.1304
19,When word emerged about drivers sampling people's food it was the kiss of death for GRUB. Bad biz model. Adios.,-0.5696
20,GRUB is traded 4 times sales. WTRH is traded 1 times sales.Will Uber buy WTRH instead? What do you think?,0.4468
21,Wow the all time short opp,0.2509
22,Inside information at Grubhub explain today s TWSJ news.Company is in deep trouble and so hired advisors to seek alternatives. That is a real bad signal. No one is really interested. Just the company is putting itself on sale bacause the next round of results will be horrible.Last time it was 57 and went to 33 in one day.,-0.4396
23,GrubHub reached a 52 Week high at 85.21,0.3561
24,UBER eat teams up with Starbucks kicks GRUB hard!,0.2488
25,"Wtrh I tried to tell you is the next takeout target. Billionaire owned it costs 2 billion to buy it newbies yet it trades at just 200 million marketcap. Stock will soar tomorrowZi nkla pop hard soon, also but wtrh goes back to 12 then flys right by it.",0.6379
26,Good thing uber didn’t overpay like just eats. Y’all can both lose money together now,0.5798
27,WOW !Look at The BAGHOLDER Meeting I Just PEEKED IN ON !,0.4895
