,Recent headlines and conversations for GS,Polarity
0,LUCKY I SOLD ALL THE STOCKS I BOUGHT THIS AFTERNOON WHEN I HEARD THE YELLOWMAN WAS GOING TO TANK THE MARKET AT PM ON TV.,0.3554
1,Will DOW 23K be broken TODAY...On its way UNDER 20KSPX already broke 2500 convincingly...2000 coming?,-0.7638
2,Trump’s overall approval rating is 38% despite a good economy how can he win an election,0.8993
3,Sure...Donnie touts his success in controlling COVID-19...As number of cases and deaths...Continue to spiral up...With no end in sight...As we are still in nascent stages of testingBut then...Donnie measures his SUCCESS by the stawk market...Cause that is what he will point to...As he rallies for re-election later this summer...And Thanks to arch-enemy Powell and the Dems in Congress...he has had a HUGE dead-cat bounce last 3 days...Which will be undone...AND MOREKeep on counting the cases and deaths...When everyone knows someone...Who has been affected...They will stop believing his tales...Like the Snake Oil Salesman,0.8518
4,"TRUMP: “And by the way, Mexico is paying for the wall.” — New Hampshire rally.TRUMP: “No, they are paying for it. Totally.” — North Carolina rally.TRUMP: “We got it financed. Mexico will be paying for it because we’re going to charge a fee.”THE FACTS: The U.S. is paying for it. Mexico isn’t. The Mexican government flatly refused to contribute to extending or reinforcing barriers on U.S. soil — “Not now, not ever,” Enrique Peña Nieto, then Mexico’",-0.7949
5,GS-PJ reached an all time low at 20.75,-0.1847
6,"I personally like Silver because there are varied way's to get it and Majority can afford to have some besides, not much can be made without this metal when you look into it !!!!! Gold is used for moe of the show off bling crowd, I call them Peacock's !!!!!God Bless The USA.",0.9144
7,"The GREAT economic advisor to The Donald...Lawrence Kudlow...Downplays the HUGE and BIGLY Trade and Budget deficits...Says 'they are AN INVESTMENT'UH OH...Tis the same Larry Kudlow from the Reagan era...Said the same thing about the BALLOONING DEFICIT with tax cuts...And you what happened NEXT...YUP...A RECESSION, that only Wicked Willie turned around",-0.2716
8,A nice citizen wearing a Creek of Life t-shirt just handed me a couple of ham sandwiches.$arna $mnkd $gs $vrx,0.5814
9,The Los Angeles Times has just reported that last night's debate was received very favorably by 'undecided voters' and is moving many of them towards supporting President Trump...,0.7239
10,Dow soars Lt just can’t catch a break...Pauline ️,0.0779
11,This is not the stock market action Trump needs one week before the vote. I think it tips the election to Biden.,0.6137
12,This can’t be good news for DB & Wall st banks can it ? Deutche bank has the most derivatives of any bank and big connections and counter party risk to wall st banks..See the YouTube the fuse is lit which explains dB has a “Bail In” clause that enables it to access and confiscate depositors money  if it requires it.. scary times indeed..https://finance.yahoo.com/m/4fb11a38-0b2e-3679-81f6-d58ef4c72981/deutsche-bank-shares-hit.html$GS $JPM $BAC $GLD $SLV,0.5706
13,we r rED & Nraa bLue turBIN res qiz on theweigh,-0.2822
