,Recent headlines and conversations for HD,Polarity
0,what's the reason for today's pullback. Both HD and Lowe's are likely busy for spring/summer season.,0.4433
1,Cat 5?,0.0
2,300 support,0.4019
3,Z,0.0
4,"Home depot beats again and again every quarter and never sees a 10% pop like some other companies.But it's ok, Go longs!!",0.8552
5,Yes correct,0.3775
6,I noticed that the STREET.COM puts out a negative article every hour on Home Depot. This is Jim Cramer's company who buy the was has a BUY rating on the stock. All his commentary on CNBC is negative and it seems like he is trying to take down the home builders and specifically HD not LOWE's? Am I missing something here but it seems like he wants it to go down so he can get in on the cheap?,0.8741
7,People are broke so who will be buying anything ?,-0.1017
8,"I have never and probably will never own HD stock but after what I saw last night, I would sell it ASAP... My husband and I went to a Home Depot and the place was worse than a pig pen, especially in the lumber area. Wood was garbage, strewn all over, no help, couldn't find one straight board, and the floors were absolutely filthy and half the price tags were missing. On the other hand, and I don't own Lowe's either, Lowes brought in a company to clean their stores and discover missing SKU's and make the place presentable.Never again going to Home Depot...",0.7495
9,ATT HD IS A BUY GOING HIGHER MONDAY UP ABOUT 4 POINTS GET READY BIG MOVE MONDAY..GET IN WHEN YOU READ THIS 225 FOR HD CALLS ARE HOT HOT,0.9735
10,mad money Cramer slammed the Analyst. said this stock is solid and they didn't listen to a friggin thing g on the earnings call. this stock deserves to be blowing up after the quarter upgraded guidance that got,0.5516
11,"I started purchasing HD in 1988. I purchased all the way up through 2000. I still own all the shares I started out with. HD has been very good to me.I purchased all of my shares thru a DRIP plan. I will be able to retire off of HD alone. I purchsed many other companies thru DRIP plans. If your reasonably young, get into drip plans and forget about touching your stock. I am 69 and looking forward to retiring.",0.9468
12,"Should go higher with all the repairs for down south cold spell, Freezing pipes, water leaks, damage drywall and carpet, plumbing parts, heaters. All supplies to purchase at Home Depot for repairs.",-0.7519
13,"Interest rates, high or low, people will be fixing their houses. HD is the beneficiary !",0.7118
14,Look out $138,0.082
15,$HD Upgrades Gordon Haskett Buy USD 315,-0.1729
16,This will drop 10 prevent after earnings whether good or bad.,-0.4406
17,...solid buy and hold long term at this level...,0.546
18,"Lowe's is down even more than HD, and it seems the stock price drop is related to lowered earnings expectations in the industry.",-0.0242
19,"Someone wake me when it gets to 150s... ill buy then. 122 even better. Horribly run stores during these times and simply put, nobody is buying anything but ""trinkets"" to fix the sink, a few plants. Nobody is remodeling and contractors are nowhere to be found....... biggest bunch of incompetent idiots working in the stores too. I mean I like the guy at the paint dept when I go in for some rollers but management has no idea what they are doing these days. Sink it.",-0.5226
20,"Love HD, too bad we're not doing well to buy anything.",0.6124
21,HD inching to 210$ hopefully w'll see it next week or 2KEYS crossing 50dma should see 90$ level next weekREEMF ATEC 2 tiny stocks have good trending,0.8202
22,SEL SEL SEL THIS HORSE MANURE TRASH OF A COMPANY!!!,-0.3648
23,Better get out,0.5462
24,I wish a monumental diarrhea on all shorters.,0.4069
25,"Upgrade around the corner, hold on",-0.0081
26,"**Devastating news for overpriced HOME DEPOT**""Housing market is ‘slowly running out of steam’""Yahoo Finance Video•December 26, 2018",0.7053
27,"Picked up some weekly puts on this name, I don’t see how we continue setting all times highs every day. A pullback to support seems only reasonable.",0.8597
