,Recent headlines and conversations for HD,Polarity
0,UPDATE 1-Lowe's says not in talks to buy HD Supply,-0.0653
1,Home Depot's Monster Quarter: Revenue Grows by 32.7%,0.5802
2,Has The Home Depot (HD) Outpaced Other Retail-Wholesale Stocks This Year?,0.4201
3,Home Depot to buy HD Supply Holdings in $8 bln deal,0.4178
4,"Home Depot (HD) Q1 Earnings & Sales Top Estimates, Stock Rises",0.6042
5,"Aristides Capital LLC Buys Invesco NASDAQ Next Gen 100 ETF, The Home Depot Inc, Virtu Financial ...",0.0667
6,Lowe's in talks to buy peer HD Supply - Bloomberg News,0.6606
7,BRIEF-Hd Supply Holdings Announces Q4 Earnings Per Share $0.48,0.4511
8,"'Halftime Report' Traders Share Their Thoughts On Target, Home Depot And More",0.5868
9,HD Supply to sell Waterworks unit for $2.5 bln,0.4258
10,"Target, Home Depot, CVS and other stores drop face mask requirements",-0.1947
11,The Home Depot launched a two-day sale to compete with Way Day 2021Nishka Dhawan,0.477
12,"There are usually warning signs on the charts before stocks sell off. This could be the case with Home Depot, Inc. (NYSE: HD), Kohl's Corporation (NYSE: KSS) and Party City Holdco Inc.",0.7948
13,Home Depot Reports Decent 1st-Quarter Numbers,0.3962
14,"Amazon unveils Fire Kids Pro aimed at older kids, updated Fire HD 10Brett Molina",-0.5218
15,Home Depot and Lowe's Are Still Thriving,0.3244
16,Home Depot (HD) Q1 2021 Earnings Call Transcript,0.7167
17,"Q Capital Solutions Buys Etsy Inc, The Home Depot Inc, Exxon Mobil Corp, Sells Apple Inc, ...",0.5605
18,BRIEF-HD Supply Announces commencement of consent solicitation,0.2066
19,"Home Depot declares $1.65 dividend, announces new $20B share repurchase program",0.8181
20,"Compton Financial Group, LLC Buys McCormick Inc, Boeing Co, The Home Depot Inc, Sells Apple ...",0.7076
21,UPDATE 3-Home Depot to buy back HD Supply in $8 bln deal,-0.0089
22,"Tesla, O'Reilly, CarMax, Target and Home Depot are part of Zacks Earnings Preview",0.3407
23,"Monetary Management Group Inc Buys The Home Depot Inc, Tesla Inc, Union Pacific Corp, Sells ...",0.1447
24,BRIEF-PiPEDO HD says merger between units,-0.0202
25,Home Depot to buy back HD Supply in $8 bilion deal,0.4597
26,Lowe's says not in talks to buy HD Supply,0.1242
