,Recent headlines and conversations for IBM,Polarity
0,this was such an easy call to make .... and they got the right ceo for the job with biggest piece of revenue pie coming from cloud. buy and hold ...,0.7461
1,IBM Spinoff KYNDRYL name sound so much like KYNDRIT Nail fungus treatment!JMHO......Tex,0.6927
2,how can this stock be up a 1.00 if it closed at 143.22 the price should be 144.22 not 142.43 If they do not fix this huge manipulation problem I am never buying stocks the rest of my life Can anyone explain this,0.8514
3,"IBM Cloud is using AMD's EPYC Rome 2nd generation. $ibm isn't using $intc anymore. AMD's GPUs replacing $nvda for tight integration.""Satinder Sethi, GM of IBM Cloud infrastructure, joined me to discuss how IBM Cloud views performance and works to deliver it to its customers. Enterprises moving to cloud want higher levels of performance to support compute-intensive workloads for AI and big data, without jeopardizing security. Security is a critical component of IBM’s hybrid cloud strategy, and technologies like 2nd Gen EPYC with SEV-ES help drive new levels of security in the hybrid cloud era. IBM Cloud customers are also asking for better memory bandwidth for big data and analytics workloads. With 45% greater memory bandwidth in its class,[iii] 2nd Gen EPYC provides fantastic memory bandwidth scaling for big data and analytics workloads. Finally, the core scaling and breakthrough performance of 2nd Gen EPYC provides a superior quality of service and a higher level of performance for container workloads. IBM plans to have more to share in 2020 about its new performance offerings for clients.,https://community.amd.com/community/amd-business/blog/2019/09/18/2nd-gen-amd-epyc-continues-market-momentum-with-new-customers-and-new-performance-milestones",0.9892
4,The usual hopium has set in. The #$%$ Kavanaugh will blubber the same platitudes and clich�s around 'higher value' and 'hybrid cloud' while revenue continues to shrink. He'll boast about 'double digit cloud growth' while the top dogs are growing at 50% +. IBM has no sales presence outside their ever shrinking enterprise pool of clients.,0.5819
5,"Rometty represents the I in IBM, the I as in Incompetent.",-0.5248
6,My PT on IBM is still 230 Warren Buffet was RIGHT went with airlines. All good IBM is a good company with GROWTH again FINALLY.,0.8884
7,Whenever someone says gaps don’t fill show them a 5 day chart of this stock.,0.3907
8,"IM LONG IBM since 1993 I have been a shareholder. Now having said that...The only reason to remain in IBM stock is the dividend. The stock will never get back to where it should be in the 200-250 dollar range while the BOD plays pocket pool and allows Rometty to remain as CEO. There have been too many strategic blunders and failed market penetrations like Watson,AI, health care...the weather channel(never understood that one)... the list goes on and have cost the company and shareholders dearly. IBM lost a major cloud contract with the DOD to Amazon....Amazon( a core online shopping and entertainment services), now taking share in cloud computing. What a slap in the face to a company which used to be a technology leader far and way better than any competition. Rometty and her management team are driving the bus off a cliff and you can only hide your failures using off short cheaper labor for so long until its over. Then its to late, Rometty walks away will millions in the her pocket and leaves behind a hollowed out company, like Imelt did to ge) Every one of her management team should be FIRED and middle managers put back into the tech ranks or laid off(like they have done to so many) so the management levels get flattened.",0.9904
9,"IBM would soar 20 pts if the BOD announced that they fired Gin soaked CEO Rommetty and replaced her with some who can run a major tech company. Under Rometty, it is estimated IBM has lost over 30 BILLION in market value. BOD do your duty to the shareholders and find someone who can run this company as it should be or resign your seat!",0.9029
10,"Grease up, longs.Earnings will be ok but El #$%$ (kavanaugh) will dumbfound the analysts yet again with endless business platitudes and blather.",0.4421
11,Definitely going over 120 today,0.38
12,Cramer did this,0.0744
13,GOOD DAY I think he should be the CEO,0.7998
14,"How to boost IBM PPS? IBM CEO threatens to pull Anthem business unless Anthem outsources to IBM Softlayer and.call it a "" cloud"" deal to show Wall Street they are ""gaining"" on AWS and Azure. Oldest trick in book.",0.2301
15,"former IBM CEO is on CNBC at 8:15 am Eastern time.P.S. I bought IBM back in April knowing that the changing company would expand faster. It has and will continue to do so. It’s Cloud business is growing 34%, to competitors who’s Cloud is growing on average 20% this year..",0.7388
16,"A quick non-scientific calculation shows IBM has bought back about 20 million shares a year over the past 10 years, and there are about 2/3 of the shares outstanding now. Roughly 80,000 shares per day being bought back by the co. Annual div. increases and stock yielding over 4%. This co. is not going away and worth a buy.",0.9611
17,"Is $145 a reasonable entry price? Serious replies only, please. Thank you.",0.7204
18,this is ugly,-0.4958
19,IBM was yesterday at an 11 year low... the stock market rebounding President Trump spoke with China’s President Xi and they might come to an agreement soon on trade. What is there not to like about IBM at these low prices ?? This one is an easy buy. It’s already creeping up. By the next week Friday it will be at $120 or more.,0.9402
20,"5% drop tomorrow, at least",-0.2898
21,IBM is the future,0.0532
22,"""IBM unveils 2-nanometer chip technology for faster computing""I guess IBM's great number of patents means something after all...",0.7805
23,Value and dividend investors will enjoy picking up more shares at a discount tomorrow.,0.8548
24,"Soon, Ginny will announce retirement, IBM stock will soar",0.5331
25,Rhat CEO should lead IBM to the next decade.,0.2015
26,"So IBM buys RHT for $34B, they take on $20B debt to finance it. To service the debt at 3.5% or so, they pay $700M on interest. RHT made $433M in profit in 2019. Even if they make $500M, there's still $200M short. Every year. How is that gonna work?",-0.1983
27,"IBM is the most likely strategic buyer.Shares of Cloudera (CLDR) - Get Report shot up 18% on Tuesday to $12 after Bloomberg reported that the enterprise software firm is fielding takeover bids, although no deal has yet been reached. Trading was briefly halted in the stock after the news was reported. D.A. Davidson analyst Rishi Jaluria wrote on Tuesday that IBM (IBM) - Get Report ""is the most likely strategic buyer, especially given the partnership between Cloudera and IBM."" The two firms teamed up starting last year on data and AI programs within Apache Hadoop.",0.9395
28,IBM with Rometty is becoming a silly joke. Some IBM dude told me yesterday that with the RHT acquisition IBM will be a dominant player in the cloud market. I think they all swallowed a few too many magic corporate propaganda pills. It is as if a large tire manufacturer would claim that they are the biggest player in the automobile market because for every car sold there are at least 4 tires that go with it. IBM became delusional to the core.,0.6102
29,Welcome to the new GE.,0.5052
30,"What does this mean? ""Systems (includes systems hardware and operating systems software) -- revenues of $1.8 billion,down 19.5 percent (down 18.0 percent adjusting for currency), with growth in Power, more thanoffset by the impact of product cycle dynamics in IBM Z and Storage."" So the mainframe biz is not coming back until the next generation (product cycle). But its revenue is far less than half of (each of) Cloud, GBS, and GTS revenues. And Red Hat numbers will arrive August 2, they are not consolidated into the announced results.",0.8374
31,"History shows us that the market will go up regardless of who wins, so load up some IBM while it’s still under $120! I don’t believe it will be this low for much longer. Good luck all!",0.9294
32,Cain you see it investors trying to get out of the Market,0.1949
33,"I don't get it. SNOW is more valuable cloud company than Redhat? Can anyone tell me why IBM is undervalued than SNOW? Redhat has more customers, more revenue, and well-known in the industry for years.",0.7162
34,"After all these years’ downbeat report, IBM has finally appears to be on the course to stop the revenue decline. May be this can be the start of its turnaround.up over $6 with this surprise report. Red hat purchase must be showing its positive effect now. So far so good.",0.8701
35,"Ibm to hit 180...totally, I think Buffett is missing out on ibm. Ai will be huge, and ibm is investing heavily on it, record number of patents, not to mention blockchain wich is the future, and ibm is at the center of it. I can see $200 sometime in the near future.",0.8341
36,excuse my naivety but how are dividends payed out? i bought some shares today so will the payment go direct to my brokerage account or will physical check go to my address on file? Thanks glta,0.9736
37,wow...up two days in a row......now only 268 more up days before and IBM can be considered a real investment,0.5478
38,stock will rise 10% when Rometty is gone.,0.1089
39,Is 139.70 the next support?,0.3833
40,if you bought yesterday for the dividend you lost 1 year of dividend in less than 24 hours,0.1456
41,Down to levels first seen 20 YEARS AGO! Way to go BIG BLUES!,0.3495
42,Any PT updates? This seems like a nice dividend paying stock.,0.7082
43,Rometty is overpaid CEO. She has to be replaced. But BOD has no will to do it. Why? Because they also financially benefit. Only shareholders have not been rewarded. ROMETTY HAS TO GO!!!!,0.9416
44,"Long here, waiting (far too patiently) for a good exit point. Past and current management has gutted the company, laying off critical talent in a downward spiral of shortsighted cost-cutting moves to try to boost quarterly numbers while sacrificing long-term development initiatives. Any hints of weakness in the report tomorrow could test the 134 support. However, it probably won't slip much lower since it becomes much more attractive at as a dividend play at lower numbers. Before buying this, make sure you do your research and consider this primarily as a dividend stock, not a growth option. Until the current management is replaced, expect to be perpetually disappointed.",0.9788
45,"so looking at past trends IBM has been selling off after earnings I do have some puts because of this, but after the sell off in earnings it usually recovers.... and that's when ill buy",-0.0266
46,I am still betting long on the new IBM and the current moves with ATT and RedHat. All good. Nice div. Even Ginny has me sold...which is a change from my previous thoughts on her as CEO!!!! We shall see.,0.9189
47,Down it goes again ...,-0.205
