,Recent headlines and conversations for KHC,Polarity
0,"dividend is safe with low payout ratio.......don't like companies buying back stock.....colgate reported significant revenue growth in Europe/North America today........our mayonnaise coming back to store shelves is a big deal as Hellemann's cannot hold a candle to it.Also,the ketchonaise launch will be huge.",0.8829
1,double volume green day ahead of earnings..very.interesting,0.3601
2,I've been long KHC for quite awhile. I'm glad it's finally seeing some bull action. I see some more upgrades prior to and after earnings...,0.768
3,"Interesting - price bottomed at 32.05 yesterday. At 32.00, the yield (based on the new dividend rate) is exactly 5%. Perhaps this is the new support level?",0.8809
4,"good to see you're following my comments at the other one. paid forums posted in the a.m. triggered my mobile as alerts are set to all our trust holds. additionally KR was tagged as well. of course, KR is not laboring under poor next 5 quarter of earnings forecast. we have many sh of KHC and KR and will continue course. of course, you know best, and thank you for continued enlightenment.",0.9509
5,Someone bought 30k shares after hours at $32.43,0.3278
6,Kraft Heinz 38$ a share,0.296
7,Z,0.0
8,Investors in khc... have you actually tried khc products? See.. the consumers have and they ain’t feeling it...,0.2745
9,"Buffet bought Kraft five years ago in the $70 range, now is in the low $30s it shows that the oracle of Omaha is human after all.",-0.2233
10,3G Capital to take KHC private,-0.13
11,KHC tried to buy UN. Would be funny if the tables were turned,0.4147
12,I muted 8 or 9 posters with doomsday messages. instead of thumbs down mute them and send them to isolation island.,-0.6976
13,"Put that OSCAR MAYER bacon and Kraft Cheese , Mayo and Heinz spicy Ketchup on the FAKE meat burger and man you have something you can choke down LOL",-0.2927
14,Fantastic numbers from Kraft Heinz. The turn-around is real!http://ir.kraftheinzcompany.com/news-releases/news-release-details/kraft-heinz-reports-first-quarter-2020-results,0.6209
15,Is dividend safe?,0.5312
16,Its all over folks Buffet confirmed he was the big seller,0.267
17,Are Kraft wearhouse have enough to reload empty grocery shelves?Let's feed the world and be kind to each other.,0.5628
18,"If KHC goes to 20, I will add and stay long. Will be 50 in 4 years. Be patient, Boys.",0.6372
19,yahoo shows after hours pop: 34.17 +1.97 (6.12)After hours: 5:22PM EST,0.6827
20,I think that everyone is scared of bad news and they think whomever is selling has gotten heads up on whatever that news is ----the drop only stops when the news is out in public (or goes down a lot more if the news is truly horrible),-0.2283
21,We have seen a big move down in the markets the last week or so and this stock has held above 30 dollars. i think that is proof enough that we have seen the bottom in this one.,0.4996
22,"Once all the fund managers liquidate their positions like the sheep they are, this will stabilize and start to move back up. There’s a reason index funds usually outperform active managers",0.8052
23,It's like KHC is under pressure because people are scared or are betting on a new sell off from 3G. Very interesting. I plan to double down before earnings,0.5332
24,hope everyone is enjoying their KHC dividend. making nice bank on recent purchase of aapl shares.,0.9173
25,"This is starting to look like a good deal. In the big picture, the large charge off is a non cash expense and shouldn't affect earnings or cash flow at all. The dividend cut is also irrelevant because I think its actually a positive and can help address the debt. The stock sold off nearly 20B in market value due to the write down and div cut, seems oversold. I almost see it as the company just got 1/3 cheaper with the same cash flow and earnings because that is pretty much what happened",0.9461
26,"They missed on top and bottom earnings of $0.84 per share, excluding non-recurring items, $0.10 worse than the S&P Capital IQ Consensus of $0.94; revenues rose 0.7% year/year to $6.89 bln vs the $6.93 bln S&P Capital IQ Consensus",-0.5332
27,lower price is good for long term accumulation..down is good for me..roll over dividends and add more to roth jan1,0.8942
28,holding gains..that's positive,0.7334
29,Added 500 shares @ $26.70,0.296
30,It’s worth 40$/share,0.2263
31,"This might be a stupid question, but could someone just buy certain stocks the day before their dividends are given out and sell and find another? Or do certain company's require a certain hold date",0.8986
32,Forward P/E is 15.88.,-0.198
33,"Alright guys i don't see Macaroni and ketchup going away anytime soon... yeah little on the high side debt wise, but this is a strong buy.",0.8493
34,"Hmmm, 35 after earnings maybe? Or does the whole market tank.... Fed pump makes for ever increasing stocks... The mac and cheese is strong in this one.",0.6716
35,Cheese and ketchup will not get a bailout.....,-0.0288
36,Some Big Guys/Hedge fund owner --- buying big amount of stocks--- LOOK @ VOLUME. Buy it right now and wait for just 2 or 3 weeks. -- good chunk of money in 2 or 3 weeks.,0.8575
37,This is easily a 40$ stock.. time to buy,0.4714
38,3 stocks to own in 2021 KHCINTCGM,0.0607
39,$20/share here we come in a few days...,-0.0079
40,LAST POST INSIDERS ARE LOADING UP ON KHC STOCK!! AT 12 TIMES EARNINGS TRADING AT A HISTORIC DISCOUNT.,0.8776
41,they have issues..but most of the bad news is factored into the cheap price already,0.0085
42,"Sold my entire KHC at $32.30 lost $27,000. Rolled it over to Facebook. Don’t get me wrong I still like KHC but with all the negative news and Lawsuits it’s not moving like I thought and I currently believe FB is a fast upside from now to earnings.",0.52
43,Another record high today and it is just the beginning. Buying shares with dividend until this hot $64.,0.8311
44,"Current price is $31.75. Very reasonable numbers show that stock should hit $43.25 by year end (+36%) after surprisingly good earnings and $46.55 within 12 months (+47%) from today's prices including dividends. Stock hit $97.00 when the DJIA was at 20,500 in 2017.",0.8106
45,If Buffet and 3G ARE selling here come the 30’s!,0.1761
46,Tomorrow we jump over $30 and the uptrend begins,0.5389
47,Glad this isn’t in my portfolio,0.5508
48,Do super bowl wins make stocks go up? GO PATS!,0.8397
49,Should I buy today or wait until tomorrow?,0.3376
50,I hope the stay away from Campbell soup. people want healthy soupnot soup overloaded with sodium with almost no nutritional value or fiber.,0.6005
51,Buffet and 3G averaging down slowly !!! I believe that as the generel market drops KHC will continue to rise as investors secure a good dividend and move to safer stocks. We all need to eat no matter how the economy is going. Time to buy KHC at these low prices.,0.6213
52,Keep ur eye on Buffet.,0.7488
53,Right move to sell cheese. Now they need to build up more vegan products.,0.4406
