,Recent headlines and conversations for KHC,Polarity
0,"Kraft Heinz cuts 2,500 jobs in U.S., Canada after mergerCandice Choi",-0.2036
1,"Kraft Heinz slashes dividend and discloses SEC subpoena, leading stock to plunge 20 percentChristine Wang",-0.4104
2,BRIEF-KHC acquires 7% stake in Careem for $62m,0.2285
3,"Domino's, Ford, Kraft Heinz: Stocks That Defined the Week",0.3233
4,"Kraft Heinz Recalls Chef Francisco Soup Product For Undeclared Milk, Eggs",-0.2162
5,"The Kraft Heinz Company to Report First Quarter 2021 Results on April 29, 2021",0.2246
6,"Kraft Heinz sees hit from rising competition, supply constraints",0.5384
7,"UPDATE 4-Kraft Heinz revamps business structure, sells parts of cheese business to Lactalis",-0.3553
8,Kraft Heinz Reports First Quarter 2021 Results,0.0066
9,"CORRECTED-UPDATE 3-Kraft Heinz sees hit from rising competition, supply constraints (Feb. 16)",0.5384
10,Investors are eating up shares of Kraft Heinz — here’s why,0.4703
11,Kraft Heinz Co. stock outperforms market on strong trading day,0.7768
12,DJ Kraft Heinz shares rise after earnings beat,0.2465
13,"Pacitti Group Inc. Buys Nuveen NASDAQ 100 Dynamic Overwrite Fund, The Kraft Heinz Co, Comcast ...",0.5942
14,"Ketchup shortage is nearing an end, says Kraft Heinz",-0.2841
15,Kraft Heinz 'Mayochup' dispute revived by US appeals court,0.0011
16,Kraft Heinz finally gets some praise from the Warren Buffett crew,0.8376
17,"Kraft Heinz revamps business structure, sells parts of cheese business to Lactalis",-0.1862
18,The Kraft Heinz Company Declares Regular Quarterly Dividend of $0.40 Per Share,0.4557
19,Kraft Heinz Announces Nominations of Lori Dickerson Fouché and Miguel Patricio as New Board Members,0.2793
