,Recent headlines and conversations for K,Polarity
0,SS Agents️ tells all on nasty hate filled Hillary. Thank God she lost.https://m.youtube.com/watch?v=zbJe-Yelp-I,-0.7803
1,Wrong Michael. Coronavirus is great for Kellogg. Cereal shelves are being sold out. Are U shorting Kellogg?,0.3862
2, Watch Ben Stein call out fake news CNN. https://m.youtube.com/watch?v=iMfLmjQ6Q9U&itct=CBEQpDAYACITCN3Aq7e0wtICFUHOqgodPQsNxzIGcmVsbWZ1SMXrr6bzqZrD2gE%3D,0.1644
3,Sorry MSNBC lovers but you can't fix stupid Rachel Maddow but they can fire the crazy gay women https://www.youtube.com/watch?v=Ut0TaegQ-kw,0.1712
4,Barack Hussein Obama has ran up the national debt higher than all past presidents combined now at $20 trillion.,0.1844
5,hillary is to immature to be a prez. she still waddles around with a rag,-0.0572
6,"I started following ""lionstock-aletrs” (Gooogle it - off course without any space or dash in between the words) and their notifications are better than anyone else.",0.5762
7,I see now Morningstar commercials lately. The contain natural substances while beyond meat contains many never seen chemicals. It taste great.,0.8336
8,"K trades close to upper Bollinger Band heading into earning, will close the short term position with gains. Not sure about the earning. Good luck longs",0.8283
9,"""Black crime rates were lower in the 1940s and 1950s, when black poverty was higher"" and ""racial discrimination was rampant and legal.""If it's not racism and poverty that are blame for the high black crime rate, then what is?",-0.9626
10,This says it allhttp://investorplace.com/investorpolitics/kellogg-company-k-war-breitbart/#.WEGQ4bVOKaO,0.0314
11,Reminder - we already had our first female president. Muslim Valerie Jarrett ran the White House for incompetent Obama.Now you know why she moved into Obama rental house last week https://m.youtube.com/watch?v=u2kFjjHPdgk&itct=CAYQpDAYCyITCLPRuoGfwNICFdLiqgodytIKwDIHcmVsYXRlZEjQkuW_mZ6Ftkg%3Do,-0.4343
12,K is down 7.43% to 64.21,-0.2462
13,"So what I'm gathering is that Kellogg's sold a few of its non-core assets to consolidate and prioritize their growth strategy, which includes capitalizing on growing dietary and lifestyle trends with healthier foods and sustainable farming, while also acquiring businesses in developing economies to target emerging market growth.The dip is a direct result of marginally reduced operating profits from the divestiture and lower short term guidance. They're investing elsewhere in both operating facilities, businesses and product innovation, they're seeing organic sales growth in most geographical regions. They're still a profitable enterprise and making moves to try and secure themselves for the future.Our global population is continuing to grow and we will only have more mouths to feed, I'll take a nibble at this stock when it dips over SHORT TERM outlook and then I will hold it over the LONG TERM for the dividend income.Disclaimer *I'm just an amateur retail investor, don't take my words for financial advice*",0.9484
14,"Pussssygrabber's inspiring words at the Israeli Halocaust Memorial:""AMAZING!"".. he says.... ""great to be here with my friends.........""he spent all of 15 minutes there......http://www.nydailynews.com/news/politics/trump-amazing-time-friends-holocaust-museum-article-1.3188896",0.8237
15,"Here is why I voted for President Trump on Nov. 8, 2016. I lost my job in 2010 when Obama let all the H1-2 Visa people from India and Pakistan into the USA who took all the IT jobs in Wauwatosa Wisconsin Company for lower pay and I had to train the new person in my job before I got my severance package. Obama was a total disaster as President for me and many people I worked with who also lost their jobs. Could be why Trump won Wisconsin a normal Blue state just like Michigan. I will vote for Trump again in 2020 he is making America great again just like he promised. Stock market is more proof it closed today at a new record high.",0.9564
16,breitbart pooped on this company big time.,0.248
17,Kellogg’s is good. Staying in for good,0.7259
18,"What a clusterf#k from RAD management. They have been gamed, even if the deal does go through. Running the stores into the ground while waiting on WAG and the FTC, not too mention having to less than the agreed upon price. RAD needs new management,",0.8133
19,Last chance to buy organic co Hain,0.3293
20,Nice haircut this year for K2017 they will get shaved bald (I like it for a short position)Twitter users are promoting major boycotshttps://twitter.com/SpecialKUS/status/804379293304266752Looking bleak for K longs.. Last one out get the lights please!http://seekingalpha.com/article/4031083-recent-news-kellogg-short-still-convincing-ever,0.6046
21,http://www.alternet.org/personal-health/video-suggests-trump-suffering-alzheimers,0.0
22,Will Hillary Clinton run again in 2020?I hope so then she'll be a three time a loser.,-0.0318
23,I joined the boycott yesterday!,-0.3731
24,boycott Kellog...,-0.3182
25,I agree with Fritz that Obama is the worst president in the past 70 years. He makes Jimmy Carter even look good.,0.0003
26,Total Classless Obama shames himself in the White House . Shame on Obama https://m.youtube.com/watch?v=vpa9Kfafarw,-0.7779
