,Recent headlines and conversations for LOW,Polarity
0,LOW reached an all time high at 122.68,-0.131
1,Z,0.0
2,Looks like HD should have acquired LOW. Acreative to their earnings and they are substantially larger.. If on line sales start to eat at the bricks and motor there may only be room for one box store.,0.681
3,CEO COMING TO CRAMER SHOW DOESNT WANT TO BE NEGATIVE WILL BE POSITIVE WILL BE UP $1.25 BY CLOSE,0.4295
4,Very aggressive buying. 101 already.,0.2097
5,"Go LOW, got the mojo for some mo-mo! Up >10% in ~6weeks, since avg. of latest buys. With a divy comin up. Not too shabby...",0.8157
6,LOW reached a new All Time High at 107.29,-0.0428
7,How can Home Depot go up huge dollars when this thing has just recovered nost of yesterday s loss? Comparing the rwo compa ies is like soaring with eagles but watching turkeys fly.,0.6546
8,Lowe's Companies is down 11.91% to 85.00,-0.2462
9,Does no one comment on this blog ... Newest reaction is 3 days old (-;,0.3346
10,ITS ABOUT TGO TO 118 IM COVERING TO 119,0.4035
11,I don’t see any negative news on the stock no reason for it to be be down so much on up market day,-0.5544
12,"Hey Niblock, what about your employees who make your company? Time to share the love.....splurge!",0.6226
13,"Attn Lowe's 401k low traders:If you purchase company stock via wells 401k, they will buy @ highest price of the day ! If you sell low stock, wells will sell @ lowest price of the day !! Not avg price as they say.",0.8789
14,I buy mo LOW tomorrow..,-0.2599
15,Sears announced selling its Kenmore products on Amazon that have resulted in its soaring of prices by 18%. This have caused in decline of prices of Lowes and Home Depot by almost 4%. This is the second time when brick and mortar retailers are being hurt by any news of Amazon dominance without even seeing the tangible effects. Last time Costco and others got hurt real bad..This time it's Home Depot and Lowe's,-0.0139
16,Lowe’s stock price $100 overpriced.,0.2655
17,"The so-called ""Trump rally"" just ended with a large thud.2 years from now, even die-hard Trumpanzees will be laughing at how they were scammed by Dangerous Don's huge tax cut that benefited only the top 5%.",0.4964
18,$100 coming soon,0.0548
19,Low- not at this price!,-0.2082
20,SHORTED 10K SHARES GOING DOWN AFTER MARKET OPENS WATCH,0.2443
21,It looks like DSC has gone into witness protection. Not bad. ,0.0298
22,HE IS FLUSHING SOME LONGS OUT,0.3561
23,HOPE THE GOD THIS DONT SHOOT UP PLEASE DONT,0.7613
24,Just have found good article about largest home improvement retailer companies. https://www.stockmetrix.net/blog/post/082218/home-depot-remains-better-value-lowes?t=yftima,0.8853
25,$TBL Taiga. Where Lowe's and Home depot get building materials from. You're welcome.,0.7597
26,I SHORTED AT 123 THINK HOW MUCH PROFIT,0.7054
27,if goes down tomorrow I am selling than can back when is lower,-0.3616
28,LOW is down 4.93% to 107.71,-0.5882
29,3 billion in buybacks of stock in the 4th quarter from Lowe's would = $163 a share,0.4607
30,"Hey you fools, go to I-Hub where I hang out for 15 years. I told you all Ellison is a #$%$ and now a protege of his from HD he is taking from JCP. He will ruin YOU shareholders here as he enriches himself and his friends ONLY by tricky bookkeeping trickery and false earnings talks, etc like he did at JCP...JCP don't need his kind and deserves a real caring CEO for shareholder there. Institutionals know this and why JCP stock this week saw large increase of Institutionals buying for portfolios, and JCP is doing very well actually.. .SEC needs to investigate Ellison definitely after this, as it is too apparent what his motives are to me and others...",0.9595
31,LOL. Ex-dividend and it drops.,0.7722
32,thumps up or down for earnings?,0.0243
33,EARNINGS ARE GOING TO BE CRAZZYYY ,0.0835
34,Down -2.4%,-0.242
35,"They had a hold rating on LOW to start with, FUNNY O and they are wrong again.",-0.0771
36,"have both stores across from each other.. hd is way better with people who are actually retired trades and have some knowledge.. lowes has no skilled help.. merch is comparable and find neither superior over the other.. paint in hd is twice as good as lowes.. appliances better at lowes .. so if someone told me that 1 had to close, i would have to keep hd.. find it in more locations and better sales..hd has better div and pe is close to same.imo",0.952
37,Texas gotta rebuild and new landscaping.,-0.0453
38,we are struggling to keep the warehouse stocked here in Cheyenne distributors are the problem,-0.6594
39,I'm going to buy like H*** at $50,0.4545
40,GIVE ME CHEAPE SHARES THANK U,0.5855
41,JUST THINK DOW UP 400 PTS LOWS UP .59 LOL,0.8371
42,"Political comments, please go to a political board. This is a Lowes stock message board.",0.4726
43,Selling is not over,-0.0874
44,LOW and HD are unstoppable. They continue to march higher even in the face of what's going on in Washington. Their ascent from the pandemic floor has gone virtually uninterrupted. Long and strong both although my LOW return dwarfs my HD return.,0.2956
45,Another down day.,-0.1492
46,"This is a trash company with a Zero customer service. I bought an appliance, it did not work, the exchange is damage. The store manager is busy having lunch, the district manger has no phone. Where in the world a district manger is not reachable.My battle with them is going for a two months.",-0.7965
47,LOW reached a new All Time High at 111.90,-0.0428
48,"The local store is PACKED! Hopefully I'll have some gains in this to offset the $2000 I've spent there in the past 2 weeks! Starbucks too, the drive thru is causing traffic jams 3 times a day. There are a few businesses that are doing well in all this craziness.",0.8987
49,There's a lot to learn about a house!,0.2189
50,3:45 dump show continues,-0.3889
51,Is lowes heading towards $68,-0.0487
52,I like the stock. I am buying more.,0.6472
53,good day to pick up some calls here folks. use this fear to your advantage,0.4838
54,WONT SEE 120 OR 121 TODAY SORRY GUYS,0.2777
55,"Why does lowes say they want college graduates?Its not true. I showed them my credentials it made no difference. One of our cashiers just graduated from a 4 yr University, showed them her credentials and the didn't give her a raze.",0.6269
56,ANALYSTS PRICE TARGETS OUT THIS MORNING:Date Research Firm Action Current PT11/21/19 Guggenheim Maintains Buy 135.011/21/19 Nomura Maintains Buy 137.011/21/19 Goldman Sachs Maintains Buy 135.0,0.8916
57,bad week for most and this stock is up a tad for the week. Got to be excited for next week if you own this one!,0.6495
58,"Funny stuff - the rules of old school, no longer exist. What a joke. I'd rather them just miss.",0.6591
59,BLowe’s,0.0
60,Thoughts on Amazon buying Lowes?,0.4414
61,This thing better drop dead,-0.5099
62,absolutely disgusting makes no sense,-0.7122
63,I’m selling. Sorry. :(,-0.513
64,"Lowe's is taking the same route as Best Buy. Nobody shops there, they just go see what the new state of the art appliances, and then go to Home Depot where it comes out at a later date, but much cheaper.",0.7553
65,THIS IS TRICKING U GUYS WATCH AND SEE,0.2372
66,I could see us getting up to maybe $165 by the end of the week hopefully. That’s around where we should be at right now. GLTA!,0.8066
67,How'd the lousy shorts like today? The chadwink moron got run off. And tomorrow more pain for short idiots.,-0.8442
68,Hold and add more 120 price target,0.2443
69,Where low competes against Menards..they always lose.,-0.6771
70,"I can understand short term traders selling LOW today, but anyone selling that planned on being in Lowes long term is badly misinterpreting the big picture IMO. The long term story is a strong if not stronger than ever. Good luck to LOW longs!",0.9482
71,a break above 94 and change could mean a run at 100 a share again,0.5432
72,"This company is doing so well it can afford to buy back billions in stock. Cramer and other analysts have called it undervalued due to new record high home ownership. I’m holding this and HD in my portfolio long, folks. 2021 is going to be a great year.",0.974
73,Looks like new Lows are on the way. HD down big as well,0.4177
74,MAN MAN MAN U GUYS FOOLS,-0.3955
75,"""Vaccine announced. Guess I better unload my retail housing materials stock since nobody will be renovating houses anymore because they're off catching flights and partying on cruise ships""LOLJust another rotation based on the headlines. I'm buying more in anticipation for earnings. GLTA",0.9683
76,Where is the dividend increase ??,0.4784
77,down baby down!,-0.3011
78,Buying over $114 has not worked out for anybody in the last several years. Does anybody think it will suddenly break the pattern this time? Why?,0.1875
79,"Div payday today, along with price appreciation along the way, funds my vacay... thanks LOW!....",0.83
80,Lowe's Companies is down 7.50% to 97.41,-0.2462
81,"$WMT with $82 average price target... where is the upside here? $AAP hammered, $LOW hammered. I shop there but isn't this thing in the nose bleed section for retail stocks? Sorry just shocked it has not gone much lower yet as I look for a position in it possibly after a real pullback as it is a great company.",0.649
82,Low ready for stock run up.AZEK the Thinking man's stock pick.,0.6718
83,"I don't buy the 4th quarter eps number. That said, it was a blow out quarter. I think they have a lot of inventory they didn't write down and they won't sell. They're obsessed with shrink and hide a lot of problems. That said, their experiment with cutting employees was the right move. They were smart. I work summers there and am very good at what I do. Was in the store last week and it looked great.",0.8009
84,How Lowe can it go?,0.1565
85,CEO Only got the job because he’s black. Certainly not because of his poor performance at JCPenney!!!,0.4083
86,"2020 sales growth is pretty good. it was crazy crowded during the summer at my 3 area local stores. their Lowes card offers 5% off purchases for credit users. 3Q earnings call (11/18) must be the big bet. I am not shocked with this breakout, its been trying and going up since May.",0.9378
87,Low will beat Depot’s earnings buy a significant amount. Market had been looking for Low to show they can do this repeatedly. Low will shoot up tomm and keep the train moving towards $200. Bank it!,0.3621
88,Lowe's Companies reached a 52 Week low at 85.00,-0.1464
89,This is a clear buy. It's going to beat estimates. Huge increase in revenue. HD was weak....haha,0.816
90,HERE I GO MAN NO JOKE HERE IT GOES,-0.0372
91,"With Lowe’s and Home Depot out of a lot of inventory for the last month or more, they are jacking up prices on lawn and garden supplies etc.I would be skeptical about the profitability of this quarter!",0.65
92,Merry Christmas!!!,0.7491
93,GO DOWN MORE BABY GO DO DOWN MORE,-0.2093
94,"Operating margin issues, untrained, knowledgeable employees, guess I had it pretty well nailed. Where is Joe Don't Know?",0.8463
95,Well at least were all on the same page. ILLRASONAL,0.3592
96,GIVE THIS DAMN THING A CHANCE COME DOWN,-0.3094
97,Home Depot and Lowe’s are cut in half If a competition emerges. Possibilities are there.,0.0953
