,Recent headlines and conversations for MA,Polarity
0,What is up with this stock Should be easy 400,0.722
1,How could this be down? Unreal.,-0.2107
2,"The HUGE Government stimulus package represents a great benefit to MA and V in a heated spending close out of this Qtr, and it will ripple through the spring and beyond!",0.9091
3,Gonna roll over big time stimmy checks mark the top,-0.0611
4,STRONG FINISH FOR MA TODAY!!!,0.5823
5,Buy Buy Buy !!!!!,0.576
6,"Guys, where would you suggest to get in? Is MA heading into correction?",-0.5267
7,"Rough day for MA and V.... hurts but wtv just hold on, no point in selling now",-0.5847
8,Mastercard is down 4.91% to 329.34,-0.2462
9,All ABOARD!!!,0.3876
10,MA will break the 52 week high in the next hour!! There will be a break-out for MA. GO MA GO!!!,-0.7498
11,MA reached a new All Time High at 212.54,0.1631
12,Keep selling please!! More cheap shares for me!,0.8015
13,Strong sell. Profit taking.,0.7737
14,Why is MA trading down. I do not think expectations were as baked in as their excellent earnings. Is there something from the call that may be negative?,0.0685
15,https://seekingalpha.com/article/4378541-mastercard-double-digit-growth-for-over-decade-priceless,0.0
16,"Buying Opportunity, MA and Visa will power higher over time.",0.7916
17,MA will be surging up tmr!,-0.1274
18,Can we hit $500 this year?,0.0582
19,MA IS POSITIVE!!!,0.6348
20,Strong finish forMa!!,0.5318
21,Earnings and revenue smoked estimates today! Earnings=2.15 on revenue of 4.5 billion. Cha-Ching!,0.3332
22,MA and V going out of business or something?,-0.0286
23,ATH for $PYPL $MA $V what a lovely end of the week,0.8884
24,Load time,0.2988
25,Maybe if they beat earnings next quarter we'll get to $150?,0.4565
26,"why oh why didn't you all buy Ma and V at their ipo?....w/a 10 for 1 split, Ma cost basis is $4. ($40 ipo price)V also had a 4 for 1 split",0.3071
27,This is not about tariffs. This is a manufactured crisis brought on by the big boys to start fear in the marketplace!,-0.7618
28,The Fastest growing segment in the digital Payment arena and which has the biggest potential growth is B to B of which Mastercard is king. The ER and the follow up CC should be outstanding. IMHO,0.9687
29,It’s a great time to go bargain hunting in MA & V!- The day trading argument is bogus from a well known “short trader” on this mssg Board!- This an excellent opportunity to add on the dynamic duo — who will spearhead the Economic recovery that’s already began in the U. S. — with more Econ- stimulus on the way in a matter of weeks!,0.9
30,Heres your entryInto fud in a retest . Will be 400’in a week,-0.413
31,Hey Scott <3 Hope we hit 280 today that would be tighttttttttt,0.7956
32,A very good stock plummets just before the ER. My guess is that means it will be a positive report. I’ve seen that before.,0.9187
33,the whole world on lockdown I would not buy now on anything,0.3788
34,Black Friday not going well. Bad for mastercard. Also economy in general getting weaker and weaker.,-0.8034
35,MA is an excellent company!!!,0.5803
36,Solid q3 results,0.1531
37,Best stock buy any dip,0.817
38,MA looks like it is trending down in the last 30 minutes.,-0.2149
39,Is tomorrow going to be green? We got to get this thing going forward now! Way undersold.,0.2389
40,This is beginning of the MasterCard end .,-0.0591
41,@Sonja - MA is not worth owing unless it falls below $130.,-0.3259
42,"MA revenues up, guidance references that travel and spending is back as COVID gets behind us. BUT the BIG BUT is MA said they see expenses will go up 30% due to ne products and programs. The crazy thing is MA did not say what added revenue these new products would contribute. MA may see a few days of drops but once profit takers settle out and weak hands sell.....expect MA above $400 again.",0.7816
43,"What's your ""short trader"" definition of ""tanking"", pal???",-0.5431
44,"Ulrich, where's your money?",0.0104
45,OH come on! Ridiculous to drop this stock today. Economy will come back but if you listen to CNBC pundits we are at the edge of the abyss. Self fulfilling prophecy.,-0.4102
46,MA is rallying again!!! Consumer spending was up big in January!!! GO MA GO!!!,-0.7296
47,As the clock moves inexorably towards the opening bell *** The “short !squeeze” could be an intense affair!,-0.2269
48,Can the board owner get rid of the trash that seems to have taken over,-0.0968
49,Why is this down so much today?,-0.0981
50,"MA on a nice early bounce off its lows, and there is still a very long runway on its path back to recent established highs and beyond — especially when the bullish story of the current economic recovery is written!",0.8532
51,This is being orchestrated by big investment houses. There is no reason for this kind of alarm.,-0.0707
52,SELLING THIS JUNK. I'M GOING ALL IN ON JC PENNY AND MACYS!,-0.1967
53,MA will rock the rest of today!!!,0.8248
54,so happy to have bought that dip.,0.6865
55,"Wow! nearly 5% loss, quite unusual. How are we feeling about this?",0.6322
56,Looking forward to Wednesday report!,0.2483
57,Any good things from the call?,0.5455
58,"Good news today on getting into China,surprised MA and V aren't up more",0.3042
59,VISA did great so MA is down AH !!! Give me a break !!!,0.6849
60,clearing out the stops goes back up after lunch,0.734
61,MA is extremely overvalued. Great businesses do not make great investments if you overpay for them.,0.7921
62,"Technology was the worst sector today. MA,V, PYPL are all moving I to the lagging to underperform sectors.",-0.5942
63,MA hanging tough. Lot of good news been coming our way.,0.0284
64,I short MA now wish me luck,0.1579
65,To the mooooooooooooon,-0.0203
66,MA will easily beat their projected 4th quarter revenue and earnings estimates. MA stock will rise in to their earnings!!!,0.388
67,MA is down 14.45% to 231.00,-0.4608
68,"Market is crazy right now. If you want safe money invest in spacs, they usually trade around 10.5$ and if they merge they double.I recommend to invest in BFT they are going to merge with Paysafe (kind of Square and Paypal) and they are trading at 13.8$$BFT $SQ $PYPL $V $MA",0.751
69,Another high today!,0.4124
70,Goldman Sachs says you need to be in Tech even with the run up and lists its favorites including MasterCard. :)),0.8041
71,MA will rise in to their 2nd Quarter earnings in July!!! What a great stock to own!!!,0.728
72,Exceptional buying opportunity below $370 for the MA juggernaut!,0.512
73,Macquarie initiated coverage of Mastercard with an outperform rating and $365 price target.,0.6669
74,Who uses mastercard,0.0363
75,MA & Visa are the best companies to invest in. Long term outlook remains strong. Buy and hold forever.,0.8445
76,crash,-0.4019
77,Sub 200 by June 10th. Some says 175.,-0.2505
78,It should be a a huge rebound day for MA stock today.,0.5894
79,time to buy,0.1484
80,tomorrow morning will be its highest.... according to history.... just playing the game... odds,0.1658
81,Get ready for yet another fun and profitable day amigos. Get used to it :)),0.895
82,"down on very low volume, and a short trading day. Computers running things, MM off enjoying long weekend after they set their formulas. This will open Monday higher when realize MA and others are bargains.",0.7437
83,Bought 100 more shares. We shall see what happens.,0.3358
84,Going nowhere until a COVID vaccine is prevalent and people are back to travelling. If you're looking for short term gains I'd be a seller and come back mid 2021.,0.7044
85,Just like Visa this will BOOM in the coming years. Get aboard this money train. Less and less people using cash before covid let alone during/after. Long long and long.. thank me later ,0.9282
86,https://www.bloomberg.com/news/articles/2020-08-28/capital-one-cuts-card-limits-amid-u-s-impasse-on-jobless-aid?srnd=premium,0.0
87,Time to short MA AMZN GOOL HD SPY,-0.6276
88,$270.00 Today mark my word. I went into the future and came back.,0.3777
89,Brilliant Green program from Mastercard. Today if you don’t have an environment friendly strategy the college grads won’t work for you and Millenniums won’t buy your stocks nor will a growing number of Fund Managers.Anecdotally speaking I won’t buy an oil company stock (neither tobacco). This coming from someone who at one time had an overwhelming number of oil and oil service company stocks. Things change. And those that don’t respond to it will be left behind. IMHO,0.8998
