,Recent headlines and conversations for MCD,Polarity
0,Trump said there might be limited travel within the state,-0.0669
1,Gorgeous 6 month chart. $180 by end of the year!,0.7088
2,McMoney cha ching!,0.0
3,MCD is a hold-forever one,0.1939
4,"Will continue to hold. Unfortunately many restaurants will never re-open, fast food will continue strong. This is not what I want for these other restaurants and businesses. This will be one of the fastest to recover.",0.602
5,Covid heavy at McD and burger king.,-0.3118
6,"ONCE the EARNINGS CHASERS are done with the momo stocks, they will return to MCD, and continue to pocket the FREE MONEY from the quarterly dividend payout. ",0.9298
7,Should outperform under socialism,0.2482
8,"MCD is killing it with the quarter pounders, fries, and strawberry/chocolate shakes",-0.6209
9,MCD is down 6.41% to 138.97,-0.2462
10,Apple looks too highstreaming will help thoughbut the PE is high relative to the growth rate and its at a 52 week highup too much in one year for its size,0.894
11,Should go over ATH today. 230,0.7736
12,"Have you seen MCD's menu since the pandemic started? It's a piece of $h|+. Nothing but fried, fried, fried. Grilled chicken - GONE. Grilled wraps - GONE. Breakfast during the day - GONE. A big part of the problem has nothing to do with MCD - it's lazy people who would rather sit home and take $600 and not work. Short-sighted, but the reality right now. Take away the $600 and watch how many people go to MCD for a job. But MCD is really backed into a corner, and let's face it, $8 + for a quarter pounder, fries and a drink? I'd rather go to CMD and have a much better quality meal for $9 and change (includes a drink). And if you load a bowl correctly you can SPLIT it with another person, so it's CHEAPER and BETTER QUALITY. MCD is toast.",0.9755
13,CEO Easterbrook OUT ..... he was inserting his HotDog in a co-worker's PuddingTotally inappropriate,0.3574
14,will it get to 192.45? My exit price for shares. Did nicely with calls earlier too. Thanks to people who ran and abend the stock:),0.797
15,"a little over two years ago the price was $110what is their growth ratewhat is their debt growth rate, total liabilitieswhat was buybackseems like its all buyback and the PE is at least two times too highhttp://bigcharts.marketwatch.com/advchart/frames/frames.asp?show=&insttype=Stock&symb=mcd&x=26&y=19&time=10&startdate=1%2F4%2F1999&enddate=5%2F6%2F2019&freq=1&compidx=aaaaa%3A0&comptemptext=&comp=none&ma=3&maval=50&uf=0&lf=1&lf2=4&lf3=2&type=4&style=320&size=4&timeFrameToggle=false&compareToToggle=false&indicatorsToggle=false&chartStyleToggle=false&state=11",0.8354
16,A bunch of fear mongers on CNBC trying to drive the price down to rid of Trump. Bringing the con man ackman on to lower stocks then rerunning it every hour. The panicky lil girl is a known shorter of stocks and they let him speak like he’s an expert on viruses.,0.6467
17,178 to 160. where can investers find sell points,0.1146
18,Zero rates ... I will eat my cheeseburgers and clip 2.50% all day,0.0761
19,There's no support for this till 194. I am prepared to dip a toe in at 200 and add if it dips further.,0.6368
20,MCD reached an all time high at 197.91,0.3228
21,Wendys is such a better buy than mcd,0.6052
22,I'm looking forward to that guaranteed dividend!,0.2257
23,i can’t believe people actually eat this junk. with that being said good luck longs,0.6572
24,Why does everyone think there is limited China exposure here? My McDonalds once had Szechuan sauce for McNuggets.,0.2446
25,MCD now has one of the unhealthiest menus in the QSR segment. There is not ONE grilled chicken item on their menu. All they have are burgers or fried items like fries or fish or chicken. The lawyers are going to have a field day with this menu.,0.9002
26,"MCD actually climbed after EX Div. date and suddenly to day started to dive on high volume, but what happened?",0.2984
27,"We need new buyers. MCD is so close to new 52 week high. If tomorrow is another rally day, it should be able to make new 52 week high.",0.7575
28,McDonalds mastered the minimum wage increase. I see less poeple at the counter and more food on the move. Tech savy and younger customer are ordering more food on the apps. What a story...they transformed a behemoth company less than 2 year. Management deserves an atta-boy. I'm buying on any weakness.,0.1702
29,"how safe is mcd's dividendHmmmmmwhat about how does the dividend compare to the 10 year treasurywell, see my other posts, it puts mcd worth $147 per sharehow about the price to sales ratio at 6.7 compared to SBUX down around 3",0.6625
30,Wagering it’s in the red at closing.,-0.4968
31,Good job McDonald’s. Supporting first responders will give you a lot of goodwill. I know I will always be a loyal customer for life!,0.8579
32,MCD BS ALL SMOKE AND MIRROW,-0.1002
33,Impressive interview on CNBC with ceo ...it’s a tech company,0.7575
34,"campaign poll numbers are stupid lies, with tiny groups of voters",-0.4276
35,I don’t think this stock will be going up in the next 10 years,0.3182
36,"Actually this is the best news for McDonalds. If they were doing well and this happened, then I'd be worried. But this is the spark the stock needed.",0.7667
37,"From 15 bucks to 208??You can't cry about that, unless you sold at 15....",0.3936
38,sellput in stopsdon't hold it without stopswait for a really major pullback to the 52 week low or so,-0.086
39,COME ON BUY...WE NEED BUYERS.....,0.0535
40,"So I might have done ok today, bought in @ 124.60 almost the low",0.1154
41,EX dividend date coming up end of month. Just saying....,0.6305
42,@ Miss Lovely - obviously you work for someone who has their own agenda here . You aren't a McD investor ( and haven't been ) at anytime.,0.7431
43,earnings matterswithout lookign at earningsif the 10 year goes to 3%mcd is worth $159based on the dividend ratio and present price,0.6714
44,"you've hear of trash daytomorrows crash daygenerally how it worksabsurd target, BOTs take it up, though its already 5 times too high, value $117 I believenext day and later, sells offtime to revisit 700 at least",0.4883
45,"Is there a wall at 235,92 !???? LOLThey dont let it go................... :-(",-0.365
46,selling opportunity,0.399
47,when do the tax cuts go away?,-0.3851
48,Buy back in the afternoon when It's cheaper!!!!,0.5191
49,"Someone is buying MCD one share at a time @ $168.96. About 45 trades. After a 4,300 share block executed at $168.28. Some mutual fund are carefully executing a plan to lift up MCD share price back to $168.96. They are buying a share at a time. Probably one mutual fund sold to another mutual fund. Both have a lot of MCD shares.",0.977
50,$MCD coffee and service better than $SBUX and comparable to $DNKN,0.5487
51,MCD not too bad lately,-0.3411
52,"CNBC ""OPTIONS ACTION"" today.....segment on MCD is set to break down 5-%....all panelists agreed that it is a sell, or short and offered and option stratetgy selling the Dec. $145 PUTS to fund buying the Dec. $155 PUTS.....MCD looks like it WILL break the 50 day average.....and should crater after that.",0.3138
53,Only good thing about this garbage stock is the dividend! No value whatsoever,0.7225
54,earnings up $400 M since 2014liabilities up $16 B,0.4592
55,I guess I won't be going to McDonald's anymore .... I don't where Masks.,0.1394
56,"In this sliding phase should we consider the volume, too? So far about 20 M traded out of 800 M.",0.5623
57,Technical data at 9trading are showing great signs of upside potential. Target: 203.18.,0.7733
58,"I don't feel sorry for employees that get laid off Mcdonald's . They don't give good service at drive thrus and they never give anything extra unless you ask for it. If I order fries , I shouldn't have to ask for ketchup or napkins .",0.6075
59,"Sonic guides lower as consumers cut back...Sonic – The restaurant chain beat estimates by two cents a share, with quarterly profit of 43 cents per share. Revenue missed forecasts, however, and Sonic also issued lower-than-expected guidance.",0.6596
60,whats going on?,0.0273
61,Only north of $160 Billion.Should be up to $165 Billion.Great products. $1.00 any size drinks. Should make the milks $1.00,0.7209
62,What just happened that MCD dropping over $5.00 per share???,0.522
63,"Is miss lovely a "" bot ""??",0.7165
64,#FakeFood,0.0
65,wow! mcdonalds is packed today. I am longving it!!!! dividends soon also!,0.7691
66,Lower Rev's and Lower Earnings on Fewer Shares. Add in McD's inflation and you have less product being sold. The globe is still in contraction.There will be no safe haven if the Free Market Economy is not restored.,0.6408
67,Dang I wish I would’ve waited and bought later down the road instead of Friday. This is going to be brutal. Markets (all sectors) will be DESTROYED tomorrow and probably the entire week. We need some GREAT news on this stupid over blown virus. The MSM is blowing it up like it’s the Black Death. It’s barely worse than the flu and of course more contagious but not EVEN CLISE to what we are being told.,-0.6314
68,there was no newsall of a sudden it goes up a tremendous amountbuilding shortstake a look at the moving averagesWall Street games144.82 was the 52 week low,0.3555
69,buying more tomorrow. below 160 is free money,0.5595
70,Does MCD usually drop going into earnings? Asking for a friend,0.411
71,MCD packed in my travels last 3 weeks in Southwest USA. They are ordering something in there.,0.3573
72,"Even BOGO free happy meal isn't worth $4.Eat MCD and watch your family get fat and have heart problems.If they would just make something healthy, but ""Mc"" means fat salt grease fast and friendly",0.9524
73,$MCD I can’t keep the women off me when I buy them McChickens.,0.2856
74,Coke products just give me one more reason not to eat at McDs.That said with all the anti white #$%$ in the last 4 years can you really trust eating at a McDs or any other restaurant ?If these workers will screw with a cops food think of what they'll do to yours.,0.7389
75,"Britain, customers formed long queues in their cars, snaking around corners as they waited to get a last Big Mac from McDonald's drive-thrus before closings on Monday.People shared pictures of their last McDonald’s meals on Twitter, with one user in Glasgow saying she had sworn to eat healthier but “decided to have one last one for a while.” Her picture show a Quarter Pounder with Cheese, fries and a drink.Oh yeah, get time to buy today...up 15%, not yesterday...today is better lol.",0.9614
76,What’s that SMELL? Shorts burning,-0.2074
77,Im out i made 18% :),0.6462
78,"McDonald's Corp. MCD, -0.10% shares were up 2% in Tuesday premarket trading after the fast-food giant reported third-quarter earnings and same-store sales that beat expectations. Net income totaled $1.64 billion, or $2.10 per share, compared with net income of $1.88 billion, or $2.32 per share, year-over-year. Sales for the quarter totaled $5.37 billion, down from $5.75 billion last year. McDonald's attributed the revenue decline to the company's refranchising initiative. The FactSet consensus was for EPS of $1.99 and sales of $5.30 billion. Global same-store sales increased 4.2%, while same-store sales increased 2.4% in the U.S. The FactSet global same-store sales guidance was for 3.6% growth, and for the U.S., the growth guidance was 2.4%. McDonald's attributed the U.S. same-store sales increase to a higher average check, the result of price increases and menu mix. McDonald's shares are down 3.2% for the year to date, but up 2% for the last year. The Dow Jones Industrial Average DJIA, -0.45% is up nearly 9% for the past 12 months.",0.9074
79,i haven't gone to MCD for five years. Overpriced #$%$ even before COVID.,0.0156
80,160 MORE MCD customers sickened from salads...on nightly news now.,-0.4107
81,"WTRH is becoming the best pandemic stock. Bars and restaurants are ordered to close again due to outbreaks. WTRH is the only online food (including grocery and liquor) delivery company publicly listed now. People stay at home, work from home, and order food from home. WTRH will help these restaurants to deliver food. $DENN $SBUX $DRI $CAKE $MCD $RRGB $DNKN",0.9703
82,"YOU CAN TELL WHEN A COMPANY IS BUYING BACK THEIR STOCK....ON A DAY LIKE TODAY WHEN IT WON'T BUDGE DOWN, YET NEAR ALL-TIME HIGH IN A MARKET ROLLING OVER.",0.8488
83,"Breakfast chicken announcement has me concerned, because it seems a stockgap as new chicken product must not be testing too well, and competitors with breakfast chicken are becoming a problem. We will see.",0.8217
