,Recent headlines and conversations for MDT,Polarity
0,"DUBLIN, April 12, 2021 /PRNewswire/ -- Medtronic plc (NYSE:MDT), the global leader in medical technology, today announced the U.S. Food and Drug Administration (FDA) granted de novo clearance for GI Genius intelligent endoscopy module in the United States. The GI Genius module is the first and only commercially available computer-aided detection (CADe) system using artificial intelligence (AI) to identify colorectal polyps. The module, compatible with any colonoscope video, provides physicians with a powerful new solution in the fight against colorectal cancer — the third most common form of cancer globally with 1.8 million new cases in 2018.1",0.8204
1,"Nice 5% run for the stock, albeit on low trading volumes so far. Up on an acquisition announcement is good to see. It's a question of time until MDT gets back on track at the $120 level of earlier this year. Won't be a straight line -- may be until Q3 (Nov, Dec, Jan) before full revenue is flowing, assuming C-19 is under control.",0.9135
2,Looking like CNBC is promoting a Pollyannaiish theme around viral medsDoes not appear they will be a magic pill to solve this (hope I am wrong)The need for equipment for the most severe cases may not be reduced substantially,0.9017
3,"I wish the Government would Get Out Of Our Health Care System And Return It To The States!It was more Competitive which meant Lower costs for us and % coverage after the co-Pay!If you want a Great Picture Of What a Government Run Hospital  Will look like, Look No Further Than The VA Hospitals Across America Before President Trump Stepped In Just a Little! My Own Father was treated horribly in a run down facility that he had to Wait for months to See a Physician. Dad had breathing problems from years of Smoking  and he Could no longer tolerate the Stench Up Close Especially Right After Someone Just Smoked And He’d Go Into Coughing Spasms He Couldn’t Stop Until Put On Oxygen Or He’d Start Suffocating And Turning Grey!Every Time He’d Go, A Doctor Would Walk In w/Dads Chart In Their Hand , STINKING With The Oder Of Fresh Stench Cigarette And I’d See In Big Red letters stamped across the Top Of His Chart ‘Do Not Smoke Before Seeing This Patient! EXTREME ALLERGIC REACTION! And They Smoked Anyway! They KNEW How Long These Vets waited to See Them And Knew If They complained, they would just Leave and Dad would have to go back on the waiting list!Dad had Good Insurance as an Appraiser for the City Of Austin Tx.! I talked him into going to his OWN Physician , there was no copayment back then and if you had Two Insurance Co. as most Senior Citizens did, Then % Of Your Bill was paid in full!!‘Medicare For All’ is NOT FREE! Who do you think  is Going To Pay For it? Of Course We Will w/Higher Taxes! But we will no longer get to Choose Our Own Doctors, Make Appts For Reasonable amounts of time to See your Dr. or Even Have The Medicine OR Medical Procedures recommended Because your Medicare Plan Won’t Cover The Cost Or if you’re like me And Have An Autoimmune Disease For Which There’s No Cure, they’ll Deny Expensive Treatments And/Or Meds Because Of The Expense.I’m on A Very Expensive Trial Treatment Now That Costs $164,000 the 1st year, 2018, And Will Cost a Little Less this year when I Get My Last 3 Infusions!!Under the New ‘Medicare For All ‘ Plan, Not Only would I And Every Person Suffering w/MS be denied  This Treatment, The Research Funding Needed For Pharmaceuticals Like These would Dry Up!This would be the 1st Step Into Socialized Medical Care Then Onward To The Pharma Corps!!",0.9951
4,Don't let this market hurt you because I will leverage it all.,-0.6257
5,MDT on the move! Investors moving out of FANG.,0.5754
6,MDT has done nothing since I bought it over a year ago. Should have bought Stryker. Planing to sell unless big improvement.,0.5762
7,"Dear Chairwoman Yellen and company, I am ready for rate hikes in U.S.A.Only Yellen and company can stop Trump's administration for outrage government spending that will increase outrage U.S. account deficit because we also have Republican House and Senate. Only higher interest rates will scare politicians in excessive government spending only because too high of interest expenses will hurt U.S. long term economy.",-0.882
8,I am glad to see MDT moving up some the last few days.,0.7586
9,Sad...great earnings and guidance on such a down day!,0.1078
10,"Color on the Citi Buy rating on MDT today:""Medtronic initiated with a Buy at Citi Citi analyst Joanne Wuensch initiated coverage of Medtronic with a Buy rating and $124 price target. The analyst is positive on the company's ""robust"" pipeline with its Hugo Robotic Assisted Surgery technology set to perform its first-in-human operation early next year as well as its Evolut Pro+ TAVR system and Micra AV transcatheter pacing system. Wuensch adds that she will look for greater accountability and increased tuck-in M&A under the leadership of Medtronic's new CEO Geoff Martha""",0.9827
11,I think smart money is accumulating this. With the virus and their oxygenation machines. rise of pandemic will create demand. Its a USA company. good fundamentals.,0.8904
12,"""Jul. 17, 2017 11:30 AM ET|About: Medtronic plc (MDT)|By: Douglas W. House, SA News Editor In an interview with Bloomberg, Medtronic (MDT -1.1%) CFO Karen Parkhill said fiscal Q1 constant currency sales will be in the low end of guidance due to a computer crash, but the company still expects to achieve its guidance of 4 - 5% growth for the year. FQ1 earnings should be in the upper range of its high-single-digit guidance.Source: Bloomberg""",0.8156
13,"Are all of you slow or just trying to play like you're anon. and hitting this piece at the last second?If you're playing games, I'll ramp it up or ramp down depending on what I see.",0.9014
14,Medtronic reached a 52 Week low at 80.24,-0.1464
15,"I see CEO exercised 100,000 options at ~$82--does he not have confidence in co??",0.7384
16,"They should Change their name to S&M, at least when mistress spanks me I know what I paid for!",0.3666
17,1/8/20 - Medtronic (NYSE:MDT) initiated with Buy rating and $130 (14% upside) price target at SunTrust.,0.2143
18,"mdt price will below $50 very soon,because they got trouble with china.",-0.2785
19,"DUBLIN , March 26, 2021 /PRNewswire/ -- Medtronic plc (NYSE:MDT), the global leader in medical technology, today announced it has received U.S. Food and Drug Administration (FDA) approval for its Harmony Transcatheter Pulmonary Valve (TPV), the first minimally invasive therapy created to treat patients with a specific type of congenital heart defect of the right ventricle (RV)",0.9621
20,WILL WE SEE $125.00 BEFORE NOV 2019,-0.2591
21,i added a little,0.0
22,"If you're one to listen and read the entire transcript along with doing the same on most public companies, you might kick yourself for not simply asking me for a favor in temp. price movement.",0.8756
23,love the mazor pick up,0.7612
24,morning run up disappearing,0.1595
25,"Watch out, competition, coming.",0.3089
26,MDT to run 24hrs at 140% ventilators. Fox biz,0.1875
27,"Reading both pro and con. This is a different investing world since reverse split and is after the $1ml from $MDT. I would be willing to bet my thousand shares that the fat cats at $MDT have a few shares of this stock. Then again, there's not a whole lot that makes sense after COVID.",0.7369
28,I think after REGN reported that WS expects MDT to report accordingly. Both companies are very engaged in medical devices.,0.7309
29,https://seekingalpha.com/news/3501104-fda-oks-medtronic-next-gen-tavr-system#email_link,0.0
30,i owed mazor when mdt bought mazor i bought mdt,0.0378
31,with the diabetes mess up and corona Medtronics can go to 90,0.3504
32,https://seekingalpha.com/pr/17820859-medtronic-launches-new-solutions-to-help-monitor-patients-for-covidminus-19,0.0
33,"I keep wondering why this stock does not do much. Since it changed over to Ireland and everyone who owned it had to pay tax on the capital gains, it has not done anything.",0.5233
34,Cool super small pace maker could be game changing. Not invested here but doing my homework. Is this a good level to wet my beak? Thanks for any help have a great day!,0.9813
35,12/18/18 - Medtronic (NYSE:MDT) initiated with Outperform rating and $109 (18% upside) price target at Credit Suisse.,0.5762
36,https://seekingalpha.com/news/3559507-medtronic-sees-5x-ramp-in-ventilator-production-to-meet-covidminus-19-demand?utm_medium=email&utm_source=seeking_alpha&mail_subject=mdt-medtronic-sees-5x-ramp-in-ventilator-production-by-end-of-q2&utm_campaign=rta-stock-news&utm_content=link-3,0.0
37,Medtronic is up 7.85% to 111.69,0.1818
