,Recent headlines and conversations for MMM,Polarity
0,"Grown men walking around with masks on. Whatever happened to the “land of the brave”. Poosays afraid of the gubbermint. Probably can’t even satisfy their woman either. Hey doc, I need a bigger Cialis dose. Please ... pretty please. And what’s with all the compliant CEOs, promoting the covid scam? Leaders? Ha. Na. Just following orders. Male CEOs making good candidates for transgender surgery. Such are the ways of Masons and Jesuits. Not only do they give up their liberty by having to submit to those higher up the secret society ladder, but they sacrifice their manhood so that they can leap frog over the more talented and more masculine on the corporate ladder. Rich poosays. Not impressed by the feminine mask wearers and secret society folk.",0.988
1,"Mike Roman is a good speaker. He does not stammer much and gets to the point. But he says this:“Underlying stable trends in these markets look to be improving ...”I think I must live on a different planet. Central banks in most major economies are printing money to buy up the bad investments of banks and industries. The numbers are stupendous. Hundreds of billions each month. Now what would happen if these enormous bailouts ceased? Total collapse. Okay, so what will happen if they continue? Hyperinflation followed by total collapse. Pick your poison. The bottom line is that markets are not improving. We are living on borrowed time. Roman needs to listen to the music because the song is coming to an end.",-0.4894
2,MMM-if you’re reading- I envision a new mask that has a clear face guard- more like a helmet with a visor. Please create! And we need affordable UV wands that kill viruses and sterilize the air and objects￼ in our homes. ,0.2247
3,"As I said some months ago, MMM is going to return to 200$ price levels this year :)",0.6005
4,3M moving up.....Finally.,0.368
5,3M is bull flagging on a 10 yr chart on the monthly. What is the catalyst for the stock this year that puts it out of that flag formation and breaks out higher?,0.7517
6,Minnesota Democrats work to CHEAT at elections after FAKE 2016 Russian attempted hack. Democrats will do anything to win. http://www.startribune.com/minnesota-works-to-secure-elections-after-2016-russian-attempted-hack/498798691/,-0.6156
7,"And here’s a fact that nobody wants to talk about: the Centers for Disease Control (and Health Propaganda), as reported in Wednesday’s New York Times, said, ‘Their study found that cases of infection were 13-times higher than what’s being reported now.’ So they are saying there are 4 million cases (already reported) multiplied by 13. What do you have? 52 million cases of COVID19. Okay, and they claim 146,000 died. So what is 146,000 divided by 52 million times 100? Your survival rate is 99.72%.Now why don’t the executives of America’s businesses stand up and say sometin? Oh that’s right. They’re Freemasons bound by oath to do as their told or die. Dat’s how dey get der jobs. You can make this sheet up.",0.8369
8,Sold,0.0
9,Universal healthcare sucks is why many Canadians come to the US for surgery. https://m.youtube.com/watch?v=q2jijuj1ysw,0.0915
10,"I'm a new 3M shareholder (since yesterday) and am happy that this great American company is making America great! Thank you, 3M management and employees for your hard work and ingenuity!",0.9599
11,US corporate earnings are terrible! $CAT $MMM $AAPL $IBM all missed the Guidance!,-0.7414
12,this stick will only go up with millions of sales,0.2227
13,So you’ve got this guy who never worked in the private sector. All he did was work for various parts of government. So many parts that he’s guaranteed at least 4 pensions delivered to him by workers in the private sector. So does this guy care if people in the private sector are put out of work or lose their businesses? His actions speak loader than words. Is he jealous of them? We’ll never know for we can’t read his double digit IQ mind. But more than 30% of the population of this guy’s state did vote for him. Will they do so again? I don’t know because I don’t know much about those folks other than what I saw in the movie Fargo.,0.9336
14,"Just had a long and very good conversation with President Xi Jinping of China. We talked about many subjects, with a heavy emphasis on Trade. Those discussions are moving along nicely with meetings being scheduled at the G-20 in Argentina. Also had good discussion on North Korea!",0.96
15,The US Government and the DOJ should also hunt down the greedy cheating US distributors That hoarded and priced gouged the N95 respirators. 3M failed to act and continued to ship product to distributors vs the first responders and hospitals...,-0.827
16,Trump involved powers act. But 3M only sells thru distribution. What a PR nightmare. This management team is always one step behind,0.6744
17,"""The evidence is clear: 3M knew their earplugs were defective, yet they allowed our servicemembers to suffer these life-altering injuries,"" said a statement from attorneys Bryan Aylstock and Christopher Seeger.",-0.5111
18,"I worked in Medical products engineering. You just dont over night create increase capacity. 3M exporting masks when they are needed here shows all how sick 3M management has always been. Look at the ear plug lies where our soldiers were put in harm's way for profit. 3M has for years cheated its employees holding down wages, promoting incompetence under HR policies promoting diversity and freezing promotions if you are a white male employee. Dont forget the management slush funds for bonuses. Want it 22 million dollars. How many more scandals are hidden by secrets.",0.7483
19,3M reached a 52 Week low at 140.09,-0.1464
20,Why the sudden drop??,-0.3296
21,I just bought in prior to this announcement of sales declining as I thought the valuation looks good and decent dividend. Dammmm the devil! There doesn’t seem to be any company that hasn’t been negatively effected by this virus!,0.4611
22,MMM is down 5.00% to 160.33,-0.2462
23,luv fb nvda & tsla,-0.0462
24,"On Jan.of 2018 3m stock was 259.00 a share,ever since that day it's been tanking super ugly. Got greedy to many ventures. It is going G.E.'s way. Time to dump this TOXIC stock.",-0.8762
25,Big banks using high frequency computers are driving this market down making billions. They have the federal reserve and deep pockets to back their play. These banks are not friends of average people.,0.6562
26,3M hasn't innovated anything new in the past 2 decades.... This is the result,-0.2902
27,"3M shows its true character diverting life-saving masks from the US to sell elsewhere. I suggest that all Doctors who are on the front line fighting the Wuhan Virus refuse to treat any 3M employee and their family members. Let them get treatment in the countries they are exporting these masks to. Also it would be appropriate to lock up all the Benedict Arnold managers at 3M. If the media starts reporting that the 3M Board of Directors are all at Gitmo being waterboarded it would send a strong message to other like minded corporate traitors that if you are an American company your allegiance is to America, not the almighty dollar.",0.9414
28,after trade war is done this will fly back to it should be. for me I'll buy as much as I can afford at this price,-0.0574
29,"IndividualSILBERHORN TY ROfficer SaleFeb 20, 2020 1,882Time to get out now*Insider roster data",0.6047
30,"Don't worry about it, I bought yesterday. Stocks always go down after I buy, it will be back up soon...",0.3636
31,"Headed back to $200. Will sell over 100,000,000 facemasks in the next several months",-0.1416
32,3M is down 4.91% to 161.23,-0.2462
33,knowingly contaminating the planet killing us slowly. can't buy it.,-0.8358
34,Is this good time to enter MMM?,0.441
35,"Looks like the media is going to have to announce a second wave of covid 19 to come through the USA. After all, they needed the first wave announcement as an excuse for the Fed to lower overnight lending rates to zero and to start up QE4.",-0.0501
36,"After the big gain a couple weeks ago, down over $10 since. Giving much of the gain back.",0.8038
37,"Steelcase Inc. (SCS) 16.30-0.20 (-1.21%) At close: 4:02PM EDT 13.35 -2.95 (-18.10%)Steelcase Inc. manufactures and sells integrated portfolio of furniture settings, user-centered technologies, and interior architectural products. The company operates through Americas, EMEA, and Other Category segments. Its furniture systems portfolio comprises panel-based and freestanding furniture systems, storage, desks, benches, tables, and complementary products, such as worktools. The companys seating products include ergonomic chairs; seating for collaborative or casual settings; and specialty seating for specific vertical markets, such as healthcare and education. Its interior architectural products consist of full and partial height walls and doors. The company also manufactures and sells textiles, wall coverings, and surface imaging solutions for architects and designers; and ceramic steel surfaces primarily for third-party fabricators and distributors for use in static whiteboards and chalkboards. In addition, it provides workplace strategy consulting, lease origination, furniture and asset management, and hosted space services. The company markets and sells its products to corporate, government, healthcare, education, and retail customers under the Steelcase, Coalesse, Designtex, PolyVision, and Turnstone brand names. It distributes its products and services through a network of independent and company-owned dealers, as well as directly to end-use customers. Steelcase Inc. was founded in 1912 and is headquartered in Grand Rapids, Michigan.",0.9843
