,Recent headlines and conversations for MMM,Polarity
0,"W.P. Carey, 3M, NextEra Energy: 3 dividend stocks that should pay you the rest of your lifeReuben Gregg Brewer",0.7997
1,BRIEF-Moody's rates MMM Holdings credit facility B2,0.4455
2,No-code cybersecurity platform SpecTrust emerges from stealth with $4.3M,0.1533
3,TEXT-S&P rates MMM Holdings 'B+' with stable outlook,0.2229
4,"Spf Beheer Bv Buys AmerisourceBergen Corp, State Street Corporation, 3M Co, Sells Albemarle ...",0.5156
5,Capital Calls: 3M suffers from a congo discount,-0.4233
6,"First Eagle Investment Exits 3M, Cuts Alphabet",0.2153
7,"Ohe Financial Inc Buys iShares MSCI USA ESG Optimized ETF, SPDR Portfolio S&P 500 ETF, 3M ...",0.511
8,"'Mmm, Mmm Bad?' Campbell Soup hit with critical video from activist investor Third PointMike Snider",-0.3387
9,"Puzo Michael J Buys Koninklijke DSM NV, Nike Inc, Honeywell International Inc, Sells 3M Co, ...",0.3837
10,mmm,0.0
11,Data sync automation startup Syncari raises $17.3M,0.2525
12,Mapletree Industrial Trust's private placement of 190.3m units at S$2.696 apiece 3.1 times subscribed,0.025
13,Mary Agrotechnologies Inc. Completes $1.3M Private Placement,0.2508
