,Recent headlines and conversations for MSFT,Polarity
0,Microsoft soars past $800 billion in value after bumper results,0.2933
1,"Famous Hedge Funds Buy Microsoft, Pile Into a Particular SPAC",0.0893
2,Windows chief Terry Myerson is leaving as Microsoft reorganizesSara Salinas,-0.2695
3,Satya Nadella addresses Bill Gates controversies: 'The Microsoft of 2021 is very different from the Microsoft of 2000',-0.3362
4,UPDATE 1-Microsoft shares at all-time high after bumper results,0.6457
5,"Microsoft board members opened an investigation into Bill Gates after an employee said she had a sexual relationship with him in 2000, per WSJ.",0.3543
6,"Microsoft's big earnings report: Stock ticks up, eclipses $1 trillion in market capJordan Novet",0.5663
7,Microsoft is finally getting rid of its most-hated product,0.0997
8,End of an era: Microsoft's Internet Explorer to be retired next year,-0.1983
9,"Amazon’s Bezos on free Kindles, patents and MSFT",0.5425
10,"KAMES CAPITAL plc Buys Apple Inc, Microsoft Corp, NVIDIA Corp, Sells Tesla Inc, Facebook Inc, ...",0.1042
11,Microsoft Directors Decided Bill Gates Needed to Leave Board Due to Prior Relationship With Staffer — Update,0.0513
12,The Force is with Microsoft: Shares up on winning JEDI contract,0.5143
13,"SageGuard Financial Group, LLC Buys Microsoft Corp, PowerShares QQQ Trust Ser 1, Caterpillar ...",0.7441
14,LaLiga teams up with Microsoft to digitally transform football globally and reimagine a new era in sports,0.3766
15,Microsoft Plans to Pull the Plug on Internet Explorer,0.1343
16,"11 Capital Partners LP Buys Microsoft Corp, Alibaba Group Holding, Glass Houses Acquisition ...",0.6482
17,"Mosaic Advisors LLC Buys Amazon.com Inc, Microsoft Corp, Facebook Inc, Sells JPMorgan ...",0.4936
18,"Microsoft Office365, cloud boost sales surgeMarco della Cava",0.2961
19,Microsoft exec says CEOs that force workers back into the office ‘are missing the point’,-0.2343
20,"Cohen Investment Advisors LLC Buys Apple Inc, Amazon.com Inc, Microsoft Corp, Sells Nokia Oyj",0.655
21,SAP and Microsoft Will End Sales Focus in Embrace Partnership in June,0.6754
22,"Sassicaia Capital Advisers LLC Buys Tesla Inc, Microsoft Corp, Amazon. ...",0.3409
23,"Microsoft shares plunge after poor results, analyst downgrades",-0.7134
24,L Brands And Microsoft Among Today’s Trending Stocks,0.0845
25,"Microsoft, PayPal, Okta: New investors should consider these 3 great starter stocksTrevor Jennewine",0.8634
26,"Principle Wealth Partners LLC Buys Microsoft Corp, ARK Innovation ETF, W.W. ...",0.7308
27,Microsoft catches Amazon as second most valuable company based on market capDouglas A. McIntyre,0.4782
28,"The Zacks Analyst Blog Highlights: Microsoft, Sony Group, Activision Blizzard and Electronic Arts",0.2383
29,Should Salesforce Investors Be Worried About Microsoft?,-0.2913
30,Microsoft CEO responds to news of Bill Gates' affair with employee,0.2674
31,"Financial Network Wealth Management LLC Buys Microsoft Corp, Qualcomm Inc, Amazon. ...",0.8135
32,Microsoft CEO Nadella says power in the workplace is not to be abused,0.3574
33,Danielle Shay Says Microsoft Is One Of The Best Long-Term Growth Stocks,0.8256
34,BMO investment arm sold Microsoft over U.S. Army headset deal,0.5115
35,"Target, Microsoft, Oatly: Stocks That Defined the Week",-0.0498
36,Fact Check-Pfizer has not announced a ‘vaccine upgrade’ that includes a processing chip from Microsoft,0.415
37,New Microsoft bull sees 50% upside for 'most important software company',0.5285
38,"Moderna, Peloton, Microsoft: Stocks That Defined the Week",0.0252
39,"Bessemer Securities Llc Buys Microsoft Corp, Apple Inc, The Cooper Inc, Sells iShares Core ...",0.5656
40,"Microsoft Corp (MSFT) EVP, Chief Marketing Officer Christopher C Capossela Sold $1. ...",-0.1024
41,Software giant Microsoft Corporation (NASDAQ: MSFT) received a bullish endorsement from an analyst at Rosenblatt Securities.,0.8123
