,Recent headlines and conversations for M,Polarity
0,Opinion: Is Jimbo Fisher really the best candidate to topple Nick Saban and Crimson Tide?Blake Toppmeyer,0.551
1,Italy's BPER among M&A options for UniCredit - paper,0.0601
2,Britain's M&S buys Jaeger brand,0.0945
3,"Pepco open to M&A opportunities, says CEO",0.4849
4,Buy 5 Mid-Cap Retailers Ahead of Earnings Results This Month,0.104
5,Why Macy's (M) Might Surprise This Earnings Season,0.4752
6,Things are awkward but that's not a bad thingSara M Moniuszko,-0.6799
7,"Turnbull twirls 5th no-hitter of MLB season, Tigers top M's",0.2467
8,Is Macys (M) Outperforming Other Retail-Wholesale Stocks This Year?,0.4189
9,Is Home Depot (HD) Likely to Retain Earnings Beat Trend in Q1?,0.6331
10,Buy Target and Walmart Stock Before Q1 Earnings?,0.5561
11,"Macy's (M) Q1 Earnings Exceeds Estimates, Sales Improve Y/Y",0.7473
12,"The Zacks Analyst Blog Highlights: Boot Barn Holdings, Macy's, Kohl's Corp, Foot Locker and Abercrombie & Fitch",-0.0205
13,"Whoa... this all feels a bit sudden, right?Sara M Moniuszko",0.0048
14,H&M confirms commitment to China after backlash,0.5324
15,Macy's 1st-Quarter Results: A Surprise Net Profit,0.6195
16,Macy's Is Raising Expectations for 2021,0.0102
17,"O's Means throws MLB's 3rd no-hitter of season, tops M's 6-0",0.5301
18,"Walmart (WMT) Q1 Earnings & Revenues Top Estimates, View Raised",0.4956
19,Macy's (M) Dips More Than Broader Markets: What You Should Know,0.0436
20,What is gua sha? Everything you need to knowSara M Moniuszko,0.0863
21,Store mask policies are a mess and nearly impossible to enforce,-0.5398
22,I've finally made it this farSara M Moniuszko,0.1096
23,Another Department Store Just Crushed Expectations,-0.3086
24,"Target, Home Depot, CVS and other stores drop face mask requirements",-0.1947
25,Dillard's (DDS) Hits Fresh High: Is There Still Room to Run?,0.7076
26,Meggitt shares jump on M&A report,0.594
27,Macy's Q1 Earnings Preview: Here's What You'll Want to Know,0.2558
28,Bank of America ML Com Mtg Tr 2015-UBS7 -- Moody's affirms six classes of BACM 2015-UBS7,-0.2783
29,Barclays reduced Apple Inc. (NASDAQ: AAPL) price target from $138 to $134. Apple shares fell 1.1% to $123.47 in pre-market trading.,0.6522
30,Walmart got a boost from shoppers spending their stimulus checks,0.4551
31,6 retailers notorious for vanity sizing—and how to shop themKevin Cortez,-0.221
32,Britain's M&S to close stores on Boxing Day,0.4422
33,"Texas A&M coach Jimbo Fisher on Nick Saban, Alabama: 'We're going to beat' himScott Gleeson",0.069
34,"LEADING OFF: Pujols joins Dodgers, Bieber faces Kelenic, M's",0.5041
35,Bank of America Merrill Lynch Commercial Mortgage Trust 2015-UBS7 -- Moody's affirms six classes of BACM 2015-UBS7,0.498
36,"Count 'em! MLB hits 20,000 players when Godoy debuts for M's",0.2011
37,Can the Rally in Macy's (M) Shares Continue?,0.1692
38,People are shopping at department stores again. But don't call it a comeback,-0.079
39,Nordstrom's Q1 Earnings: Here's What You'll Want to Know,0.2213
40,Future QB: Vikings pick Texas A&M's Kellen Mond in 3rd round,0.0972
41,"Bogaerts blasts one out of Fenway, BoSox hold on to beat M's",0.4937
42,New Strong Buy Stocks for May 19th,0.6599
43,How stores are responding to CDC's new mask guidance,0.1122
44,Macy's (M) to Report Q1 Earnings: What Awaits the Stock?,0.4679
45,Markets Break 2-Day Win Streak; Investors Second-Guess T-DISCA Deal,0.4891
46,Dillard's (DDS) Earnings & Sales Surpass Estimates in Q1,0.2884
47,What To Expect From Retail Earnings Week,0.1152
48,Castro's walk helps Astros rally in 8th to beat M's 7-5,0.3742
49,Housing Starts for April Came in Lower-than-Expected,0.0385
50,Jill Biden’s tights and why society is obsessed with what older women wearSara M Moniuszko,-0.0904
51,"Stamos Capital Partners, L.P. Buys Pfizer Inc, Sells iShares Core U.S. ...",-0.3019
52,"John Mulaney splits from his wife, returns to the stage: How comedians use comedy to copeSara M Moniuszko",0.5182
53,Macy’s Inc (NYSE: M) reported a vibrant financial performance in its Q1 earnings report released Tuesday. Three analysts tracking the retailer offered responses ranging from encouraging to unimpressed.,0.8079
54,Housing Starts Shunted on Commodity Prices; Big Q1 for Big Box Retail,0.2323
55,Chicken coops for everyone: A rural chain is thriving as millennials flee cities,0.3598
56,"Kohl's (KSS) Q1 Sales & Earnings Top Estimates, Increase Y/Y",0.7619
57,"What You Need To Know About Macy's, Inc.'s (NYSE:M) Investor Composition",0.571
58,Retail earnings show consumers are in great shape: analyst,0.726
59,"Glass, Quarles help Alabama A&M beat UAPB, win SWAC title",0.8229
60,US Indexes End Lower Monday,-0.3476
61,Macy's Inc (M) Q1 2021 Earnings Call Transcript,0.6192
62,"Gallo 2 HRs, Rangers throw out Lewis at plate to top M's 9-8",0.3459
63,Oil companies told to stop drilling now to save the planet,0.2984
64,Top Ranked Momentum Stocks to Buy for May 19th,0.2907
65,3 Analysts Offer Mixed Views On Macy's Q1 Earnings,0.2419
66,Macy's Moves Ahead With New York Skyscraper Plan,0.3004
