,Recent headlines and conversations for NFLX,Polarity
0,bird box cost a lot to make. How much money did it even make NFLX? what a few more people signed up? people who want NFLX already have it. They made zero off everyone who already has it... think,0.6707
1,Hello there. The markets are shaky right now and a crash could be imminent. Do you know where to put your cash? go to (http://Pick-stocks.com).,-0.3199
2,May be buying at@t not a bad idea after all. 6% plus yield is tempting.,0.1334
3,DOGE COIN REALLY TAKING OFF like BUYING NFLX in 2007 Do NOT MISS THIS ROCKET !!,0.8872
4,bye shorts,-0.1154
5,Right after lunch the buying begin again.,0.2488
6,If it could not go positive when market zoomed up for 30 minutes????? expect it under 260 this week,0.7662
7,Congratulations. I just pushed up the premarket price by $2/share. You're welcome.,0.8539
8,"Remember Blackberry RIMM? At one time it was ""the"" leader of the stock market. NFLX is next RIMM",0.4754
9,"Netflix is the stock version of the crypto craze. Everybody is just buying Netflix due to the name recognition, and because they see it always going up and they have the fear of missing out on the seemingly never ending gains. It worked for Bitcoin...until it didn't. I wonder how long this will keep adding billions to the market cap every day with no fundamentals to back it up?",-0.1927
10,we need 50 more dollars!,0.1025
11,Nice pickup on dip in premarket. Easy $340 today. Thanks Citigroup.,0.8978
12,to the moon we go,0.1189
13,410 easy today. and up before earning,0.6241
14,I'm out. Pretty much lost it all. you might as well sit on the sideline for now,0.7258
15,Netflix is growing in leaps and bounds around the world in new countries like China and Australia ... so many more subscribers yet to come aboard. eh,0.6805
16,nflx 438 by end of april.,-0.0319
17,"FANG have one thing in common, they are the fastest growing large cap companies. That’s why Jim Cramer chose them when he created FANG. Netflix is the fastest growing FANG and its stock has outperformed the others over the years, yet it is the only FANG that hasn’t made a new all time high this year. Look for Netflix to zoom past 423 its all time sooner than later, on its way to 500 this year.",0.9283
18,"If you want to buy the dip, here’s your chance. This stock is still a long term winner. Who cares about estimates.....they still ADDED 5Mill + subs and beat on earnings. The stock settles at 340 and slowly makes it way back to 400 in a few weeks.",0.9547
19,"This stock will lose an average of two points everyday heading into next earnings. The decline just got ahead of itself. It’s right back on the linear regression line now. Look back at my post from earlier. I said it will got to $230 and then decline again. Guess what? Here we are. May go up a bit more, but just remember am average of two points for each trading day heading into earnings",0.455
20,any predictions on earnings,0.1355
21,fund managers will say anything to manipulate on this board. just stay long look at history before split and multiply ×7. splits make us forget previous movement. longs are fine.,0.6128
22,michael jordan exclusive netflix documentary coming. Cool.,0.4603
23,Holding a range of $358-$360 for the past hour. Let's see which in direction it breaks out ....,0.1886
24,Netflix stock surges above $400 in falling market as three analysts raise price targetshttps://www.marketwatch.com/Story/netflix-is-still-a-top-pick-for-analysts-despite-looming-challenges-2018-06-19?&siteid=yhoof2&yptr=yahoo,0.5527
25,will be 270 by end of tomorrow,-0.1116
26,NFLX may hit $450 next Friday!,0.1643
27,Last chance to buy in folks ...it’s going to rain after hours ,0.1922
28,$450 is still my price target.,0.0867
29,Next upgrade NFLX target could be raised parallel to AMZN at 1460.,0.1977
30,If you?re not buying Netflix at these prices then go get a job at McDonalds. I?m so happy to have invested in this #$%$ while watching other stocks on my list reach new heights...,0.9082
31,Great volume. Keep this baby going to at least 5% increase at closing.,0.8157
32,Looks like another up day. Glad I'm still in the game. Impressive.,0.8776
33,gogogogo NFLX want to see 390$ today,0.1479
34,Netflix Stock Gets Price-Target Cut As Subscriber Outlook Lowered,-0.3843
35,Anyone shorting like I have?,0.3802
36,anyone else notice highest open interest PUT contracts expiring tomorrow $550 strike,0.6556
37,That was an amazing turnaround,0.6134
38,"Every time NFLX raised price, the came short on their earnings. This speaks volume about what to see in future. It has stiff competition and competitors are catching up. It is getting hard to get new subscribers so increasing prices. Just like medical insurance companies, limited consumers so keep raising prices to stay in profit...i see more red in coming days and months...now that they raised the price less new consumers will be attracted. Netflix had price benefit over Amazon prime, now that they are kinda of same in pricing,it will be hard to convince new consumers...",0.9104
39,let's b real people! how many more subscribers can this company get!? saturated market,0.2348
40,No Bama...!!!! Is what the market is saying.,-0.522
41,"So all the cheer leading over the weekend might have created this artificial move higher. And the cheer leading includes the white house. Its really hard to trust at this point. What to do here is the question? I feel like this should be much higher as well , perhaps fund managers are dumping into strength. We will see, meanwhile finger on the trigger to sell. If we are in a bear market then share prices will be brought lower during earnings for many techs, regardless of the numbers. Just my 2 cents.",0.9639
42,This is now certified money order a gateway to play with the rich huge money flow on this.,0.8961
43,405 by Friday.,0.0812
44,getting closer to $199 and still a big bubble stock with huge debt.,0.1089
45,I hope the fact that Netflix is huge in Europe will surprise everyone and today’s earnings report. Stay long stay strong!,0.9311
46,450 after earnings call,0.1102
47,so far in line with goldman....revenue,0.1371
48,Too the moon!,0.2092
49,WHY IS THE ENTIRE MARKET DROPPING,0.0584
50,"Time to load up before the earnings run.Netflix currently has 7 of the top 10 most popular series (including #1, #2, and #3). Complete domination in a rapidly growing industry. Its market cap is way too low.https://www.rottentomatoes.com/browse/tv-list-2",0.6232
51,I will buy at 250,0.0391
52,"I think this election today could def affect NFLX. If the lefties get in, watch for strict lockdowns (which will be good for NFLX). I used to laugh at the conspiracies when both sides in the past would scream about election stealing and fraud, but with what I saw the DNC do in the primaries in 2016, and from what came out in my own state a few short years ago (and there were prosecutions) I don't laugh anymore. The DEMS really could steal this thing....",0.0314
53,Don't worry peepsbig gains great shows no movie theater sDon't listen to haters. Booooooo Ya,0.6601
54,"Within the next week or so, Reed Hastings will be selling another $25 million of Netflix stock. And possibly at least $300-$400 million of stock sales for the year. He is a multi-billionaire who has not generated any cash profit whatsoever.",0.7428
55,"Bought AH yesterday, and rewarded today as I expected.",0.7613
56,"NFLX tries to maintain the current price level if it can to the end of June, but the market down trend can pull it down. Bankers will sell 3 days to 1 weeks prior next earning (7/16/18). The selling will drive down price so they can buy low. The retail investors should take profit now before bankers selling. NFLX was around $295 prior the last earning because of heavy selling from bankers couple day before the last earning.",-0.3263
57,"Suntrupgrades Netflix, buy on the dip because of India opportunity",0.637
58,Remember those stone age days when you ordered Netflix DVDs over the mail. And you could only order so many at once I believe it was like 2 or 3 before Redbox. Well I still have one of those DVD's I never returned. I'm getting it framed this weekend. That's how long I've been in this baby.,0.9391
59,"After Thursday, on a positive earnings report that meets or exceeds expectations, expect $400.00+",0.6466
60,They up the price because they have to do something. Otherwise they’d look bad for being so far from the price and short term trend.,-0.2612
61,Susan Rice now with Netflix. How could that possibly be positive for them?,0.6917
62,I think the stock is about to really tank. Netflix took on Susan Rice to their board.,0.2479
