,Recent headlines and conversations for NFLX,Polarity
0,Netflix Stock Has Been Stuck in a Rut. An Analyst Says Buy It Now.,0.1548
1,"The Zacks Analyst Blog Highlights: AT&T, Discovery, Netflix, Verizon and Apollo Global Management",0.5836
2,BUZZ-Netflix Inc: Analysts raise PT after fee hike,-0.2342
3,"Netflix Inc. stock falls Friday, underperforms market",0.02
4,Netflix is testing higher-priced 'Ultra' plansMike Snider,-0.0438
5,"Netflix nears 200 million subscriber mark, as Amazon, Disney+ look to keep paceDouglas A. McIntyre",-0.1058
6,Why Is Netflix (NFLX) Down 4.2% Since Last Earnings Report?,0.0462
7,Netflix shares jump after record subscriber growth,0.6873
8,Netflix: Down after co misses fourth-quarter revenue estimates,-0.4356
9,"CoreFirst Bank & Trust Buys Amgen Inc, Netflix Inc, Berkshire Hathaway Inc, Sells iShares ...",0.5601
10,Netflix Is Planning a Bigger Move Into Video Games,-0.0573
11,"CMT Capital Markets Trading GmbH Buys Netflix Inc, Wells Fargo, Mastercard Inc, Sells Beyond ...",0.4155
12,Strap yourself in: Netflix is about to report,0.2931
13,"Netflix tanks after whiffing on subscriber count, losing major showsLauren Feiner",-0.467
14,Netflix: Top analyst downgrades citing limited margin expansion,0.2712
15,Analyst Ratings for Netflix,0.1015
16,'Stranger Things' Season 3 may be Netflix's saving graceMichael Bloom,0.1114
17,Netflix (NASDAQ:NFLX) has observed the following analyst ratings within the last quarter: Last 30 Days 1 Month Ago 2 Months Ago,0.1007
18,"Fernbridge Capital Management Lp Buys Facebook Inc, Netflix Inc, Global Payments Inc, Sells ...",0.0415
19,Here's everything new coming to Netflix in June 2021 — and what's leaving,0.1035
20,Netflix is reportedly looking to hire an executive to expand its gaming content,0.7224
21,"With Zack Snyder's 'Army of the Dead,' Netflix Brings Its Binge Model to the Movies",0.4899
22,"Looking for winning investments? Follow this simple rule and think Costco, Netflix and PelotonNeil Patel",0.6991
23,Netflix's 'Army of the Dead' to open in hundreds of theaters before it streams,-0.5992
24,Netflix (NFLX) Dips More Than Broader Markets: What You Should Know,0.0436
25,"Netflix misses subscriber growth forecast by 1 million, shares down 11%Mike Snider",0.1743
26,"Netflix adds 7M subscribers in Q3, beats earnings expectations, sends stock soaringDalvin Brown",0.1922
27,"BUZZ-Netflix subscriber growth beats estimates, stock hits record",0.5456
28,"Proem Advisors LLC Buys Futu Holdings, The Walt Disney Co, Netflix Inc, Sells Facebook Inc, ...",0.2799
29,"Netflix, Disney, Amazon Plan Streaming World Domination, but Meet Resistance",0.0185
30,Zack Snyder's 'Army of the Dead' and Other Netflix Movies Turn Up in Theaters,0.0524
31,"Barry Diller says Netflix won the streaming war years ago, and no one else will be able to compete",-0.1058
32,Billionaire investor Mark Cuban says buying Netflix shares,0.6897
33,"Netflix Has 30% Upside, but It Needs to Fight for Every Subscriber, Says Analyst",-0.3947
34,Disney Makes Gains in Streaming Wars Against Netflix,-0.5766
35,Carl Icahn says sold remainder of Netflix stake,0.4032
36,Netflix admits new competition is having an impact in letter to shareholdersAdam Levy,0.555
37,Analysis: Here's why Netflix won't raise prices again in 2020Adam Levy,-0.2496
38,Is Netflix Wavering in Its Quest for the Next 100 Million Subscribers in India?,-0.1375
39,"Netflix Co-CEO Hastings 2020 Compensation Valued at $43.2 Million, Mostly for Stock Options",0.6029
40,Netflix vs. Spotify: Which Streaming Stock is a Better Buy?,0.5469
41,DJ Netflix's underwhelming subscriber gains spark 'vigorous debate' about the future,0.4067
42,Why I'll Never Sell My Netflix Stock,0.3468
43,"Spark Investment Management LLC Buys Goldman Sachs Group Inc, Facebook Inc, Netflix Inc, Sells ...",0.7818
44,Oakmark's Win Murray Likes Netflix Stock At Current Levels,0.8049
45,"Netflix Inc. stock rises Thursday, still underperforms market",-0.0044
46,Netflix Stock Is Believed To Be Modestly Undervalued,0.1909
47,Can't Decide What to Stream? Netflix's New Feature Will Choose for You,0.3589
48,"Wrapmanager Inc Buys Amazon.com Inc, iShares Intermediate Credit Bond ETF, Netflix Inc, Sells ...",0.0733
49,Netflix vs. Disney: Which Streaming Stock is a Better Buy in 2021?,0.5075
50,Netflix: A Meme Stock Original,0.4677
51,"Nan Fung Trinity (hk) Ltd Buys Netflix Inc, Visa Inc, iShares MSCI Singapore ETF, Sells Baidu ...",0.104
52,Netflix (NFLX) Gains But Lags Market: What You Should Know,-0.0695
53,Disney+ subscriber growth is slowing like Netflix's — with one worrisome difference,0.2043
54,TGNA vs. NFLX: Which Stock Is the Better Value Option?,0.7185
55,"Fairhaven Wealth Management, LLC Buys ARK Innovation ETF, Netflix Inc, Novartis AG, Sells First ...",0.8487
56,Here's what's coming to Netflix in May 2021 — and what's leaving,0.0843
57,Halston's Family Shares Their Disapproval of the New Netflix Series About the Late Designer,-0.0646
58,Netflix Stock Gives Every Indication Of Being Fairly Valued,0.5454
59,"Netflix says it can hit net zero emissions by 2022, promotes calculator to measure streaming footprints",0.2678
60,Comcast Mulls Aiding Peacock by Pulling Movies From Netflix and HBO Max,-0.2421
61,"Disney Plus rivaling Netflix in subscriber loyalty, research shows",0.7559
62,Netflix Is Crushing Disney in This Fast-Growing Market,-0.4084
63,Netflix's dominance in streaming market takes a hit amid pandemic | TheHill,-0.1006
64,"Netflix loses market share to Apple TV+, Peacock, HBO - LA Biz",-0.4191
65,Why Netflix $450M 'Knives Out' gambit is becoming routine as streaming platforms 'feed the beast',0.4947
66,Netflix Is Flexing Its Global Scale in Japan,-0.1937
67,Will Netflix's (NFLX) Weekly Release Trial Boost User Base?,0.8438
68,Netflix's 'Trial of the Chicago 7' takes SAG win in Oscars setup,0.8412
69,"The Zacks Analyst Blog Highlights: Comcast, Netflix, PepsiCo, General Electric and Moderna",0.0523
70,Better Buy: Netflix vs. Roku,0.4911
71,"RH, Thryv Holdings, Netflix, Disney and AT&T highlighted as Zacks Bull and Bear of the Day",-0.2363
72,Netflix Makes History As It Becomes First SVOD Platform To Bag SAG Ensemble Award,0.5644
73,Netflix Is Experimenting With Releasing New Episodes Over a Longer Timeframe,-0.0794
74,Nasdaq Re-Enters Correction; Why Netflix and Match Group Led Stocks Lower,-0.2676
75,Netflix Lost 31% of Market Share in the Last Year as Streaming Rivals Gained Ground | Charts,0.1448
76,Here's what's coming to Netflix in April 2021 — and what's leaving,0.0341
77,Comcast to Make Peacock Truly Competitive With Netflix and HBO Max ... Maybe,0.4926
78,Netflix Buys the Rights to a Pair of 'Knives Out' Sequels for $450 Million,-0.1121
79,Netflix Inc. hosts conference call for investors,0.555
80,Netflix and Amazon gave daring Indian filmmakers hope. Now that's turning to fear,0.5072
81,"If You Invested $10,000 in Netflix's IPO, This Is How Much Money You'd Have Now",0.3947
82,Is Netflix Stock a Buy Ahead of Earnings?,0.227
83,"Thinking about trading options or stock in Netflix, Novavax, Sorrento Therapeutics, Pfizer, or Johnson & Johnson?",-0.1282
84,"Why Square, Netflix, and Pinterest Stocks Fell Sharply Thursday",-0.2301
85,"Top Research Reports for Comcast, Netflix & PepsiCo",0.4114
86,Activision Blizzard Names New CFO as Poaching Suit Against Netflix Continues — Update,0.1328
87,"Is Now The Time To Buy Stock In Tesla, Netflix, Alibaba, Ford Or Facebook?",0.5284
88,Netflix originals have fallen 12% this year as pandemic-driven production delays catch up with the industry,0.1684
89,Thinking of Buying Netflix Stock? Here's What You Need to Know First,0.537
90,Netflix is launching 40 anime movies and shows in 2021,-0.015
91,Why Netflix won’t risk a true crackdown on password sharing,0.5812
92,Netflix to Announce First-Quarter 2021 Financial Results,0.2799
93,"Disney+, Netflix, Amazon: Streaming Costs Now Rival Cable TV Bills",0.2277
94,Netflix bear gets a little more bearish on concerns over potential crackdown on password sharing,-0.6884
95,Netflix won't risk a true crackdown on password sharing,0.3373
96,5 ETFs With Netflix Exposure,0.0193
97,Tycoon’s ‘Netflix of Sport’ Beats Comcast to $3 Billion Deal,0.0824
98,3 Surprise Stocks Are Beating Netflix and Disney in the Streaming Wars,-0.7183
99,Is Netflix Stock a Buy?,0.3115
100,How Much Does Password Sharing Cost Netflix?,0.424
101,Using Someone Else's Netflix Password Is Likely to Get Harder,-0.2922
102,NXST or NFLX: Which Is the Better Value Stock Right Now?,0.7087
103,Netflix: Hindsight Is 20/20 in 2021,-0.2686
104,Do Options Traders Know Something About Netflix (NFLX) Stock We Don't?,0.3851
105,"Thinking About Buying Stock Or Options In Moderna, Netflix, Boeing, Apple Or Tesla?",0.5628
106,3 Reasons to Buy Netflix Stock Now,0.33
107,Netflix (NFLX) Gains As Market Dips: What You Should Know,0.5067
108,"Dow Jones Trims 100-Point Loss Ahead Of Powell Testimony; Microsoft, Netflix Rally",-0.5181
109,Should Netflix Be Afraid of YouTube?,0.3279
110,Netflix Inc. stock outperforms competitors on strong trading day,0.7773
111,Netflix loses $6B a year in revenue due to password sharing: analyst,0.2166
112,Why Netflix's Stock is Trading Higher Today,0.4972
113,"Netflix's Stock Price And Volume Action Netflix's (NASDAQ:NFLX) stock has been rising Tuesday, up 2.93% to a price of $539.19. The stock's volume is currently 1.54 million, which is roughly 42.92% of its recent 30-day volume average of 3.58 million.",0.917
114,Netflix (NFLX) Leads Streaming Race With 35 Oscar Nominations,0.4383
115,Better Buy: Starbucks vs. Netflix,0.4911
116,Password Crackdown Could Push Netflix Stock Up 31% to $680: Analyst,0.393
117,"Top Stock Reports for Netflix, Toyota & AbbVie",0.3795
118,Netflix Gets Argus Upgrade to Buy From Hold,0.3191
119,Netflix Has Been Trailing the Market. Why One Analyst Became More Bullish.,0.4455
120,Netflix Has Been Trailing the Market. Why One Analyst Decided to Get More Bullish.,0.4503
121,Where Will Netflix Be in 5 Years?,-0.1261
122,"The Zacks Analyst Blog Highlights: Netflix, Toyota, AbbVie, Merck and Sinopec",0.0562
123,Netflix Leads All Movie Studios and Streamers With 35 Academy Award Nominations,0.5774
124,"Streaming password sharing costing Netflix, others billions - Citi (NASDAQ:NFLX)",0.3645
125,"Fans Are Having A Field Day After Netflix Releases Documentary On Blockbuster, Whose Business The Streamer Killed",-0.1614
126,Netflix may crack down on password sharing,-0.0391
127,"News24.com | In pandemic year, Syrians blocked from Zoom, Netflix",-0.3931
128,Better Buy: Netflix vs. Amazon,0.5972
129,Why Netflix Stock Popped Today,0.299
130,"Amazon, Netflix Make Morgan Stanley's 30 for 2023 Stock List",0.603
131,"Analyst: Netflix password sharing 'fairly meaningful,' but a crackdown could work",0.3104
132,"How Netflix's 'The Crown' Benefited From Prince Harry, Meghan Markle Interview",0.3379
133,Netflix cracking down on password sharing in new test program,0.1934
