,Recent headlines and conversations for NKE,Polarity
0,Run the Colin ad.....drum up some more sales.,0.4426
1,"Couldn’t happen to a more unpatriotic company. China sales up, US sales down. That says a lot. I haven’t bought Anything Nike since they chose to support a blatant communist country.",0.7461
2,It's always a great day when you look at the market and see UAA up and Nike continue to fall deeper under that $80.00 a share mark you liberals all bought in at.,0.7011
3,Glad to see that Crappenheimer upgrade worked. True value there....,0.8299
4,This would be like Having OJ to be the face of a glove company,0.178
5,"In a column that is likely to dismay readers on the Fox News website, conservative attorney Andrew McCarthy – a regular contributor to National Review Online — said that it is inevitable that President Donald Trump is going to be indicted by the Manhattan U.S. Attorney that he appointed for campaign finance violations.",0.6198
6,Don't forget HURLEY (Nike owned),0.1695
7,Good luck America and a special thanks to the liberal democrats. You've succeeded in ruining the country. There is literally nothing that you haven't infected.,0.946
8,NKE Sales Collapse?? UH OH!,-0.8124
9,DOWN GOES NKE....DOWN GOES NKE!,-0.3089
10,SHORTED AT $132.01. Lets see what tmrow pre mrkt brings. Valuation a bit stretchd. 183Billion Mrkt cap. Really ????,-0.6309
11,In other news.....the IVAN(ka) tRUMP clothing line just released it’s new fall line up........,0.1651
12,Nike’s favorite color. Red,0.2515
13,"I’m a business genius, I’m going to double my revenue by alienating 60% of my potential customers",0.3948
14,Everyone Sell!!! Do it for your country!!!,0.5831
15,My $85 short still looking good!,0.0891
16,That gap at 71.50 wants to fill on the way down to 60,-0.2997
17,I buy about $1000. minimum of cloths and shoes and that is coming to and end and hope the rest of the country will wake up . Nike is done.,0.9094
18,Going down like Monica,0.1366
19,"I am 100% against what Colin K is doing and I think Nike is making a big mistake supporting him. I don't disagree with his support of minorities, in fact, I agree with what he says regarding racial inequality. But don't desecrate the American Flag and what it stands for by kneeling. I have a 14 year old son and his views are much more idealistic than mine, but to my surprise when we were buying tennis clothes for him, he opted for the Under Armour brand saying he is ""down with Nike"". Nike seems to think that their younger ""target consumers"" won't care about the politics...if my son is any indication, they will find out the hard way they are wrong.",0.8088
20,Have some dry powder ready for earnings. Hoping it sinks so I can load up on more,0.8558
21,Timber!.......,0.0
22,I am in the embroidery business and when I get a call the customers say show me anything but Nike. It was a bad move.,-0.5715
23,I'll Never buy another NIKE product again.......my family is littered with people who served and died for this country........nike is dead to me.,-0.7011
24,Short Kneeke into the grave.,-0.7033
25,WOW people actually believe that those trailer parks buy Nike gear too funny educated consumers are the ones Nike after not Trump followers.,0.9069
26,"On top of this Nike P/E ratio is insane at over 70. If they have negative  revenues this could follow under Armour trajectory and become a 35 dollar stock very quickly imo.,",-0.8112
27,Kraepernik Ad Campaign was a Stoke of Genius LOLOLOL,0.4045
28,Hopefully krapper got paid in stock,0.5099
29,Trump 2020 campaign theme for red hats-dry hump the flag and show your patriotism.,-0.124
30,"Nike found the note on the doorIt said good-bye and she don't want Nike no more""Bye bye baby, bye bye...."", She said in her letterAnd that was all she wroteGuess this is goodbye, guess this is foreverAnd that was all she wrote",0.6189
31,Average Nike Board Member (visual approximation),0.2625
32,Starbucks still hasn’t recovered and it’s been 2 years,0.0674
33,They have $5b in cash and 1.6b outstanding shares. When it drops to $3.00 they can go private. Maybe that's the plan? That's the only thing that makes any sense.,0.8451
34,"seems no one likes my idea about telling the trash they have to pay for their shoes, they're not on display to make it easier to steal snicker maga",0.121
35,88 times value is way to high,0.509
36,The Fearless head strong leader of the Democratic Party,0.8546
37,NIKE UP .06 AH FREDDY THAT IS STRONG LMAO,0.9391
38,I sold all my Nike stock and bought amazon and Apple,0.5217
39,"Regardless of your politics the board failed their fiduciary responsibility to the share holders.... taking sides in a political debate will #$%$ off 50% of the customer base, which side is not important.",0.284
40,"TREXIT literally believes everything they say on CNN.TREXIT do you understand that if it was not for TRUMP, your beloved Communist News Network would be out of business. Before TRUMP their ratings were at all time lows. Just like the unemployment rate today. TREXIT time to thank your president! You have 6 more years to enjoy this success!",0.9398
41,I’ve noticed Nike drops everyday Maybe if the inner city trash paid for their shoes instead of stealing them ?What do you guys think about that idea ????Get back to me ASAP,0.2875
42,I knew there was a reason I put my money in Under Armor last year. I'm smiling today!,0.5262
43,Nike is done. sell!!!!!!https://www.usatoday.com/story/sports/ncaab/2019/03/27/michael-avenatti-shares-documents-allegedly-showing-nike-payments/3295508002/,0.0
44,I wonder what Iranian-born Valerie Jarrett (Obama's closest adviser) thinks?,0.0667
45,People / companies will say or do anything to make a buck.. Even at the expense of our Veterans and Patriots.. Our Country want last much longer with the BS / Media these days,0.3782
46,NBEV you can thank me later...,0.438
47,Nikki....makers of sneakers for low roaders.,-0.2711
48,NKE did announce as a follow-up that it's coming out with a Louis Farrakhan shoe.,0.4478
49,Join the ever growing boycott NKE movement! Never NKE!!,0.4616
50,PROPHET THAT'S THE ANSWER WE ALL EXPECTED FORM YOU,0.1443
51,Poll: Nike Favorability Crashes 34% with Kaepernick Ad Campaign | Breitbart http://bit.ly/2M5VR9P via @BreitbartNews,0.4874
52,"Markets can be depressing when you lose trade after trade but not anymore; go to (http://Thetraderguide.com) for your free weekly stock picks, you won't be disappointed.",0.856
53,"Classy, inspiring commercial...$85 by week's end and $100 by Christmas.",0.7757
54,Thank you Krapernick,0.4214
55,"the oct.,nov, dec, quarter will be a big miss......and poof. down we go",-0.1752
56,"Shame on you NIKE, will never buy your products or stock 11 Respect the country and it's FLAG !!!!",0.7464
57,We will see back to $60s soon.,-0.008
58,Nike insiders be like,0.3658
59,Nike shareholders need to get ready to “sacrifice everything” in order to “believe in something”. Nike must believe that Their shareholders need to believe in something other than sales and profits. :-),0.8856
60,Personally I don't buy Nike's stock or their products. Both are over priced. It seems the company enjoys setting up these controversies. Let's be sensitive to everyone. Another piece to this is that in a number of cultures it is considered an insult to show the heel of your foot. Putting any SYMBOL on the heel of a shoe should be an insult. I will buy under armor products and ADDIDAS their products are better anyway.,0.3
61,Who else hates progressive millennials?,-0.414
62,"What are you thinking ???? As a Navy veteran and first responder with almost 20 years of service it is appalling to give credence to this guy who will not stand for the National Anthem. The last time I checked both police and fire departments have ride a long programs. Just curious if he, or any of the others who are ""protesting"" have looked into that. My guess is no. If so they would see first hand what police/firefighters/paramedics go through each and every day. Or here is another thought, take a trip to Dover Del and watch the C5's come in with Flag draped coffins of service members who were killed in action. What these men and women have is courage, honor and dignity even in death. Those are qualities that Kaepernick and those that continue to disrespect the Flag will never have and never will. Great decision Nike.Bill H.",0.9549
63,A feature on CNBC today looked into sales for apparel and Nike was mentioned in the top five.Most desirable label among adolescent age group. Other four were American Eagle-Levi-Gap--Lu-Lu-Lemon.,0.8737
64,The only thing that makes a better fire than old Nike shoes are new Nike shoes.,0.3774
65,"thank you for the crappernick ads, how much has it dropped? and by the way this drop is nothing compared to when they report their quarterly earnings in a couple of months",0.2673
66,#NKEisaT/u/rd,0.0
67,the best short on the market...,0.2566
68,Average NKE shareholder,0.1874
69,"If the big boys want out, as proven by yesterday... then they need you in. MM playing you like a fiddle today.",0.8298
70,All they have going for them right now is name recognition... same situation as Hillary in 2016.,0.0768
71,Down goes NIKE UP GOES AMERICA,-0.0816
72,hey mares as the great WC FIELDS use to say''go away boy you bother me'',0.7233
73,NIKE Activist CEO is playing SJW with Investors Money !! Wow and now stock is starting to CRASHHHH,0.8476
74,How about paying for your own health care instead of buying $200 shoes and $1000 Iphones.,0.7755
75,I repeat. I will never buy Nike products again.,0.0859
76,"I would not care if they rightly changed leadership over this, I will not own Nike anything from here on",0.7405
77,What happened to the $80s?? NKE was in the $80s when they started Kraepernik ad. It just keeps falling now. What happened??,0.3394
78,Futures are Strong but NKE is WEAK.Down as always. Its the KRAEPERNIK CRASHHHH,0.4582
79,"This is not about Kap, its about business. Nike is not afraid to go the other direction. They did it with Jordan, Tiger Woods, Kobe Bryant, and Charles Barkley. They have grown 50 times over since those times because that is what they do. They use those names to market their product to improve sales.",0.8893
80,"I've got to question the managements decision making after this one. I mean, why get involved on either side? Run the company, stay out of politics. I've never been a fan of Nike, and even less so now.",0.6601
81,Bought some this morning. I hope it goes up after earnings.,0.6549
82,This doesn't look good for NIKE Losers :(,-0.8152
83,Bookvalue $6.13 a share. This could drop a lot more if funds start dumping.,-0.2257
84,NKE OVERVALUED and CRASHING due to Kraepernik plus ton of overhead resistance with all LOSING positions bought over $75.Looking Bleak!!,-0.5337
85,not good for LONGS...it couldn't keep its high.,0.2502
86,This stock will be $40 by Feb 2019.,0.1179
87,Lots of very bad stuff happened at Nike last week this is a way to get you to not see those problems. Tanking....,-0.5712
88,keep buying snowflakes.... i'm sure you see a buying opportunity. That same buying opportunity was at $85 too correct.... haha,0.944
89,"Zee, I. CAN'T. HEAR. YOU.",-0.247
90,Renaldo will be the next NIKE star,-0.3681
91,Triple average volume yesterday and it closed slightly up after opening WAY down in comparison. I'd say the bears are winning at this point. Let's see how much the millennials can hold it up today on the Robinhood app. My guess is today is the day they lose the battle and it goes further south.,-0.4797
92,false positive this stock is going down ..,0.3553
93,Libtard pundits on TV will furiously defend this stock like their baby....to no avail because the real damage will come in millions of painful cuts in coming months and years.,-0.8745
94,"What else do you need to do to commit brand suicide? This fiasco will take years to recover from, if ever.",-0.672
95,"wow everything you guys come up with is ""he said, she said"" Don't you realize that's getting you no where. The media has you spun up over nothing. Next week there will be a new smear story. Nothing will come of it. Are you catching on yet?",0.8523
96,$72/share back in March...........that boycott call sure did its bigly job. Believe me.,0.1975
97,Trump support 36% try again.,0.4682
98,POTUS can tank nike with a word,-0.1439
99,"Under Armour, Adidas, Reebok, New Balance etc etc does Nike think their the only game in town?",0.6624
100,LOOK THERE IS STOOGE AND PROPHET NOW,0.0856
101,"The Trump TouchVerizon Says It Will Shed More Than 10,000 Workers Next Year",-0.0853
102,thank u trump for doing what Obama couldn't,0.2817
103,"Nike will be $60 in 5 months and $40 in a year. Communist-supporting globalism should go bankrupt. Before long, buyers will be lucky if they prop up $50 billion (very high) for a bad brand.",-0.6549
104,Earnings haven’t been released yet? How is it up 10%?,0.3349
105,adidas is german,-0.307
106,That boycott is really hurtin'. From $75 per share this time last year......,0.1582
107,liberalization of the globe,-0.0426
108,"Nike is now a ghetto brand like, what was it called, oh yeah...fubu. LOL",0.768
109,"Wearing Nike = Big sign on your forehead that reads ""LIBTARD""Not my cup of tea",0.6237
110,downgrades in the AM should bring pps to around 75,-0.3613
111,Kap is so brilliant! I am seriously amazed that he isn't running for president. What is wrong with you democrats? He is everything that you (don't) stand for. Nike: The company that divides a nation.,0.7092
112,"I""m running from this one...",0.2477
113,Retesting 69 level,0.3266
114,Analysts expected $3.89 billion. Nike reported $3.81 billion.,-0.0254
115,No more Nike for my family...,-0.2538
116,"I just bought NKE, first time I have bought nike. I usually buy tech. pretty easy investment, long term outlook here ",0.8989
117,I wonder if Kraepernik will like the new Nike Crack pipe design that I heard they were working on,0.105
118,Kenny has 'sold his shares' some 28 times since yesterday!Comrade!,0.5296
119,"OK GUYS GET READY, IN ABOUT 6 MINUTES PROPHET WILL TELL YOU EXACTLY WHERE NIKE WILL CLOSE FOR THE DAY",0.5811
120,http://www.foxnews.com/us/2018/09/06/college-ozarks-private-christian-school-drops-nike-over-kaepernick-ad.htmll,0.0
121,Trump's Latest BIG Lie: Tells Troops He Got Them A 10% Pay Raisehttps://theunitedstatesblues.com/trumps-latest-big-lie-tells-troops-he-got-them-a-10-pay-raise/,0.0898
122,Nike pulls Kobe Bryant gear from online store in wake of his death.,0.0514
123,"If they do well, they will be doing it without me and my family.",0.4488
124,Tell Nike and kapernick to look into the stands and help diversify by making it open to everyone not just the rich,0.7422
125,Who's next Al Sharpton?,0.0005
126,good co to short.,-0.0178
127,"My grandfather wouldn't permit anyone to criticize the USA while he was nearby. He was an Armenian immigrant from a place that is a Muslim country that killed his daughter and committed genocide. Sure, this new land wasn't perfect, but he knew his remaining daughters were safe from the Muslim slaughter of the Christians. He could work and get benefits from his war time service.",0.5061
128,All you maga fellas with new ID's - you are doing it for the motherland correct?Kim Jong Un of North Korea proclaims “unwavering faith in President Trump.”,0.7828
129,Maybe Nike can sue it’s customers for collusion like Colin sued the NFL.With Xmas around the corner there’s a lot of choices and Nike may not be one of them.,0.4605
130,fraud buying at its best!,0.436
131,MARES I THINK YOU MEANT YOU'RE HIGH 52 WEEKS OUT THE YEAR ROFLMAO,0.9012
132,I suppose Nike will be burning American flags in their next ad.,0.0205
133,Nike deserves this.,0.0229
134,Next out Mnuchin and Powell. Both Trump “Deep State” appointees.Let chaos continue!,-0.5044
135,No one cares about ER..just the 10y bond matters. What a joke..))))),0.3062
136,"mars heinz 57 states, yes...but we can't say that word because it's racist. don't you know?",-0.7088
137,"The bad news for Nike is, these are the last good results they'll have",-0.0907
138,Colin Kaepernick could get up to $80MILLION in his breakthrough settlement with the NFL after he accused all 32 teams of blacklisting him for his national anthem protestlolol,0.7928
139,"Fantastic show, Nike! My associates at The Institute and I are grateful for Nike's entrepreneurship and willingness to take chances. They are the model for how well-run business should be conducted. Best of all, Nike stock has pumped up our endowment fund - - today, we are a well-endowed thanks to the profits from our Nike stock!",0.976
140,Does Nike make Hikers or Work boots?,0.0354
141,Watch Nordstrom's on the open today. It is a foreshadowing of Nike when they announce earnings in December.,0.5112
142,When does hockey start? Can’t wait. These guys stand through two national anthems proudly.,0.7566
143,GROWTH LMAO,0.7579
144,how many billions will NIKE lose today and going forwardIKE lose today and going forward,-0.5963
145,"I can't wait to see Nike's next two quarterly reports. I'd really like to see Kaepernick announce it, knelling.",0.4842
146,"Not sure why this is down, was pretty good given delays at the harbors",0.6989
147,He is no longer a player.,-0.1138
148,"Don't worry, longs, the company will make it up with more revenue from knee-pads. Hopefully Antifa will also officially endorse Nike.",0.8231
149,NIKE Down massively since Kraepernik ad campaign.FIRE EVERYONE INVOLVED RIGHT NOW!!,0.2806
150,STOOGE I WILL NOT FIGHT YOU ON THAT ONE I AGREE WITH YOU 100% ON THAT PAUL RYAN COMMENT IT'S TOTAL BSNOT JUST FOR PAUL RYAN BUT ALL OF THEM IF SS IS GOOD ENOUGH FOR ME IT SHOULD BE GOOD ENOUGH FOR THEM,0.9745
151,Dumpster fire stock. Company still won't pull the plug on Kaepercommie.,-0.2489
152,Is it really necessary to get into politics?,0.112
153,Kaepernick.....hahahahahah. risk everything...on this stock!!! Lol!!!!,-0.3464
154,I buy about $800 per year in Nike golf balls. I lose several every round. I’ll buy Taylor Made or Bridgestone golf balls now. They’re just as good. Maybe better. It’s not a big deal..... Golfers stand for the National Anthem.....The PGA tour is big with veterans. Nike Golf will take a big hit.,0.9143
155,"Some questions for LeBron James:1. What exactly is your definition of ""systemic racism"" and in what systems does it exist? Everywhere? The NBA? In the neighborhoods where you own multi-million dollar estates?2. Why don't you live in communities you claim to care about, rather than presumably systemically racist communities?3. Why didn't or don't you send you children to public schools in communities you claim to care about?4. You say there is voting oppression and suppression taking place in the country. Exactly which voting locations are you talking about, have you informed the Civil Rights Division of the federal Justice Department (these would be federal civil rights violations), and are you aware that the voting locations and related decisions about the voting process are mostly made in the counties where the precincts are located? In other words, are you accusing minority public officials of oppressing and suppressing votes in their own communities?5. It's well known that you are a Democrat, that the organization you've help fund to promote voting is intended to elect Democrats, and that many of the issues you claim to care about involve matters handled by locally elected officials who are almost all Democrats. The Democrat Party is also the party that stood for slavery, segregation, Jim Crow laws, filibustered the 1964 & 1965 Civil Rights Acts, elected a former klansman as its leader in the 1970s, etc. Why aren't you calling for the abolition of the Democrat Party, or at least demanding a name change, and how do you justify your hypocrisy?6. Are the fans who pay your enormous salary through very expensive tickets, cable TV monthly charges, and buy your extremely pricey sneakers, jerseys, etc., systemically racist? Are the fans who are not systemically racist nevertheless being price gauged in order to subsidize your lavish lifestyle?7. You signed a tremendously lucrative contract with Nike; Nike does business in China, slave labor is used to manufacture products in China, and China is a genocidal communist regime that runs concentration camps and enslaves ethnic minorities. For all your talk about racism and oppression, isn't it true that you have enriched at the hands of one of the most repressive regimes in modern history?8. You infamously chided an NBA executive who tweeted a short sentence in defense of the oppressed people of Hong Kong, who are now suffering mightily under the iron fist of China's Communist Party. Don't you owe your fans, the public, and the people of Hong Kong a better explanation, especially when you hold yourself out as a civil rights icon?9. My producer reached out to your representative and the NBA to invite you on my radio show where we can discuss these and other issues before millions of listeners. We've not received any response. Please consider this a continuing, open invitation to have a frank, civil conversation.",0.9788
156,Obama got the most votes in history.Trump lost the popular vote to HillaryI think that says it all,0.2357
157,SELLLL!!!!,0.0
158,I don't currently own. anyone buying here going into earnings? or too risky with China uncertainty?,0.1745
159,this might go down to 7. krap's jersey number. LOL,0.4835
160,"to be honest im bummed about the Nike deal cuz i love wearing Nike. but ill never support them with my wallet again. I was going to buy a pair this week, now i wont even look at a Nike....for me or for my family.",0.8712
161,"Dems only defense is projection, sad. NKE",-0.1526
162,"If Nike signed Boko Haram and Al-Shabaab as brand ambassadors, the stock would soar to $200.",0.6218
163,Trump Rally for dominating Senate control 53 to 47,-0.4431
164,Investors know nike will take a big hit on their next earnings report. They are getting out!,0.5078
165,I think big money interests are going to prop this up as long as they can. They will trade it back and forth for pennies to make it look like they are winning over the foolishness of the decision. Just my opinion.,0.8258
166,"Nike, the brand of millionaire crybabies who hate the USA.",-0.3584
167,not great results for supposedly being a surge in this quarter,0.865
168,Wearing Nike. Playing Nike. Owning Nike.Has become unAmerican.,0.0939
169,"SSS, WEDNESDAY MORNING WIN ARE LOSE THE DUMOCRATS WON'T CARE ONE BIT ABOUT THE CARAVAN",-0.2363
170,Buy under armor!,-0.0812
171,"all about guidance anyway... should be interesting. if they guide high, they'll disappoint next Q. Guide low and it gets hit anyway",0.3712
172,"Ohhhh, Lizzie Warren just laced up her high top nikkies and gave those mean ol' Repubes 40 whacks....she is really on the warpath....despite being rejected by the real Native Americans.",0.3613
173,$NKE Target Raised by Pivotal Research Buy USD 160 » USD 167,-0.3482
174,2:1 split @ $140?Would be Nike's 8th.,0.1529
175,"It will take a few weeks or months till sales drop to fully effect Nike's stock, let's hope Nike is destroyed",-0.1399
176,"Nike is THE althleisure brand. I work in fashion. These earnings are a miracle given the circumstances- analyst targets need to be taken with a grain of salt for retailers, travel, & hospitality - they had to deal with the extreme consequences of Covid. Nike is a strong recovery play.",0.9255
177,earnings,0.0824
178,Wonder if they ran this by Tiger. A few days ago he said we need to respect each other and the institution of America.,0.8091
179,Is this a high growth stock? No! It's worth 50 on a good day.,0.8205
180,Short Nike. USA. Love it or leave it. As they employ sweat shop workers to make their shotty shoes.,0.8585
181,Did anyone see the heavyset girl running after that tennis ball Saturday I’d be angry too,-0.048
182,"How can Nike be so dumb making this move. Just figure how many millions people voted for Trump plus however many millions that supported Trump but being silent plus how many millions don't support Trump but feel offended about NFL kneeling while anthem playing. Then, multiply that with the number of pairs of shoes they would buy. That will be the lost of sales. Get out of this stock while you can.",0.9115
183,Democrats will lose bad in 2020. Im investing in Kleenex!,-0.7376
184,Pat Tillman believed in peoples right to protest same as my father who won the bronze star he said we fought for our rights not a flag or anthem.,0.0598
185,I hope your stock goes down . How unpariotic of you..I'll never buy Nike again,0.5263
186,Barf,0.0
187,Nike stock is worth about $25-$30 per share,0.6747
188,Lets see how much they love their Gangster Caravan after Election Day,0.6403
189,Nike should have a deal with the minister who did the funeral at Aretha's funeral. He is the one with the right idea.,-0.2285
190,I’m never buying Nike again!!!,0.4942
191,Boycotting AMZN and NKE simultaneously: Order NKE shoes from AMZN and burn both the shoes and the AMZN box it came in. But sure to post the video on YouTube!LMAO!!!,0.6581
192,"Wonder what the Nike CEO is going to crow about when NKE gets to $30. I guess he'll use Bill Cosby, O.J. Simpson, and Louis Farrakhan as the face of Nike.",-0.2756
193,"This ""battle"" has just begun wait for earnings NKE",0.3246
194,stacey on cnbc couldn't pronounce ADDIDAS properly.,0.0434
195,The Dems want to Delay the vote. Again so there newest supporters can cross the border,0.523
196,Adidas #1,0.0
197,Sell sell sell,0.2073
198,NIKE POS!,0.0
199,Kraepernik is a jinx ! NIKE is FINISHED !!,-0.5321
200,"KARL IMAGINE IF DON TRUMP JR RUNS FOR PRESIDENT AND WINS, THEN IVANKA RUNS AND WINS COULD BE 22 MORE YEARS OF TRUMP ROFLMAO",0.946
201,i'll see you guys at 85s next month? HAPPY HOLIDAYS everyone!!!,0.8838
202,Another bad decision by Nike?.,-0.3286
203,Here's an old vid Richard posted of himself..........worth reposting.....https://www.youtube.com/watch?v=wfCBVV23ztU,-0.077
204,ITS ALL SO HOPELESS!! NIKE WILL NEVER RECOVER!!,-0.6643
205,Obama could finish a complete sentence.,-0.3215
206,I don't own Nike shares or Nike shoes and never plan to !!,-0.1924
207,"only NKE can keeping it's sales strong growth continue, never stopped, this is very good company, it's worth to long-term buy,",0.8849
208,"WHERE IS PROPHET, LEFT YOU BAG HOLDERS ALONE ROFLMAO",0.3061
209,If Ginsburg reigns to focus on her health President Trump would get another selection.,0.332
210,"JUST DO IT, Don't buy Nike !",0.5673
211,Sales could be zero and the fake media will try to make you think otherwise. Short at will,-0.6611
212,Keep censoring the fact he sat on the bench 3 years Yahoo!,0.4744
213,37 cents?? SAD!,-0.6689
214,71.77 OUCH!!,-0.6988
215,"Biggest blunder in sports marketing history. Long time Nike buyer. Not anymore. 16 yr old son is done with them, too.",0.6863
216,"DEMOCRATS HERE TALKING ABOUT 1ST AMENDMENT AGAIN, BUT IT ONLY COUNTS IF YOU AGREE WITH THEM. MUST BE THAT FINE INNER CITY EDUCATION THE DEM SHEEP HAVE RECEIVED LMAO",0.9666
217,Let everyone know what Nike did as we will follow up with the new meaning of Just Do It! It will sound a lot like Just Sell It!,0.7902
218,Kap is the best thing which happened to Nike.,0.6272
219,Did Nike sign Bill Cosby?,0.1546
220,Lot to lose nothing to gain,0.2747
221,"""President Trump has a stronger approval rating (48%) today than Barack Obama (44%) did in 2010 on this same day."" TMZ",0.6916
222,My 12 year old passes better,0.4715
223,NKE headed back to mid $40 trading range,0.0741
224,I just sent all my nike shoes and clothes to John Slusher Nike VP Marketing out of respect for my Nephew who is sacrificing everything as a police officer. My wife and daughter have been trying to get me to try Asics so today is the Day....,0.8494
225,I went to New Balance years ago anyway ..,0.2382
226,Sell or buy? Bought at 65 or keep for dividends?,0.374
227,"Iconic name brand positioned to move higher. This is big statement tonight. I've been patient with this Nike as it's become a core position. Wish my shares were 100+ but sure am glad I targeted this as a COVID play in March when it was in the 60s. Nike will continue to evolve beyond the brick & mortar outlets it was once completely tied to. Donahoe at helm (formerly Service NOW CEO), taking company to new heights. Just Do it",0.9617
228,NIKE WILL GO BANKRUPT,-0.6055
229,NKE changed the perception of their products so much with one AD. I personally wore their shoes because they were a good product. Now when I see something NKE I throw up in my month. Would never consider anything NKE again. that is a big change in customer loyalty from one ad. No matter how much the USA is attacked she has been a great country and we all should appreciate this country,0.9732
230,https://scontent-ort2-2.xx.fbcdn.net/v/t1.0-9/45464801_986123875060952_7097898236525936640_n.jpg?_nc_cat=1&_nc_ht=scontent-ort2-2.xx&oh=a106c171636a66e6258edff90407a905&oe=5C44A437,0.0
231,"So the relatively small (certainly comp to a year's worth of revenue) group of supporters runs to the computer to order a pair of shoes. Then comes the 50% of their customer base they just #$%$ off. When the inventory climbs, thats them not buying. Then comes the 30% thats indifferent but still not going to wear a swoosh anywhere because its now the biggest symbol for the leftest leftist 20%. Way to go! This is the single worst business decision I've ever seen.",0.285
232,"The point of the ""right"" should be to inform the liberals on how Nike products are made in Asian swear shops...Then they lose everyone but the Kap lovin fist raising crowd",0.6701
233,Cancelled our corporate account with Nike. Land's End now has our business.,-0.4181
234,Today's best short : Nike,0.2603
235,71's !! LOLOLOL,0.0
236,"prophet, since you deem yourself as an intelligent person, what is the next support? LOL",0.8824
237,"gary, your nike company is failing just like the blue wave. it's obvious you are angry because your blue wave was a big failure.",-0.9134
238,What did Colin Kaepernick kneel for and how was it bad for the people of the USA?,-0.274
239,"Boycotts are no longer enough. Not just Nike, but the hollywoods and the big tech companies too. It is time for a permanent solution to the liberal infestation of America.",0.4638
240,Nike helping push more conservative politicians across the finish line in the midterms.,0.4416
241,"Tom... in my opinion, the only reason Nike Is down is because the big money investors got their nose bent out of shape because North American market was down.Seems to me $ is $ no matter where the investor is spending it... it all accumulates at Nike!!",0.1622
242,Temporary network error....please bash nke later.,0.2878
243,Wow censorship,0.5859
244,1954 posts on this topic. A huge response. Wonder if Nike has gotten the attention they wanted.,0.8238
245,"Nike is a good stock to short, short target in the 40s",-0.4915
246,Who is buying NIKE products on this days ? Almost no one is doing sorts.,0.2501
247,Hillary lost and the market skyrocketed,-0.3264
248,Does Nike still use foreign slaver labor to make their products?,0.0276
249,Classic — Terrifically documented book — A Must Read !http://www.simonandschusterpublishing.com/proofofcollusion/index.html,0.4271
250,"NINE bucks ABOVE the 50 day average.,SHORT IT...it will retrace!!!!!!!",0.6155
251,Shorts have my permission to short this right here right now. I took 2 positions so far. 131 cost basis which I might trim tonight for tomorrow. Plenty of powder for tomorrow.,0.0004
252,We Americans will no longer buy NKE!,-0.3013
253,"When Nike stock prices skyrocket, Nike/Kaep haters are like",0.5966
254,So.. ..any news.on the earnings report?,0.2236
255,it might dip like last time kaperstink was involved then everyone bought the dip.,0.6758
256,BUYING NKE DIP IS ALWAYS EASY MONEY ,0.7359
257,*2019 Book Of The Year*“Nike - How To Business Suicide In A Swoosh” by: Libtard Ideology,-0.6882
258,"You lost your first $3 BILLION in market cap today, political doorknobs!Go respect the flag of Cuba or North Korea, if you can't stand for the best flag on the planet. I hope the outrage extends deep into the pockets of the elites who supposedly 'manage' this train wreck. Here are a few kind words for your Board; FILA, Adidas, Sketchers, Puma, Under Armour, New Balance, Reebok.",0.8753
259,71.50 before 80.E Z CALL,0.2899
260,"so Nike shares jumped after commercial,but if they knew that they would lose a core business ,the soccer mom's, veterans,fire fighters, police,shame on them they work for the share holders and not there own agenda ,wise up",0.831
261,At least the dividend yield went over 1% lol.....,0.0951
262,What stock in the stores during the riots Has to be replaced￼ Which means their sales will be up,-0.3424
263,Scared money don’t make none. Another missed earnings day opportunity.,-0.164
264,Boycott football games of the NFL.,0.3317
265,"NKE was growing. I can say I have only seen 1 or 2 of the ads, not much for the big play they said it was going to be. NKE mgt just doesn't want to admit this was a big mistake and alienated 25-50% of their US customers. Next few qtrs will tell.",0.1312
266,"I will not watch the NFL again until all participants on the field are required to stand respectfully and cover their heart with their right hand during the national anthem. Thanks for the reminder Nike. Also, I will never ever buy anything Nike or related again.",0.9401
267,Has Nike apologized yet?,0.303
268,You can’t take my guns away.... “corn pop is a bad dude”,-0.3946
269,The Kapperwhacker effect,0.0928
270,Tyrants run this company. Time for a shareholder revolt.,0.3725
271,"over valued, over priced, over bought",0.1681
272,Kraepface Kraepernik the Multi Billion Dollar DISASTER!!,-0.7291
273,is this the zion effect?,0.1154
274,"STOOGE HAS NOT BEEN HERE ALL DAY, I GUESS SOROS STOPPED HER FUNDINGROFLMAO",-0.0756
275,Just BROKE the post Kraeperbik LOW!! The KAEPERNIK CRASHHHH Continues!!,-0.7995
276,CEO for NIKE supports Illegal Alien Criminals and Criminal Activity...,-0.8029
277,"i feel betrayed et tu, brutus?",-0.6339
278,Down again. I knew it!,-0.274
279,"My kids love Nike . My questions is why? Nike shoes are over priced, they wear out way to soon, and Nike has the no godly side to them, I been over Nike for years but now my kids are refusing to purchase them,",0.005
280,Nike is falling,-0.1531
281,"According to Forbes, Nike's marketing plan is to focus on 12 ""Key Cities"" in its Consumer Direct Offense: New York, London, Shanghai, Beijing, Los Angeles, Tokyo, Paris, Berlin, Mexico City, Barcelona, Seoul, and Milan.These are the places the company predicts will generate over 80% of Nike’s projected growth through 2020.",0.6445
