,Recent headlines and conversations for NKE,Polarity
0,A look at 10 stocks billionaires have been buying and sellingMatthew Frankel,0.2405
1,Nike (NKE) Gains But Lags Market: What You Should Know,-0.0695
2,Nike slips as sales outlook dampens investor enthusiasm,0.3711
3,"Dempze Nancy E Buys Koninklijke DSM NV, Nike Inc, UnitedHealth Group Inc, Sells 3M Co, Chubb, ...",0.3287
4,"How sneakerheads are changing Nike, AddiasJason Tomaszewski",-0.0006
5,"Broderick Brian C Buys Koninklijke DSM NV, Honeywell International Inc, Nike Inc, Sells DuPont ...",0.4815
6,Nike shares jump as retailer lays out new growth targetsLauren Thomas,0.7868
7,Should You Buy Nike Stock At $136?,0.4165
8,"The Zacks Analyst Blog Highlights: Nike, CVS Health, American Tower Corp, The Southern Co, American International Group and Parker-Hannifin Corp",0.7417
9,Nike (NKE) Dips More Than Broader Markets: What You Should Know,0.0436
10,Analysis: Nike made a surprising choice for its next CEO. Here's why it happenedJeremy Bowman,0.557
11,"Somerville Kurt F Buys Koninklijke DSM NV, Honeywell International Inc, Nike Inc, Sells Chubb, ...",0.3408
12,Simone Biles drops Nike and signs with Athleta,0.0723
13,"Puzo Michael J Buys Koninklijke DSM NV, Nike Inc, Honeywell International Inc, Sells 3M Co, ...",0.3837
14,"Top Stock Reports for Nike, CVS Health & American Tower",0.6047
15,"What is a blue-chip stock, and why are they favored? Ask A FoolMatthew Frankel, CFP",0.6566
16,Fact check: Nike never said it 'can afford' to lose the business of Trump supportersCamille Caldera,-0.069
17,Nike stopped direct sales on Amazon. Here's why it's a good moveJennifer Saibil,0.6223
18,Nike (NKE) Stock Moves -0.48%: What You Should Know,0.373
19,Nike Inc. (NYSE: NKE) shares were trading in the green Tuesday following an analyst upgrade. Jefferies upgraded the stock from Hold to Buy and raised the price target from $140 to $192. Nike was trading 0.16% higher at $136.62 at last check.,0.8152
20,Nike vs. Adidas: Which Stock is a Better Buy?,0.5878
21,Nike Stock Technical Levels To Watch After Analyst Upgrade,0.5106
22,Kobe Bryant's estate ends nearly two-decade deal with Nike,0.2063
23,"Jasper Ridge Partners, L.P. Buys Accolade Inc, iShares MSCI ACWI Index Fund, Nike Inc, Sells ...",-0.0614
24,"Nike Just Does It: Analyst Likes Favorable Risk Reward, Shift From Wholesale To DTC",0.9145
25,"Shoe, apparel and equipment company Nike Inc.'s (NYSE: NKE) direct-to-consumer (DTC) strategy shift and growth in China has an analyst paying attention.",0.7629
26,"Zacks Industry Outlook Highlights: NIKE, Deckers Outdoor Corp, Skechers U.S.A., Carter's and Wolverine World Wide",0.2527
27,"Nike eyes phased return to office with 'flexible model,' targets Sept. for HQ workers",0.4914
28,"AlphaCrest Capital Management LLC Buys Morgan Stanley, Nike Inc, Comcast Corp, Sells Oracle ...",0.5048
29,Nike (NKE) Outpaces Stock Market Gains: What You Should Know,0.5973
