,Recent headlines and conversations for NKE,Polarity
0,"Nike Reports Mixed Earnings, Stock Falls",0.2137
1,"Nasdaq Falls 3% on Fast-Growing 10-Year Yields; FDX Beats, NKE Mixed",-0.0301
2,A look at 10 stocks billionaires have been buying and sellingMatthew Frankel,0.2405
3,Nike's Digital Strategy Pays off,-0.0002
4,Better Buy: Nike vs. Gap,0.4833
5,Is NIKE (NKE) Stock Outpacing Its Consumer Discretionary Peers This Year?,-0.1036
6,Analysis: Nike made a surprising choice for its next CEO. Here's why it happenedJeremy Bowman,0.557
7,Can Nike (NKE) Keep the Earnings Surprise Streak Alive?,0.6665
8,Nike slips as sales outlook dampens investor enthusiasm,0.3711
9,"The Zacks Analyst Blog Highlights: NIKE, Broadcom, Amgen, BlackRock and Estee Lauder",0.0562
10,Fact check: Nike never said it 'can afford' to lose the business of Trump supportersCamille Caldera,-0.069
11,The Ratings Game: Nike highlights Jordan brand with women’s business up nearly triple digits in fiscal Q3,0.4538
12,Things You Must Know Before NIKE (NKE) Reports Q3 Earnings,0.185
13,Nike Earnings: What to Watch,0.2736
14,Time to Buy Nike (NKE) Stock Before Earnings?,0.4116
15,Nike shares jump as retailer lays out new growth targetsLauren Thomas,0.7868
16,"What is a blue-chip stock, and why are they favored? Ask A FoolMatthew Frankel, CFP",0.6566
17,Here's Why Nike Stock Pulled Back Today,0.3478
18,Is NIKE (NKE) Stock A Buy or Sell?,0.3631
19,Nike Slips on Fiscal 3rd-Quarter Revenue Miss,-0.2255
20,Earnings Preview: Nike (NKE) Q3 Earnings Expected to Decline,-0.0596
21,"Benzinga's Bulls And Bears Of The Week: Comcast, Disney, Nike, Starbucks, Tesla And More",0.0408
22,Nike Grows Its Top and Bottom Lines in Q3 Despite a Revenue Miss,0.1133
23,Better Buy: Nike vs. GoPro,0.4911
24,"Oracle, Costco, FedEx, NIKE and JPMorgan are part of Zacks Earnings Preview",0.3592
25,Nike stopped direct sales on Amazon. Here's why it's a good moveJennifer Saibil,0.6223
26,"Top Research Reports for Nike, Broadcom & Amgen",0.4114
27,Nike (NKE) Beats Q3 Earnings Estimates,0.0824
28,Better Buy: Nike vs. Chipotle,0.4911
29,Nike Inc (NKE) Q3 2021 Earnings Call Transcript,0.6192
30,Nike (NKE) Gains As Market Dips: What You Should Know,0.5067
31,Better Buy: DraftKings vs. Nike,0.4911
32,"NIKE (NKE) Q3 Earnings Beat, Revenues Lag on Supply-Chain Woes",-0.4703
33,Are Nike and FedEx Stock Buys Ahead of Earnings?,0.1225
34,"How sneakerheads are changing Nike, AddiasJason Tomaszewski",-0.0006
35,Where Will Nike Be in 1 Year?,-0.1231
