,Recent headlines and conversations for NOV,Polarity
0,Jumped in at $11. Now need to jump in at $8.,0.1648
1,NOV is down 5.39% to 21.96,-0.4368
2,"Sell the Company to a dividend paying company. This is a bag holders turd of a stock, and I'm tired of holding it at a loss.",-0.3991
3,i reckon this will be back within a few months.... I hope,0.4666
4,Hopefully this is a start to take us to new all time highs.....,0.5071
5,NOV is down 10.83% to $33.00,-0.4368
6,I'm still waiting for a buyout.,0.1846
7,This price is lower than 2007. over 10 years. How are there no changes? Where are the Icahn's. Sell this damn company.,-0.6603
8,With the coronavirus in China bring the oil price down I think NOV will break below the $21.22 support soon.,-0.3982
9,"If you can't short it, you better buy it! OR just watch it fly high! AMEN",0.8788
10,National Oilwell Varco is down 10.11% to 9.42,-0.0238
11,National Oilwell Varco is up 6.66% to 14.48,0.3834
12,I am sick of all the plugs for awesome stocks and the other bull s!!! posts of people who are promoting these sites. Yahoo should every one of them. Free advertising for this #$%$.,0.9173
13,"The ""GreenNewDeal"" Train has left the station:)",0.0465
14,Nov has been lagging the industry despite having one of the strongest balance sheets out there.,0.7518
15,"wow , now thats a lot of loss",0.5284
16,NOV is down 4.91% to 27.89,-0.4368
17,Oil up will move NOV up along with NG prices with all the bad weather.,-0.6249
18,still a huge miss. only good if oil recovers..,0.5565
19,BUYOUT!!!!!,0.0
20,This is easily going back up to 60 like it happened before. Glad it's going up means more oil work also.,0.8582
21,5 yr low. what the hell,-0.7645
22,"This company used to be a fantastic investment. I've never seen it with earnings -$15.00 eps. I know there are some serious pro investors on this board. Please tell me, is this company going under?",0.8942
23,"NOV is a roller coaster special. Big ups, big downs. But more downs than ups.",0.5303
24,This stock is permanently disabled and will never recover imo. it will forever hover around the mid teens,-0.1792
25,"Don't let them fool you into selling. At $13.2 NOV is the *only* oil stock that has a potential to double within the next 12 months, even if oil prices just remain at current levels ~$60. It is dirt cheap and there is large pent up demand for its products/services, which will materialize later in the year. Mark my words: NOV @26 in a year, if oil just remains around $60. None of the other stocks that I follow will double, even those that I highly recommended in the past. For example, HP and SLB will not be at $54, HFC will not be at $70, BP will not be at $49. The only other stocks with a double potential is PBF but that is a very high risk/reward stock, unlike NOV which has a strong balance sheet and generated $700 million in FCF last year, despite the worse year for the oil industry. Load up right here around $13.",0.88
26,still my #1 garbage stock. Sell the company to one of the big boys.,0.4949
27,Is all the bad news baked in?,-0.5981
28,oil prices fall on friday ~~ nov trading up....production increase expected as the US exits the Paris agreement....nov benefits from this increase in production and i believe is the reason we moved higher on friday...,0.7933
29,don't wait until this stock pops to jump in; I’ll just keep loading up here and sell them back later at a much higher price as usual,0.8088
30,"Those who are selling didn't bother to read: ""The combination of $60+ oil, the continued recovery in the North American rig count, improvements in international activity, and the emergence of a number of our offshore drilling customers from bankruptcy is expected to lead to meaningfully better results in the second half of the year.""",0.8873
31,Is Buffet buying back in?,0.3911
32,the stock is at a decade low and yet Clay Williams got paid $13.8 million last year. anyone have a problem with that? punch up a long term chart and see if you can come to grips with the shareholder destruction that has occurred while this management team has been at the helm.,0.7387
33,get rid of this stock,0.1578
34,"Lift off?? God I need this to start moving up. Underwater!! Buy some companies, get bought out. Do something for crying out loud. Where's the insider buying?",0.8933
35,NOV reached a new 52 Week High at 47.89,0.2323
36,hammer time,-0.0582
37,"I KNOW THE CEO KEEPS SAYING THEY WILL CUT COST BUT I JUST DON'T UNDERTAND HOW HAL A 23BILLION COMPANY HAS 60K EMPLOYEES AND SLB A 55 BILLION COMPANY HAS 100K EMPLOYEES BUT NOV A 9BILLION COMPANY HAS 34,220 EMPLOYEES",0.8713
38,NOV is down 10.11% to 9.42,-0.4368
