,Recent headlines and conversations for OXY,Polarity
0,Occidental Petroleum (OXY) Q1 2021 Earnings Call Transcript,0.6012
1,"BRIEF-Attestor Capital, Oxy to own about 75 pct stake in Stefanel",0.2345
2,Breakingviews - Buffett’s TV deal atones for his Oxy sins,-0.1908
3,"Irani's Oxy Pete exit package may be worth $52MGary Strauss, USA TODAY",0.6489
4,"BRIEF-Svante, Lafargeholcim, Oxy Low Carbon Ventures, Total Launch Study For Commercial-Scale Carbon Capture",0.0994
5,"Occidental (OXY) Q1 Loss Narrower Than Expected, Sales Top",-0.0677
6,"DSAM Partners LLP Buys Occidental Petroleum Corp, Constellium SE, Antero Resources Corp, Sells ...",-0.1323
7,Oman Oil in talks with Oxy to buy its local assets - CEO,0.5543
8,UAE's ADNOC sign $500 mln technical agreement with Oxy,0.6479
9,"Occidental Petroleum (OXY) Reports Q1 Loss, Tops Revenue Estimates",0.2545
10,"Breakingviews - Corona Capital: Netflix, Nigeria, Oxy",-0.1346
11,Lawsuit seeks to make drugmaker pay for OxyContin abuseLaura Ungar,-0.2821
12,OxyContin a gateway to heroin for upper-income addictsDonna Leinwand Leger,-0.4903
13,Oxy to exit North Dakota's oil fields in sale to private equity fund,0.2306
14,"Oxy Pete's Irani gets $45.6M as shares dropGary Strauss, USA TODAY",0.6696
