,Recent headlines and conversations for PAYC,Polarity
0,30x sales? 240x earnings? What am I missing? Why did the company buy back $50 million of stock? I guess this was to offset all the free stock given to the management?,0.8733
1,PAYC is up 8.57% to 214.48,0.1818
2,$PAYC Target Raised by Mizuho Securities Neutral USD 260 » USD 330 Target Raised by Oppenheimer Holdings Outperform USD 405 » USD 440 Maintains Needham & Company LLC Buy USD 316 » USD 455 Maintains Piper Sandler Overweight USD 403 » USD 441,-0.8787
3,Hopefully this find support and bounces off the 50 day.,0.7099
4,PAYC is down 13.28% to 191.38,-0.2462
5,Why is this down today ???? Any news ???,0.2656
6,I've never seen such an incredible stock with so little following. last post 14 days ago!? holy cow. this thing is amazing. I don't own and I believe I had it on a watch list a few years ago. Jumped on some others and now kind of regretting it!,0.856
7,"So many businesses closing, millions unemployed. This is going to crush PAYC. One less employee is one less customer. Could we fall below 100?",-0.676
8,Got some mojo back here - heading to 120+ after next earnings,0.1626
9,What will happen to Paycom when millions of companies go out of business? They will lose a lot of customers,-0.3561
10,Hello Everyone. Any chance that this company does a stock split of any kind soon? Just curious.,0.8818
11,Paycom Software is down 4.90% to 404.83,-0.2752
12,What was the 9% drop in AH? Earning leaked or something?,-0.2274
13,I am buying more share of PAYC on this dip!!! Great company with excellent earnings!!! GO PAYC GO!!!,0.9302
14,I didn’t see that coming,0.0532
15,PAYC reached an all time high at 236.07,0.3228
16,"Is this stock going to go up every day forever? Don't even know why. It's not like anything new. Just another one of the dozens of payroll companies. When PAYX and ADP start going out of business due to Paycom, okay, I will understand. But their stock prices are going up too. Makes no sense.",0.629
17,Tech stocks bubble in Covid time,-0.2061
18,"""The human resource and payroll software provider reported strong top-line growth and took advantage of operating leverage to drive even faster growth on the bottom line. The prosperity allowed management to increase its guidance for the full year.""Someone explain why positive news on all fronts constitutes a 6% plus drop? This has happened to at least a dozen of my holdings in the past year. Am I missing something or is investing per fundamentals dead? This market makes absolutely no sense!",0.9464
19,Paycom Software reached an all time high at 427.39,0.2951
20,PAYC reached an all time high at 318.44,0.3228
21,what do u think matt,0.0898
22,Great quarter. Congrats longs,0.8215
23,2020 Guidance will have to get a higher price target $450-500https://www.google.com/amp/s/finance.yahoo.com/amphtml/news/paycom-payc-q4-earnings-revenues-114211101.html,0.1443
24,I smell a BUYOUT.BUY more on every DROP.$200+ in 2~3 weeks.,-0.13
25,keeps going the distance.,-0.0037
26,PAYC is down 5.21% to 227.00,-0.2462
27,-7% today? anybody know why? is it time to buy?,0.417
28,PAYC reached a new All Time High at 119.95,0.3954
29,what is happening?,0.0337
30,Load up below 100 while you can,0.4766
31,How low can you go... $PAYC...$ZS...,-0.1816
32,What's going on here? Why gradually sliding? On what news?,0.1993
33,PAYC is down -5.51% to 147.61,-0.2462
34,2020 revenue looks to be about 1B. 30% growth rate. Probably a double in 3 years minimum. Best of luck to all.,0.9035
35,Lock in your profits. Congrats to those who sold at $135,0.7598
36,"Last couple of weeks were a window into the future, time to buy!",0.0973
37,101.64 premarket at 4 am... any news? Or just some single erratic trade when someone was sleepy?,0.2665
38,down 150 sh don't worry kids. uncle Joe is ready to print more $. it's worked SO well,0.821
39,Its good to see management combat the share price decline. Good repurchase announcement.,0.8461
40,PAYC is down 4.92% to 308.50,-0.2462
41,Now go back down to 220,-0.1686
42,We need 218 today. Look out for the 3 white soldiers in the coming days,0.205
43,"I muted Escobar, anybody agree please like",0.8578
44,Breaking out big time. Shorties are in major pain. This time more than likely there isn't going to be a pullback.,-0.22
45,what the hell is going on with this stock,-0.5269
46,PAYC will bounce big tomorrow!!! They beat on their revenue and earnings in their recent quarter!!! GO PAYC GO!!!,0.377
47,"35% increase in 3months?73%increase in 1year?1000%increase in 5years?You guys are all crazy......nothing wrong with a little volatility.Any investing in the stock market requires buy and hold attitude. If its a good company, with a good history, a good management team and good product then short term perspective is always misleading......That applies to EVERYTHING",0.9149
48,"What is the big deal with this stock? Another payroll stock. Does the same thing as PAYX, ADP, PCTY, etc.",0.6244
49,Great buying opportunity here,0.8327
50,#paycbuy with both fists,0.0943
51,EPS beat by just 1 cent and revenue beat by 3mil ?,0.6065
52,My kid went to work there when it was at $30 and told me to buy then. Finally got in at $190!? and again at $250. Great operation. No where to go but up.,0.6432
53,"High of 260 in august, low of 190 in October, PAYC could be 330 before we know it",-0.0305
54,Blimey this seems like a rather unnecessary sell off... based on what exactly? Urgh.,0.3966
55,"I'm so tempted to buy more before it goes back to 110+, just don't want to sell SHOP to do it",0.6785
56,PAYC is down 5.96% to $121.87,-0.2462
57,"PA.YC seems to be over valued at this time, so I am expecting a pullback. Obviously I am short. I do think this is a fine company, but has a high PE and appears to be leveling off in earnings. I expect the overall market to have at least a 20% pullback within six months. The only stock I am going to remain long on is MU it has a PE under 4 and earnings at $12 a year, doing a 10 billion dollar buyback. Priced at $45. check it out and compare to NVDA which I just went short on at $282 friday was short on TSLA and covered friday for 25K profit. Good luck to everyone.",0.9789
58,PAYC is down 8.08% to 199.23,-0.2462
59,"Crazy valuation on this stock. When growth slows down, 'look out below'.",0.1406
60,unless you lose 20000,-0.4579
61,Does anyone think this is a buy in after hours at this price? It seems like an overreaction to what was a decent ER report?,0.8243
62,I could have sworn this was recently over $300.Time to call the Ghostbusters,0.065
63,By tomorrow it will be back to normal,0.1046
64,"Analyst Actions: RBC Capital Upgrades Paycom Software to Outperform From Sector Perform, Adjusts Price Target to $450 From $305October 21, 202007:32 AM ET",0.289
