,Recent headlines and conversations for PCG,Polarity
0,This stock one day soon will be known as the day of the Q. When the BK IS official this stock will have its 50% drop if not more. Longs and shaorts alike are amazed on how this is trading. Im staying short!!!!,0.8307
1,"Got out, will drop over weekend. I'll get back in next week for 6.50",-0.143
2,"I am just as short as anyone on here but I am losing faith. Delisting would be a huge help but I don't see that happening anytime soon. It appears there is a lot of red tape and at the discretion of the NYSE, unless certain criteria are not met, which PCG doesn't even seem close to falling behind on at this time. Correct me if I am wrong.""If a company files or announces an intent to file for reorganization relief under the bankruptcy laws (or an equivalent foreign law), the Exchange may exercise its discretion to continue the listing and trading of the securities of the company.""http://wallstreet.cch.com/LCMTools/PlatformViewer.asp?selectednode=chp_1_9_2_1&manual=%2Flcm%2Fsections%2Flcm-sections%2F",0.9513
3,PIMCO Criminal’s in concert with Citi’s Criminal Analyst Manipulated this PLAIN AS DAY,-0.5661
4,really like the way the chart is set up for Tuesday,0.6407
5,"By 2024, PCG will be a strong company that invested $8bn/year in its infrastructure AND it will reintroduce the dividend payments.",0.725
6,"Yo, BlueMountain dudes, this just may be a good time to write a third open letter to PG&E. I'm ready for the following headline: ""BlueMountain Capital Management, LLC Delivers Third Open Letter to Board of Directors of PG&E Corporation..""I think if you send 1 letter a week, possibly two, they may reconsider.",0.9531
7,something is cooking,0.0691
8,"Don't wanna say I told you so, but... I told you so.Even with 50% dilution we will be trading at $35.",0.2836
9,"Establishing a position 400 shares@ 10.54 to target 10.88 I will keep adding until 2,000 share position. https://news.stocktradersdaily.com/news_release/89/Pg%26e+PCG+Technical+Update_051821120954.html",0.5454
10,big buyer(s) saw the price bargain....,0.2425
11,Living in NorCal 15 minutes away from were the Butte Fire happened. PGE has been working non stop for the last several months upgrading equipment. I’m sure it’s not the only place they have been making upgrades.,-0.1062
12,I just can’t think of anything until I’m closing up 200 Contracts called from yesterday,0.2042
13,charts give the impression that this is heading up to 1 2 soon ..... volume good and no bad news,0.2729
14,"Wow, there was a massive sell off today. Interesting",0.8176
15,"TCC and Victims attorney are trying to finalizing the restrictions of rights agreements basically when the stocks can be sold and how it's being sold. They are trying to sell it so that it doesn't hurt the market value of the stock too much, basically by increments rather than dumping it all at once. Looks like everything is being geared towards BK exit. The frame works sounds like they'll start selling the stocks in 2021 and hopefully sell off by the end of 2021 so all victims gets paid by the end of 2021. But Victims attorney admits that it's one of the more aggressive plan and it could be pushed to 2022 as it's not in anyone's best interest to drive the stock value down and sell their shares for cheap, it's better to maximum victim's pay within reasonable time.",0.9915
16,"From Bloomberg:""The company said in May that it could book a loss of at least $600 million stemming from damages tied to the wildfire.PG&E shares fell as much as 0.8% in after-market trading.The Kincade fire likely won’t cause the same kind of financial trouble for PG&E as the string of catastrophic blazes in 2017 and 2018 that were blamed on its equipment and pushed it into bankruptcy more than a year ago. PG&E estimated liabilities from those fires at $30 billion. The company emerged from Chapter 11 at the start of this month after having settled claims from the earlier fires for $25.5 billion. The Kincade blaze wasn’t included in the bankruptcy settlement with victims.""",-0.8728
17,To the moon!!!!!,-0.3064
18,Ballots have been sent out. ,0.1621
19,There’s another hearing on Monday and come Tuesday is the last day. Ruling will come out at Tuesday afternoon hopefully. The judge wants to stick to the schedule and keep things moving.,0.9298
20,some parties bought 1-1.5 million shares today on the premise there will be a 10-15 percent return tomorrow... i like them odds...,0.8389
21,"S and P will replace this stock soon. just like GE, will automatically lose 50% market cap",-0.4691
22,"@Cuckoo I was here on down days, every day, why do you leave on the first green day??",-0.1455
23,"Everyone is talking about PCG 's debt. They don't talk about their Assets. Banks were lining up to give them loans why? They knew they had the assets to back it up. My take on this is when all this gets to settle down, they will sell some non-core assets and reduce their debts. They might even get rid of their gas company. They have several options. Today is the reversal day.",0.8251
24,WIN WIN WIN!!!~,0.8582
25,"Like a ton of bricks, Down to 5-6 dollar range Monday morning.",0.0571
26,This ship is sinking and there aren't any lifeboats for shareholders.,0.3491
27,"Bottom line - Pacific Gas & Electric Company of California is the nation’s largest utility with more than 5.5 million customers across California. PG&E is the primary utility for some of California’s most populous cities, including San Francisco, Sacramento, and San Diego.Once the lawsuit is settled and they hopefully start to update their ""Grid"" they should be able to get back to the $30 - $60 per share company they once were with a dividend. 10k invested could easily be worth 30k in a year or 2.",0.8955
