,Recent headlines and conversations for PEP,Polarity
0,I work for the company and the average raise for salaried employees was less than 2%. Most got 1% and a few 1.5%. This has been going on for several years and when you ask the managers why the raise levels are so low they always say the company has no money. The CEO gets 13% and she does not produce anything. That is a slap in the face to those who work hard to make the product so this company can prosper. What a load of #$%$!,0.8363
1,Am I the only one looking for down earnings next quarter? Want more shares!,0.5201
2,Ole' PEP appears to have put in a classic double bottom formation around 109.,-0.3784
3,Yes sir!!!!!!,0.5951
4,Bought for nice dividends,0.429
5,PEP IS BEING GOBBLED UP EVERYWHERE BABY IT'S APRIL AND THE WEATHER IS HOT.DRINK PEPSI THE CHOICE OF THE LIVING AND ACTIVE.,0.8028
6,Looking like we will test $135-$140 range next. Look out above,0.5014
7,"This stock is trash LOLLLL. It is at the same level as it was in 2016. In that same period I'm up 450%i in NVIDIA, representing $250,000. Meanwhile, you all chase a measly dividend that gets taken out of the share price anyway. LMAO. DO you see how stupid that is? If not, I don't care. I'm rich while you all get little checks while your equity goes nowhere in a company with #$%$ revenue growth HAHAHAHA meanwhile my NVIDIA grew revenues 65% YOY LOL I WIN I WIN I WIN YOU LOSE YOU LOSE YOU LOSE! HAHAHAHA",0.9839
8,Bought this stock beck when it was dropping in the 134’s and lower and now it finally pulled over the roof.,-0.0097
9,more revenue and similar earnings with good history growth than KO. it sells snacks and drinks while ko is making most of their money with drinks. it has around 50b lower valuation. this should be valued more,0.8049
10,sh1 second agoCAT is gonna get wrecked. Get out if u have profits.,0.5886
11,Is this drop in price due to the renaming of Aunt Jemima? Unbelievable.,-0.0033
12,"Pepsi has been very smart in their approach. They have played both the Clinton and Trump side. They have played the Jenner and the conservative religious side. They played Target and Walmart both heavy. The company has split their bet each time, waited and then pushed hard to appear that they have always selected the winner. While the company heavily supported the Clinton Global Initiative, this week the CEO was in the close quarters with Trump. You must respect a CEO that can play all fields, shift all direct reports to be her own liking and still win the match.",0.987
13,This morning you buy a safe dividend of $3.7 !!!,0.7397
14,Any guesses on how much the dividend will be raised at the next Board meeting ?,0.2327
15,"Why are the big boys waiting before jumping into the hemp-infused biz? $KO, $PEP, $MNST? Answer: They are waiting for all the legal ambiguity to be removed by the FDA. But will they jump in? How can they not jump into the fray? I'm sure they already have the blends & designs for their new lines already completed. So, when they do many small hemp-infused drink companies will die. Will $KGKG make it? WHY? What advantage do they have? I can think of a few, but it's worth considering now & not being shocked when announcements come that $KO is introducing a whole new line of products.",0.9378
16,SHORT this Mother Fkr.,-0.5844
17,Perfect chart for a classic breakout take down. Got im!,0.8555
18,"Anyone know which Pepsi (diet or regular) is having its formula changed ?I drink one almost everyday. If they change it, and ruin it, like Coke did years ago, it will save me a fortune.",0.5083
19,Pep has run away all their seniors but a #$%$ pay system and the rookies have no clue how to run the business. They?ll need time to learn. They continue to outsource their business to India. Leaving Americans out of work.,0.3196
20,"The original Aunt Jemima, Nancy Green was an icon and a well liked and respected woman. She became wealthy with her image. PEP should never have coward to the left and ended the loved brand. They need to bring her back, There is nothing to replace her in the pipeline. Maybe they could have an ad campaign to visit her sweet history.",0.9762
21,Does this stock ever go up. Started accumulating too early. I thought in tough days like today pep would be up.... down from $148 plus to $131.... I thought below $134 was stupid but maybe I am the idiot.,-0.4882
22,$4Billion for a premium priced sugar water beverage?,0.0506
23,Seems like a good price to start a small position and monitor from there.,0.8077
24,Need guidance.,0.0283
25,Waiting for Coronavirus to impact this and others.,-0.1108
26,I would not be surprised to see a 2 for 1 split next reporting cycle,0.4583
27,The Best Day Trading Stocks To Play For Maximum Volatility For details https://youtu.be/hc_HXpkmIh8,0.7394
28,pepsi is hurting from the reflation trade. higher input costs hurt Pepsi. don't worry when it gets to $100 you can buy,-0.2584
29,"obsity at its high level in history, soda drinks down31 year low",0.2313
30,this baby's going to go to 118 after earnings tomorrow,0.0375
31,Buy $DIS $PG $AMZN $MSFT $PEPBoth very good healthy growing companies that make moneyMoney will flow back from hype in quality,0.5948
32,What a beautiful opportunity to buy at these levels!,0.8241
33,"This stock has had such wild swings today. Up, down, up down geeze lol",0.5957
34,This is depressing. Got my calls fried,-0.3328
35,wow...so disapointing...lol...profiting billions but disapointing but lets invest in #$%$ like tesla or first solar that bleeds cash...u new investors are rediculous...,0.8302
36,BUY BUY BUY---price going Up---Up---------Up-------UP------BUY today new low price,0.5226
37,"Q3 once again showed that sales volume in the US is down across key segments of their business, and the primary driver of revenue and earnings growth is 1) Price increases that are not repeatable every year, and 2) Emerging markets picking up much of the slack. I'm just not sure how sustainable this strategy is, particularly as more and more consumers move away from soft drinks (i.e. PBNA) and mainstream salty snacks (FLNA), the two primary segments that PepsiCo operates in.",0.6836
38,I think this baby is going to head to 122/123. We shall see.,0.1717
39,"I wonder what happened to the thread Gary initiated; the one that referred to a phantom ""news"" piece.I mentioned HAIN, since there was/is an article below PEP quote that referenced HAIN. Or in other words, I didn't make up a story.",0.3518
40,"Sold all shares of my overvalued stock and purchased twice as much pepsico Boy am I glad, it has a very long way to go without some analyst trying to overvalue pep. Not to also mention the dividend is healthy. I like the fact that at some point everyone needs chips and sodas.so this is my final and last stock purchase and will hold no matter what.",0.9549
41,PepsiCo and Aurora would be a great partnership with the legalization of hemp and CBD in the US.,0.8659
42,PEP's a good buy here. It will be a great buy if they take healthy drinks seriously. I added some but for trading only.,0.7893
43,PEP bring back Aunt Jemima. Don’t be a coward and join the “cancel crowd”. Aunt Jemima was a wonderful brand and there’s nothing to replace her.,0.5904
44,"When in doubt, zoom out!",-0.4344
45,$TGT announced 50% increase for food and beverage for March YOY,0.6465
46,"We can always count on PepsiCo. Fantastic numbers in this economic environment.""The Company today announced a 5 percent increase in its annualized dividend to $4.30 per share from$4.09 per share, effective with the dividend expected to be paid in June 2021. This represents theCompany’s 49th consecutive annual dividend per share increase.""Woo-Hoo..!!!",0.9689
47,PEP should be 150+ solid company. dividend.,0.3803
48,"Pepsi lost 3.72%, is it because DJI gave back 500 points ? Or their is chance of increasing the capital expenditure ?",-0.2741
49,How come Pepsi is not reacting to the market when going up,0.2545
50,What a beautiful stock!,0.7246
51,ernings and growth in product line is what is needed not needed is asplit. we need new products and develop the products pupblic wants pep. can do this with their dsd delivery (direct store delivery) and get on the shelfs of all venders. This stock as done well long term w,0.925
52,"Bullish signal in RSI and Stochastic oscillator, according to foxchart. On watch for clear above 120.57.",0.8308
53,"At the market yesterday, ALL soda pop selections close to empty. Not Pepsi, shelves were FULL. Pepsi and BlackLies got married for $400M. Byebye Pepsi-NOLA.",0.2588
54,Nothing like a headline to rile up the usual suspects--oops! I mean the boycott terrorists. Boycotting whatever is current: The number one pastime of Americans (it recently overtook filing frivolous lawsuits).,-0.4261
55,"Just a reminder ,PepsiCo has $15 billion that they are going to use for strategic buybacks in next 3 years .",0.273
56,PEP is going to miss the boat on pot drinks. They have no plans right now to enter the pot drink market. I hope they change their mind soon.,0.1991
57,I’m here for the dividends lolllll,-0.0507
58,"i am out, weak stock",-0.1453
59,PEP is down 10.27% to 114.36,-0.2462
60,"added today thanks, will add more if goes under 130",0.5526
61,"goodbye pep, quite a ride up over 8 years but way overpriced. I will buy back at 120",0.2471
62,"Indra is gone, salty snacks and Marijuana getting more and more accessible likely adding to demand. I've been adding to PEP!Regardless of carbonated drinks salty snacks has been the reason to own PEP for many Years.I sold most PEP as I wasn't a fan of Indra's at all. Been buying back since they started adding folks to replace her. And especially now that she's gone.Serious dividend for not being a Utility or a REIT. And I'd think still growth.""scale in, scale out, online commissions are cheap""",0.9154
63,What a beautiful buy!,0.7044
64,Would love it if Pepsi would do a 3 for 1 split... Nice entry point here I think for a long term hold. Wish I waited until after earnings to start a position today.,0.9386
65,"I have KO stock, thought it would go up but it blows... why is PEP so much better when they have pretty much the same earnings?",0.9095
66,I’m betting a at least a 3% spike on market open MAR30.. sports drinks sports drinks sports drinks,0.0194
67,Coke taste vs. pepsi taste ? what is the demographics difference ? please intelligent comments only .,0.7016
68,"Bought a few million in $$isbg ..product starting to move , ramping up huge!! 10 bagger",0.7375
69,Maybe they should rename Pepsi to Vietnamese sugar water,0.1592
70,"https://www.washingtonpost.com/business/2020/08/19/mexico-kids-junk-food-ban/Well this isn't going to be good, didn't they just finish building a factory in 2019",0.5962
71,PepsiCo going to announce another great quarter next week. Should be another great year with nothing but upside.,0.8554
72,This is gonna go up and up,0.3916
73,PEP reached a 52 Week low at 110.87,-0.1464
74,"I love PEP, but stay out of politics. You already fired Aunt Jemima, a great brand. What next, voter ID ?",0.9135
75,Headed to 64. The bear is in charge now,-0.2277
76,"Anyone with a brain would realize that PEP would not ""advise"" its customers to not buy its products.Those who took the bait re the recent FAKE news: what is your take re ""luxury Cheetos"" items?",-0.14
77,Any positive news before earnings?,0.6745
78,"KO is the #1 contributor to plastic waste, PEP is #2. They need to change this part of their business model.I like KO for the Frito lay side, but Pepsi and Frito Lay have a short time left as people change their eating habits. Although you can't tell that by the fat people eat and drinking their product and now that they have infested the Asian market, it's probably safe... sad really.",-0.7732
79,more than 3% yield again and a savings account will pay you .8%,-0.02
80,can anyone see PEP dropping down to heavy support around 92's?,-0.2207
81,is this a pepsi board ? or just more political garbage ? i say take that #$%$ where it belongs on a political board there is plenty im sure to discuss that trash not a peosi board BYE BYE,0.2683
82,I see a buyout from Krafft coming soon. I am ready to bet on this!!,0.6563
83,"I still have several concerns that I wish PepsiCo executives would address regarding North America and the future of their company and stock:- How do they plan to address declining sales volume in key segments (e.g. PBNA), particularly outside of their relatively new products in Bubly and Lifewtr, where sales are weak?- Are the Bubly and Lifewtr products at risk? For instance, Lifewtr doesn’t seem to be as successful as peer products in the segment, and I wonder if it is at risk of de-listing. Same concern with Bubly. It seems like they are starting off like Mountain Dew Kickstart (good growth in the first couple years), which launched several years ago to similar performance, but stalled, fell off, and failed.- How do they plan to grow outside of acquisitions such as Muscle Milk and smaller players?- What is their plan to grow revenue/profit after they cycle over recent price increases? Surely, they cannot take price up by large levels every year and soon the gains from price increases will wear off.- How wise are their social justice campaigning? Are they alienating their core customers in the Midwest and South by taking up these positions?",0.9788
84,This company supports Marxists....let's see how far that gets them.,0.4815
85,is coming great news with him $PEP ?,0.7104
86,Remember guys dividend ex coming next week yay!,0.7379
87,PepsiCo earnings and revenue beat Street estimates https://www.cnbc.com/2019/07/09/pepsico-q2-2019-earnings.html?__source=iosappshare%7Ccom.apple.UIKit.activity.CopyToPasteboard,0.3818
88,Hello Not ONE of you chose the color of your skin. Not ONE of you chose the content of your character. Not ONE of you can add One day to your life on earth. Do something that adds LOVE to someone's life on earth! Be Something. Be about SOMETHING Good.,0.9761
