,Recent headlines and conversations for PEP,Polarity
0,"Nordea Investment Management Ab Buys PepsiCo Inc, Waste Management Inc, Republic Services Inc, ...",0.0958
1,"WealthBridge Capital Management, LLC Buys PepsiCo Inc, Industrial Select Sector SPDR, SPDR ...",0.3831
2,"ADP, PepsiCo, Sysco: Consider buying these 3 stocks in retirementRyan Downie",0.2938
3,"PepsiCo Launches Soulboost, A Sparkling Water Beverage with Functional Ingredients, Adding to a Growing List of Consumer-Centric Innovations",0.7669
4,Why PepsiCo is a Top 25 SAFE Dividend Stock (PEP),0.7827
5,"Is PepsiCo, Inc. (NASDAQ:PEP) A High Quality Stock To Own?",0.5462
6,PepsiCo (PEP) Stock Moves -0.05%: What You Should Know,0.373
7,"A day after mea culpa, Merkel gives Germans virus pep talk",0.3317
8,"PepsiCo Appoints C.D. Glin as Vice President, Global Head of Philanthropy",-0.2799
9,Bridgestone pulls out of bidding war for Pep Boys,-0.1147
10,Australia's PEP kickstarts Link Group sale-sources,0.338
11,PepsiCo Announces Timing and Availability of Second Quarter 2021 Financial Results,0.0733
12,Australia's Spotless still talking with PEP,0.3324
13,PepsiCo revenue rises 6.8% despite unbalanced economic recovery outside of the U.S.,-0.0328
14,PepsiCo Declares Quarterly Dividend,0.0997
15,"UPDATE 1-A day after mea culpa, Merkel gives Germans virus pep talk",0.1589
16,Top PEP investor unhappy with bid price-paper,-0.197
17,"PepsiCo Defends Richard Montanez & Clarifies Flamin' Hot Cheetos Controversy, Eva Longoria Shares The News",0.1705
18,Australia's PEP kickstarts Link Group sale: sources,0.4433
19,Polish green utility PEP up for sale-sources,0.1638
20,"First Trust Bank, Ltd. Buys Unilever PLC, Brookfield Asset Management Inc, PepsiCo Inc, Sells ...",0.7587
21,Poland's Kulczyk to go ahead with PEP buy,0.0068
22,"Thinking about trading options or stock in Pfizer, PepsiCo, Everbridge, Best Buy, or General Electric?",0.7843
23,"PepsiCo Inc. stock falls Friday, underperforms market",0.02
24,PepsiCo Announces Webcast of Annual Shareholders' Meeting,0.6946
25,"PepsiCo launches sparkling water beverage, Soulboost",0.3515
26,PepsiCo introducing functional water brand | 2021-05-05,0.0408
