,Recent headlines and conversations for PGR,Polarity
0,is this worth anything,0.3267
1,How old is Flo right now? I like'er.,0.0171
2,PGR reached a 52 Week low at 64.53,-0.1464
3,PGR reached an all time high at 79.37,0.3228
4,https://www.twst.com/news/insurance-stock-analyst-amit-kumar-gives-detail-picks-pans/,0.0
5,This has been a dog for quite some time now.,0.2333
6,PGR is down 5.45% to 68.22,-0.2462
7,Progressive is down 5.80% to 75.85,-0.2462
8,"Rising with good volume. indicators are turning up, according to stoxline. A break of 76.79 could move it up to 89.69.",0.8488
9,"Thank you Progressive for doing the right thing. It is never right for a news host to make fun of a 17 year old, it is small and petty.I will call on Monday and see about switching my Liberty Mutual Policies.",0.9375
10,Since most people are still telecommuting then explain why auto insurance rates have not plunged? Do insurance companies need help from our useless Congress?,-0.1482
11,Is this a buy?,0.1554
12,"Sexy Flo, can you lift your skirt and show us your exposure, so to speak, of motorcycles in greater Houston ? Bundle even more baby!",0.8424
13,PGR reached an all time high at 81.82,0.3228
14,PGR is up 4.93% to 81.05,0.1818
15,Awesome growth vs October last year. nice boost in property policies. https://finance.yahoo.com/news/progressive-reports-october-2017-results-132802699.htmlProgressive Reports October 2017 Results,0.9074
16,Progressive is down 4.98% to 93.03,-0.2462
17,Do they really have that much cash that the dividend is 5% and payout ratio is 4.5%?,0.5608
18,see this nobody on the message boards here thats institutional ownership. i love stocks that go up a little everyday without any noise. slow and steady. love this stock.,0.9491
19,"1 billion hansout is exceptional idea from CEO.No we should cut costs for 1 billion including CEO Salary, so that CEO would know whose money she is handing out..",0.6391
20,"Bought a bunch under 86 Below 200 ma, rsi on the floor. Numbers are just fine, just a small miss in revenue a few weeks ago (still increasing).I'll sell at 92-93 in two weeks.",0.113
21,It would be fair that if wages are falling due to coronavirus that also progressive insurance wages would fall! Esepcially CEO. 1 billion handout...,0.3692
22,https://www.barrons.com/articles/dont-fear-insurance-stocks-despite-covid-19-says-wall-street-51585843413,0.0
23,"PGR beats (up 39% from last year) and goes down. RLI missis, and goes up. Why???",0.1824
24,Progressive reached an all time high at 87.40,0.3228
25,Can someone please explain how this special divy effects the stock price?All things being equal does the stock price fall $4.60 on the x-divy date?,0.8586
26,"Never buy insurance from companies that throw $$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$ down the drain on STUPID, IDIOTIC COMMERCIALS THAT MAKE NO SENSE, geared for people with only half a brain and pgr takes the trophy for STUPIDITY, along with two or three more....oh yea....",-0.9279
27,wildfires will have an impact,-0.2325
28,"Hang in there, people. Investors will soon how undervalued this is and dump money into it",-0.1869
29,"Daily volume slightly below normal day after day. With earnings due next week, we should see some volume and direction. Strange.",0.2748
30,"""Forbes"" on FAC's conversations page is suggesting Progressive (or others) may be looking to buy out FAC at $25/share! Hilarious! You've gotta check it out.",0.7978
31,"Analyst's have it as undervalued, a buy and they had a pretty darned good quarter. Just bought another thousand shares at a bargain!",0.895
32,Progressive is going to have a serious problem with all the people dumping it. Love it!,0.1122
33,"Media ad companies enjoy taking millions of dollars per year, perhaps hundreds of millions on lame Flo and box ad campaigns. I laugh so hard it hurts@",0.7748
