,Recent headlines and conversations for PG,Polarity
0,P & G is Rockin' again!,0.3352
1,sell or hold?,0.0576
2,Patience will reward the experienced investor. Average costing this one.,0.7303
3,"I think most investors don't realize the millions of people switching to cheaper generic brands worldwide that compete with P&G. Couple that with what will be a market implosion for the US equities markets, it doesn't look good for the next 18 months or a lot longer. My target is $60 in the next 12 months.",0.1564
4,"Getting to former top, and 93+ could be the starting point",0.1244
5,"at 150,,,a SPLIT-Oh Baby",0.2441
6,Is it too late to get into $PG ? https://simplywall.st/NYSE:PG/procter-gamble,-0.2015
7,"To all that say ""look at the p/e 25"", I said the same thing about CHD when it was trading at 46 before split. Since then, I got double the amount of shares and now it's trading in the 60s and has a lower price to earning at 20. That's why I don't pay attention to p/e anymore",0.6526
8,$80 seems within reach today.,0.1207
9,ANOTHER 52 WEEK HIGH! Next stop 130 after earnings.,0.5657
10,Time for a breakout to a new high!,0.8001
11,Can’t even be mad at them paying off debt... I’ll hold and add if it falls further,-0.3008
12,"With 2/3rds of this quarter completed it would be helpful for the company to announce any additional good news they have to encourage analysts, to raise their yearly target from 127 and change, with a yearly target increase of around $5 that isn't much incentive for folks to buy the stock.",0.9164
13,"Sold my today , hold since it was 79. Hoping for a dip to buy back later",0.7655
14,$8 from breaking $100 for the first time since little ice age.,-0.246
15,Another new high with high volume... Nice.,0.7534
16,"He would have been one of many board members. Are they afraid of outside ideas? He would have replaced a former President of Mexico. Now there is a guy who is a real success story! Or look at Lundgren, another board member, he did such a great job at Macy's, right?",0.9576
17,"I only wish P&G had shown the same urgency to get their business back online as they have trying to keep this guy off the board, they have been stumbling around like a drunk for the past decade.",0.7402
18,GILLETTE IS NOW TOXIC !!,-0.737
19,"The dog of the Dow, I finally bit the bullet, took a loss and sold.",-0.3161
20,Pg will never reach 85 again,-0.0043
21,True confession ::: Why I voted for President Trump. I lost my job in 2010 when Obama let all the H1-2 visa people from India and Pakistan into the USA who took all the IT jobs in Wauwatosa Wisconsin for lower pay and I had to train the new person in my job before I got my severance package. Obama was a total disaster as President. Could be why Trump won Wisconsin a normal Blue state like Michigan. I will vote for Trump again in 2020 he is making America great again just like he promised. Finally a president keeping his word unlike Obama who lied so many times I lost count.,0.9316
22,CLWT is blasting off!!,0.1704
23,"This company has managed to survive two world wars and countless other difficulties, to think it won't come back from the coronavirus is just plain wrong. This is a great opportunity to get a true blue chip company at a discount. IMO",0.7286
24,"Thanks Marvin, your stop loss idea at $119 was a good one!",0.5085
25,ATTACKING MASCULINITY IS A DECLARATION OF WAR against the TRADITIONAL FAMILY by the NEUTERED SOCIALIST CROWD,-0.9256
26,Lots of buying at close,0.1927
27,That pop last week was due to portfolio managers buying and few sellers. Might not see that again until for a few months - stay long.,0.7726
28,Dividend announcement this week?,0.2818
29,"""Wall Street analysts consensus rates P&G with a stock price of $125 for the low to a street high of $153with a median of $142"" best of times for longs.",0.7185
30,Buy $DIS $PG $AMZN $MSFT $PEPBoth very good healthy growing companies that make moneyMoney will flow back from hype in quality,0.5948
31,Lock Her Up!,0.2331
32,Stock buybacks will bring PG back to 137+ were it is supposed to be.,0.1557
33,"Hard to believe last sept. this stock was 94 and change now 74 and change, back to where is was in 2015, What an absolute stellar job by Taylor and his bunch, no doubt they will all get multi million dollar bonuses for doing such an outstanding job. When shareholders have had enough of this they will vote in mass to remove these guys from the board.",0.9231
34,"Why are you dropping, PG?!",0.1906
35,"Due to high gasoline prices, will have to go generic.",0.1168
36,"Please explain why PG is work $122 per share: negative tangible book value, flat sales, PE 30? This is an $80 stock, at best.",0.902
37,Dollar Shave ClubWelcome to the Club.12:57 PM - 14 Jan 2019,0.3664
38,Shutting down a Plant with a very brief history of operation. Wow!!! brilliant.,0.7428
39,"Diversity on the board. I believe the best person, man/ woman should be the best knowledgeable person should be on the board. Don’t care if their purple, have horns growing on their heads, this is bs!!!",0.959
40,"A new 52 week high today, congrats to longs.",0.7298
41,Add 1% and we are back to all-time high climbing... rise!,0.759
42,When are people going to stop overreacting to interest rates,0.2523
43,Nelson Peltz sold 7.5 million shares of PG. Probably explains the weakness last few trading days. He filed the report tonight.,0.2387
