,Recent headlines and conversations for PG,Polarity
0,California regulator flags concerns over PG&E's wildfire safety measures,0.0994
1,P&G (PG) Down 0.2% Since Last Earnings Report: Can It Rebound?,0.2822
2,PG&E appoints Patricia Poppe as CEO,0.2474
3,U.S. district judge asks PG&E to explain role in Zogg Fire,-0.4668
4,Procter & Gamble (PG) Gains As Market Dips: What You Should Know,0.543
5,California toughens PG&E oversight over wildfire safety work,0.3
6,IN BRIEF: 9th Circuit vacates FERC orders in PG&E power contracts,0.5952
7,"It may be time to buy Exxon Mobil Corporation (NYSE: XOM), Procter & Gamble Company (NYSE: PG) and IAMGOLD Corporation (NYSE: IAG) as al",0.6988
8,UPDATE 1-PG&E appoints Patricia Poppe as CEO,0.0646
9,PG&E appoints Patricia Poppe as chief executive officer,-0.3096
