,Recent headlines and conversations for PLTR,Polarity
0,"LCM Capital Management Inc Buys MicroStrategy Inc, Palantir Technologies Inc, Nokia Oyj, Sells ...",0.1227
1,NYSE sets reference price of $7.25 for Palantir's direct listing,0.3656
2,Palantir value pegged at $15.8 billion ahead of long-awaited NYSE debut,0.1624
3,My Take: 3 Bullish Signs for Palantir Investors,0.2492
4,UPDATE 1-Palantir stock sees worst day since going public,-0.5912
5,"Earnings Roundup: Palantir, Virgin Galactic, and TransDigm",0.1068
6,Here's Why Palantir Stock Surged Today,0.299
7,"Founders Fund II Management, LLC Buys Palantir Technologies Inc",0.2085
8,Palantir Technologies Inc. (PLTR) Q1 2021 Earnings Call Transcript,0.6192
9,"George Soros' Firm Finally Exits Palantir, Buys ViacomCBS",0.6054
10,Palantir Must Continue to Perform to Justify Its Valuation,-0.0318
11,"Regents Of The University Of California Buys DoorDash Inc, Alibaba Group Holding, Palantir ...",0.532
12,Palantir stock sees worst day since going public,-0.4768
13,"Primavera Capital Management Ltd Buys XPeng Inc, Palantir Technologies Inc",0.0872
14,"Mission Creek Capital Partners, Inc Buys Snowflake Inc, Palantir Technologies Inc, DoorDash ...",-0.0259
15,Palantir Technologies Inc. (PLTR) Dips More Than Broader Markets: What You Should Know,0.0795
16,UPDATE 1-Palantir value pegged at $15.8 bln ahead of long-awaited NYSE debut,-0.0133
17,"Allen Holding Inc Buys Palantir Technologies Inc, CarGurus Inc",0.4586
18,"Van Cleef Asset Management,Inc Buys Palantir Technologies Inc, Vanguard Short-Term Bond ETF, ...",0.1973
19,"Largest U.S. Pension Slashed Positions in Alibaba, Palantir, and GameStop. Here’s What It Bought.",-0.4116
20,Is Palantir's Stock Too Risky?,0.0281
21,Palantir Stock: Commercial Revenue Growth Key As Government Business Thrives,0.3937
22,Don’t Chase the Next Palantir Stock Bounce Back,0.3238
23,Palantir Needs More Than a Compelling Story to Succeed,0.7125
24,"McCarthy Asset Management, Inc. Buys Berkshire Hathaway Inc, Vanguard Small Cap ETF, Palantir ...",0.0714
25,"Cathie Wood Piles Up Palantir For Third Day In A Row, Adding $39M Worth Of Shares",0.5114
26,"Cathie Wood-led Ark Investment Management on Wednesday snapped up 2.07 million shares, worth about $39 million, in Palantir Technologies Inc (NYSE: PLTR), on a day the stock reversed the earnings-driven gains of the previous session.",0.8923
27,How Will Palantir's (PLTR) Top Line Shape Up in Q1 Earnings?,0.5094
28,Palantir Stock Slides Amid Growth Concerns,0.1874
29,Is Palantir Technologies (PLTR) Stock Outpacing Its Business Services Peers This Year?,0.2414
30,"1776 Wealth Llc Buys Palantir Technologies Inc, Tesla Inc, Zoom Video Communications Inc, Sells ...",0.4539
31,What's in the Offing for Palantir (PLTR) in Q1 Earnings?,-0.0022
32,Why the Earnings Surprise Streak Could Continue for Palantir Technologies Inc. (PLTR),0.3811
33,Palantir jumps 6% after securing 5-year contract with National Nuclear Security Administration,0.4865
34,Palantir Technologies Inc. (PLTR) Stock Sinks As Market Gains: What You Should Know,0.6328
35,Palantir Shares Rally After Announcing Contract With Nuclear Safety Agency,0.2659
36,Should You Buy or Sell Palantir After Its Latest Deal?,0.3972
37,PLTR Stock: The Big Government Deal Goosing Palantir Shares Today,0.5712
38,Palantir Climbs on $89.9 Million Government Contract,-0.2947
39,"Outlook for PLTR Stock Neutral, After Recent Lawsuit Drama",-0.269
40,Palantir Technologies Inc. (PLTR) Flat As Market Gains: What You Should Know,0.4849
41,"Alibaba, Amazon, Palantir, Google, Takeda, Unity — What Cathie Wood's Ark Bought And Sold On Thursday",0.2575
42,"Palantir Stock May Not Be a Great Short-Term Play, but Its Future Is Bright",0.8538
43,Wood's flagship fund bought the dip in Palantir on Wednesday as the data company saw its lowest closing price in almost four months.,-0.1173
44,Cathie Wood's Ark Innovation ETF added 1.2 million shares of Palantir as the stock slipped to its lowest price in nearly 4 months,0.4303
45,Here's Why Palantir Is a Must-Have Stock for Long Term Investors,0.5874
46,Looking Into Palantir Technologies's Return On Capital Employed,-0.1308
47,Palantir Stock Has a Bright Future Despite Valuation Concerns,0.589
48,Follow the Money Trail in Palantir Stock,0.3344
49,PLTR Stock Alert: Palantir CEO’s Brash Comments Push Shares Lower,0.4197
50,Implied Volatility Surging for Palantir Technologies (PLTR) Stock Options,-0.0545
51,Analyzing Palantir Technologies's Unusual Options Activity,0.2799
52,Palantir Is Worth More Thanks to Forecast Free Cash Flow,0.79
