,Recent headlines and conversations for PLTR,Polarity
0,UPDATE 1-Palantir value pegged at $15.8 bln ahead of long-awaited NYSE debut,-0.0133
1,PLTR Stock Alert: Palantir CEO’s Brash Comments Push Shares Lower,0.4197
2,Palantir Stock Has a Bright Future Despite Valuation Concerns,0.589
3,Palantir stock sees worst day since going public,-0.4768
4,Palantir value pegged at $15.8 billion ahead of long-awaited NYSE debut,0.1624
5,UPDATE 1-Palantir stock sees worst day since going public,-0.5912
6,Implied Volatility Surging for Palantir Technologies (PLTR) Stock Options,-0.0545
7,Analyzing Palantir Technologies's Unusual Options Activity,0.2799
8,NYSE sets reference price of $7.25 for Palantir's direct listing,0.3656
9,Palantir Is Worth More Thanks to Forecast Free Cash Flow,0.79
10,Here's Why Palantir Is a Must-Have Stock for Long Term Investors,0.5874
