,Recent headlines and conversations for PYPL,Polarity
0,PayPal (PYPL) Expands Interest-Free Pay in 4 Service to Australia,0.1269
1,"Thinking about trading options or stock in General Electric, T. Rowe Price, American Airlines, Intel Corp, or Paypal?",0.7232
2,Xoom zips 22% higher after PayPal agrees to buy money transfer firmAssociated Press,0.8149
3,"PayPal Buys Curv to Expand Support for Cryptocurrencies, Digital Assets",0.745
4,Tech Five: Shares of newly independent PayPal climb during market debutTrisha Thadani,0.6854
5,PayPal CEO Dan Schulman outlines vision for super app future,0.9109
6,"Disney, AutoZone and PayPal are among 21 stocks you should consider buying in 2021, stock experts sayAdam Shell",0.5919
7,PayPal to Acquire Curv USA - English USA,0.7723
8,PayPal Joins Uber in Coalition to Address Barriers to COVID-19 Vaccine Equity,0.637
9,PayPal (PYPL) Boosts Cryptocurrency Initiatives With Curv Buyout,0.5671
10,Paypal (PYPL) Stock Sinks As Market Gains: What You Should Know,0.6893
11,"Venmo vs. PayPal: Versatility, Costs, & Features",0.3448
12,Paypal (PYPL) Gains As Market Dips: What You Should Know,0.6041
13,Why PayPal Stock Is Moving Higher Today,0.7265
14,"Top Research Reports for PayPal, Wells Fargo & Lockheed Martin",0.6605
15,1 Reason PayPal Holdings Can Keep Winning,0.6723
16,PayPal to Acquire Curv,0.3673
17,PayPal to trade on Nasdaq as 'PYPL' Kaja Whitehouse,0.2464
18,"PayPal, Square eye boost as crisis spurs online shopping shift",0.7457
19,PayPal valuation eclipses Mastercard's amid boom in online shopping,0.6415
20,PayPal is buying payments start-up iZettle for $2.2 billion ahead of IPOSara Salinas and Chloe Aiello,0.2863
21,"Forget PayPal, Now’s the Time to Buy Mastercard Stock",0.2568
22,"Watch out, PayPal. Square just launched its own bank",0.6218
23,"After 22 Years In Business, PayPal Is Still Just Getting Started",0.2168
24,PayPal to acquire Curv as it bolsters crypto ambitions,0.5724
25,"Apps like Venmo, Cash and PayPal are free, but here's who they are telling your businessJefferson Graham",0.5841
26,"The new PayPal beat Facebook, Google on thisAlex Dumortier",0.433
27,Fitch Affirms PayPal's IDR at 'BBB+'; Outlook Stable,0.0169
28,Paypal's Entry to Crypto Followed Long Buildup in Expertise,0.4776
29,"Thinking about trading options or stock in Nvidia, General Electric, Nio, EXACT Sciences, or Paypal?",0.6137
30,PayPal and Just Capital are rolling out a worker wellness effort,-0.0346
31,"PayPal Partners with CodeHouse, INROADS and National Association of Black Accountants to Mentor and Recruit Black and Diverse Talent",0.6466
32,PayPal Acquiring Cryptocurrency Security Company Curv,0.5057
33,PayPal (PYPL) Goes After 'Crypto-Curious' Customers,0.1095
34,"IBD 50 Stocks To Watch: PayPal Stock Finds Key Support, Offers Alternate Entry",0.7102
35,PayPal: Next-Generation Digital Payment With Blockchain,0.3909
