,Recent headlines and conversations for SBUX,Polarity
0,There is not a single positive reaction from this group of people in chat LOL the first time it has been a 100% agreement between all parties. Good for the homeless and people getting free wifi.,0.9673
1,Golden Cross. going much higher,0.4687
2,"After reading the ""Open Letter"", my mouth was open and my chin was bouncing off my computer desk.",-0.2194
3,"Sbux drive thrus are not going to carry this stock. Drive thrus have the same volume as before, but no one is going inside. That is where the money is made.",0.2903
4,That's it as much as I love SBUX as a company I will never invest in their joke off a stock. I will invest in companies that have big growth prospects,0.9133
5,SBUX reached a 52 Week low at 57.52,-0.1464
6,many coffee machines sold for home use during the pandemichabits have changed,0.3872
7,Is it true? LK’s investigation was over and it’s good? It was on the Wall Street journal? I saw it. But... not sure. Can anyone confirm?,0.8229
8,as long as there are appletards there is no problem.,0.0292
9,What a beautiful stock...stick with Cramer guys!,0.6916
10,There are 1000’s of stocks to choose from and this 1 free service helps you narrow it down and select the best one. Just go to (http://Experttrade.uno),0.92
11,It will be $50 before $75 again. The bottom needs to be established.,-0.1258
12,"SBUX is closing all stores for brainwashing training ....if the customer is sitting and not spending any money in the store, how is that a good thing for SBUX ?",-0.3506
13,"If this stock is down after this news, the trend is negative",-0.3031
14,Could slowly continue to rally into earnings. Then we'll see what happens after they report.,-0.1472
15,"Christmas in July and Santa gave me a new Tesla.(The car, not the stock)",0.3697
16,They're buying back 40 million shares. Not $40 million worth.,0.7379
17,BOYCOTT this company,-0.4085
18,70% of US economy is consumer spending. Huge unemployment will destroy spending,-0.8153
19,I believe Starbucks is fine company but it's stock is still expensive; it is very simple the company has the price of a growth company with no growth. No need to say anything else,0.767
20,Selective information they give...to use your rewards for a Starbucks drink it just went from 120 stars to 150 stars!!!,0.7498
21,Way overpriced ,-0.0105
22,"The big problem......the coffee's no good. When everyone else realizes that, this company is toast! With all that debt, it's gonna be a horror show. Run! Run for the hills!!",-0.7689
23,95/ share by end of this month!,0.3858
24,"SBUX, Howard Schultz = GE, Jack Welch Greatness.SBUX,Kevin Johnson = GE,Jeff Immelt. Disaster.",-0.3554
