,Recent headlines and conversations for T,Polarity
0,Why AT&T Stock Fell Today,0.299
1,"The Zacks Analyst Blog Highlights: AT&T, Discovery, Netflix, Verizon and Apollo Global Management",0.5836
2,Is AT&T Stock a Buy?,0.3115
3,Eriksson Ek’s OT goal lifts Wild past Vegas 1-0,0.6354
4,2021 AT&T Byron Nelson Fantasy Golf Power RankingsEsten McLaren,0.6621
5,Jarred Kelenic shines with three hits - including a homer - in second game with Seattle Mariners,0.1432
6,"AT&T beats revenue, wireless subscribers estimates",0.0725
7,"AT&T Inc (NYSE: T) has been a hot stock for discussion given the company's decision to spin off its streaming business to focus on its communication assets. The decision to get ""back-to-basics"" led to an analyst upgrade Friday.",0.8909
8,3 Solid Stocks That Can Be Smart Picks Even in Choppy Markets,0.5157
9,Why Did AT&T Stock Get An Upgrade?,0.3683
10,AT&T & Discovery Merge Media Assets to Create Streaming Giant,0.8067
11,T-Mobile partners with Google to offer YouTube TV,0.4334
12,AT&T to spin off and combine WarnerMedia with Discovery in deal that would create streaming giant,0.8045
13,10 Biggest Price Target Changes For Friday,0.1903
14,"2021 AT&T Byron Nelson odds, predictions and PGA Tour picksEsten McLaren",-0.0686
15,AT&T (T) Mulls Media Assets Spin-Off With Discovery Deal,0.7462
16,Verizon Is More Than a Great Dividend Stock,0.766
17,Empire State Manufacturing Index for May Came in Lower-than-Expected,-0.247
18,"AT&T hits on smart strategy: be kind, unwind",0.6125
19,"Redwood Capital Management, Llc Buys Spirit AeroSystems Holdings Inc, Laureate Education Inc, ...",0.4934
20,AT&T CFO John Stephens to retire in March,0.052
21,Discovery-WarnerMedia Merger to Rev Up Streaming Competition,0.1805
22,"Jose Zepeda vs. Henry Lundy fight odds, picks and predictionJoe Williams",-0.4773
23,"Benzinga's Top Ratings Upgrades, Downgrades For May 21, 2021",0.009
24,Should You Sell AT&T After Its Big Dividend Cut?,0.1447
25,Why AT&T's Entertainment Bet Is Paying Off for Investors,0.4988
26,"AP source: T-wolves sale to Lore, A-Rod up for NBA approval",0.7247
27,"Opinion: Don't use Dallas Cowboys' name, AT&T Stadium to mainstream anti-trans hate",-0.5078
28,"Warner May Have Been Out of Place at AT&T, But It Was Still Profitable",0.6906
29,Have We Reached Streaming Video's Peak?,-0.0294
30,"AT&T Retreats, Providing an Opportunity for Investors",0.429
31,REFILE-AT&T quarterly postpaid phone additions jump,0.2216
32,Why you should care about Discovery and WarnerMedia merging,0.817
33,Merger Monday Joins WarnerMedia with Discovery,0.5084
34,AT&T shareholders vote against approving executive compensation,0.0333
35,"Top Stock Reports for AT&T, SAP & Advanced Micro Devices",0.5549
36,"A leaner AT&T is a Buy, UBS says",0.1332
37,AT&T appoints former FCC head as board chairman,-0.0301
38,"T-shirts, skirts and cutouts dominate Oscars carpet",-0.1039
39,Amazon in Talks to Buy MGM,0.2614
40,FCS title game resumes after 75-minute lightning delay,-0.2481
41,Repeating Discovery's History,-0.0319
42,Better Buy: Verizon Communications vs. AT&T,0.4911
43,"Tampa Bay Lightning at Florida Panthers Game 2 odds, picks and predictionJoe Williams",0.4717
44,"Virtual reality for military veterans: T-Mobile teams with Honor Flight Network, VR to bring memorials to war vetsMike Snider",-0.2825
45,Why the Stock Market Is Focused on the Newest Megamerger,0.5301
46,"Knee still hurting, Koepka can walk but not run at PGA",0.1706
47,AT&T Will Spin Off HBO to Merge With Discovery,0.4457
48,"Harry Potter, Jurassic World and Disney Mobile Game Company Jam City Lands SPAC Deal",0.4515
49,"Zeno Research, LLC Buys TELUS Corp, AT&T Inc, Altice USA Inc, Sells T-Mobile US Inc, Uniti ...",0.6739
50,"AT&T takes pandemic hit, but surpasses revenue expectations",0.396
51,"WNY Asset Management, LLC Buys Vanguard Mega Cap Value ETF, BTC iShares Floating Rate Bond ETF, ...",0.1704
52,Why Wall Street Has Second Thoughts on the AT&T-Discovery Deal,0.2611
53,The WarnerMedia-Discovery Merger Is Bad for Income Investors,-0.5716
54,"ViacomCBS streaming head: We're 'extremely well-positioned' vs. WarnerMedia, Discovery",0.3052
55,Are Telecom-Media Conglomerates a Thing of the Past?,0.064
56,Are the FAANG Stocks Still Good Buys Today?,0.5122
57,"Edwards, T-wolves beat playoffs-bound Mavs 136-121",0.2047
58,4 Reasons Amazon Would Be Smart to Acquire MGM Studios,0.6689
59,Why Discovery Is a Better Buy Than AT&T After the Blockbuster Merger,0.8913
60,"Wagner Wealth Management, LLC Buys Berkshire Hathaway Inc, Eaton Vance Tax Advgd Gbl Div Inc ...",0.6518
61,Amazon reportedly in talks to buy MGM as streaming wars intensify,-0.4008
62,"Telecom Stock Roundup: AT&T to Divest Media Assets, CommScope-Altice Deal & More",0.5852
63,AT&T signs deal to combine media business with Discovery,0.7007
64,This 1 Comment From Discovery's CEO Should Terrify Cable Companies,-0.1516
65,"The Zacks Analyst Blog Highlights: AT&T, SAP SE, Advanced Micro Devices, Snap and Capital One Financial",0.0227
66,"Towns, Russell each score 27 points, T-Wolves throttle Magic",0.0982
67,"Jam City, a leading mobile game company that has owned intellectual property and some of the top licensed games, is going public in a SPAC deal announced Thursday morning.",0.8717
68,"tru Independence LLC Buys iShares Core S&P 500 ETF, iShares Core U.S. ...",-0.1452
69,"Marble Harbor Investment Counsel, LLC Buys Stericycle Inc, Eaton Vance High Income 2021 Target ...",0.5932
70,Oppenheimer Asset Management Inc. Buys Amazon. ...,0.6481
71,"Elwin Soto vs. Katsunari Takayama fight odds, picks and predictionJoe Williams",-0.4773
72,There's Only One Telco I Own Now,0.4011
73,Rookie Edwards makes himself room in top trio for T-wolves,0.4734
74,Markets Break 2-Day Win Streak; Investors Second-Guess T-DISCA Deal,0.4891
75,"5G spending in spotlight for AT&T, Verizon quarterly results",-0.3703
76,2021 AT&T Byron Nelson matchups and PGA Tour prop bet picksEsten McLaren,-0.5528
77,ETFs in Focus on AT&T-Discovery Mega Merger Deal,0.1537
78,AT&T Is Trying to Catch Up with Netflix and Disney,0.2509
79,Here's how much HBO Max with Ads will cost,-0.3607
80,"Telsey Advisory Group raised Burlington Stores, Inc. (NYSE: BURL) price target from $320 to $370. Burlington shares fell 1.1% to close at $321.44 on Thursday.",0.4987
81,The next phase of the streaming wars is all about scale,-0.495
82,"McGinn Investment Management, Inc. Buys AT&T Inc, SPDR Portfolio S&P 500 ETF, SPDR ...",0.4444
83,What is a Reverse Morris Trust: Yahoo U,0.5255
84,Here's Why AT&T Stock Plunged Today,0.299
85,An AT&T Dividend Cut Is Coming. Buy This Telecom Instead.,0.4322
86,"Gifford Fong Associates Buys Lumen Technologies Inc, AT&T Inc, Spotify Technology SA, Sells ...",0.6117
87,10 Ideal Dividend Stocks for Your Retirement,0.5749
88,The 3 Best Telecom Stocks to Buy Right Now,0.7846
89,Don't Fall for This Silly Bear Argument on Skillz Stock,-0.2787
90,5 High-Yield Dividend Stocks to Watch,0.2912
91,"T-Mobile (TMUS) Beats on Q1 Earnings, Raises 2021 Guidance",0.1375
92,HBO Max Movie Releases Aren't Hurting the Warner Bros. Box Office,0.3242
93,"Chilton Capital Management Llc Buys ConocoPhillips, Sysco Corp, American Assets Trust Inc, ...",0.6764
94,"Eagle Global Advisors Llc Buys Wells Fargo, Hess Midstream LP, American Tower Corp, Sells ...",0.5906
95,3 Things Cable TV Stock Investors Need to Know About the Industry's Future,0.396
96,3 Warren Buffett Stocks Worth Buying Now,0.715
97,"Ethic Inc. Buys Apple Inc, Microsoft Corp, Amazon. ...",0.4468
98,"Sailer Financial LLC Buys iShares Core Dividend Growth ETF, Schwab Fundamental Emerging Markets ...",0.4985
99,Better 5G Stock: AT&T or T-Mobile?,0.5597
100,FCC offers new COVID discount: Apply to save $50 on your monthly broadband internet billMike Snider,0.5895
101,3 Robinhood Stocks With High Dividend Yields,0.3944
102,Like Dividends? I Bet You'll Love These 3 Stocks,0.7833
103,Can Telecom ETFs Gain Despite Mixed Q1 Earnings?,0.7777
104,"T-Mobile ups 5G ante with home broadband, free phone upgradesBob O'Donnell",0.7078
105,"Haverford Trust Co Buys AT&T Inc, Intercontinental Exchange Inc, Baxter International Inc, ...",0.7287
106,Disney and Airbnb Earnings: Buy Reopening Stocks Amid Tech Pullback?,0.3218
107,"Top Analyst Reports for Coca-Cola, AT&T & Royal Dutch Shell",0.1809
108,"Essex Investment Management Co Llc Buys AT&T Inc, Sensata Technologies Holding PLC, CRISPR ...",0.7095
109,"Cannell Peter B & Co Inc Buys New York Community Bancorp Inc, General Motors Co, Triumph ...",0.7206
110,"Litman Gregory Asset Management LLC Buys iShares MSCI EAFE ESG Select ETF, Doubleline ...",0.5957
