,Recent headlines and conversations for UA,Polarity
0,Why wasn't this disclosed by management a long time ago? Not exactly a trust builder.,0.8729
1,I'll admit...Having Tencent land that deal with the MLB will help UA grow their brand in China. Good win for UA today.,0.907
2,if this drops another dollar imma drop in another $100k,-0.2561
3,"how can they repay their dept, if they do not sell anything anymore? burnrate is high..",0.3501
4,WoW you see how Sketchers is going higher on great earnings UA is next.$25 on Deck WE KNOW,0.9206
5,"This is an extremely expensive company even at 15/share, trading at a very high multiple. If I were you, I would drop this stock immediately, and would invest in Capri instead. Capri in the contrary is as big as UA in terms of sales, it is more diversified, it is extremely profitable and.... it is trading at a very low P/E multiple",0.3962
6,Sometimes we can OVER Value a pair of shoes. Under wAre is a struggling company that overpays kids to put a ball through the hoop. The days of sneaker wars are over and the days of walking into a sporting goods store are over because there aren't any such stores.,-0.8504
7,Big news coming soon!!!!,0.5019
8,They haven't even revised their impairment charges. This has got a long way to go down.,-0.2197
9,UA product just showed up as closeout deal in this weeks newest Ollies Bargain Outlet.,0.5275
10,Go~ again!!!,0.2494
11,Short interest is high and they got 6 days to cover. Hold your shares!,0.503
12,AP: Teenagers are turning away from Under Armour and instead buying Fruit of the Loom for their athleisure needs.,0.214
13,"Worst investment I’ve ever made. Could’ve sold several years ago for a huge profit, but instead I got greedy and have a huge loss.",-0.0398
14,Plank takes money and heads to where cannot be extradited,0.0216
15,"Tired Brand, Poor Distribution, Poor Quality, Sizes Don't Fit , Missed the Athlesiure Market , Legal Issues etc. etc. etc. etc. etc. etc. And Planks Answer ....... Hire a Tired Old Car Designer from General Motors to fix the problem ....... OUCH !!!!Sell Now ... Don't get caught Holding the Bag",-0.8257
16,why is there 2 ua? im new to markets,0.3785
17,UA is down 9.11% to 7.28,-0.2462
18,"If i were MMs, i move it to $30 today ...",0.1774
19,"Been in this for years, I’m out, big loss but better places to put money.",0.6347
20,Why is it listed under 2 sets? Is one better than the other??,0.7204
21,amzed ... who gave it $12 target on UAA?,-0.0028
22,"Got this last time at these lvls but not enough, good to load up the truck again.",0.912
23,UA reached a 52 Week low at 13.98,-0.1464
24,"The Hover shoe is sold out everywhere!! Can't even get it online unless your foot is size 7.... Earning will be very, very good!!!",0.6408
25,UAA reached a 52 Week low at 15.40,-0.1464
26,"It can’t be that difficult, make some shorts, shirts, shoes and put them in the store. Of course I always said that about Kmart(except it was stock the shelves) and they just couldn’t do it, better off buying Walmart.",0.8354
27,Higher Daily Highs on Decent Volume. Very Healthy Trading and Rebound Pattern. Yeah for 2018!,0.844
28,GOOD NEWS TODAY 21 -22 SOON,0.8204
29,Help me to figure DIS stock out every armor store. I go to always busy. What's up with this company?,0.8156
30,Here is the resistance I mentioned before. We need to hold and break through this level for the next jump upwards.,0.6263
31,"Chances are good here at this level.. 70 % off high , negativity all price in .. Easy 25 by June.. Booooom!!! Time to push this up !!",0.8049
32,"if you're an under armour fan, you buy their sports garment, you watch the other people at the gym, basketball court, football field or simply look around you, you'll see how much this brand is expanding. this analyst get paid to confuse the least informed, do your own assignment, or simply see how much nike is spending to undervalue UA. keep your money in, don't be a fool, takes time to go back up",0.9522
33,just mute 4mvp,0.1074
34,"Shares of Under Armour fell 3.7 percent Tuesday after one Wall Street firm downgraded the athletic clothing maker to negative.Despite a 30 percent rally in the past eight weeks, Under Armour will reverse course and lose all of those gains in the next year, according to Susquehanna Financial Group.""Sell Under Armour. The Under Armour brand remains at risk,"" analyst Sam Poser warned in a note to clients. ""Given poor brand distribution decisions, we believe Under Armour risks are becoming more like Reebok than Nike. … There is no fundamental recovery in sight.""This guy is broke",-0.7551
35,Glad I sold UA at over $100/sh........I thought its technology was found wanting,0.4736
36,another upgrade from analyst evercore partners on 11th from equal weight to over weight,0.0751
37,"Under Armour credit cut to ""JUNK"" Status.Just like the stock price.KEVIN PLANK - PLEASE RESIGN. YOU ARE A FAILURE. YOU HAVE FAILED THIS COMPANY. ALL CAN SEE THAT.CAN YOU?????",0.2757
38,"where do you people get your information from, mergers?, being bought?",0.4003
39,I can remember a very young company by the name of Apple computer that stayed between 14 and 17 bucks a share for quite some time. reminds me of a mountain Powerhouse Sporting Good Company named Under Armour that's going to knock the socks off the other companies. those basketball shoes and that baseball contract are pure gold for the company! you better hang on Christmas is coming ;0),0.9407
40,It's a BEAR TRAP!,-0.7384
41,Whose dumping AH,0.1067
42,"Are you kidding me? I finally decide to buy two weeks ago thinking the worst is over and now I learn they're losing their MLB contract! That's a really big deal, if you ask me. I'm selling.https://www.sportsbusinessdaily.com/Daily/Issues/2018/05/24/Marketing-and-Sponsorship/MLB-Nike.aspx",-0.4856
43,results are good,0.4404
44,"with emerging market currency collapse, how will Under Armour's earning impact for the next quarter? UA showed great growth in global markets.",0.1938
45,What does that have to do with UA becoming profitable?,0.5216
46,Huge beat!,0.5271
47,Kohls announces 7% sales increase during Holiday period. Maybe a positive sign for UA beating Q4 expectations.,0.7974
48,Motley fool just lambasted this stock again. their negative feedback just ignites this stocks' fire within. looking for a good push in the green again today. glta longs,0.581
49,"Everything is coming up Green today except for reliable UAA. Well, let it drop back to the 12's, I'll buy some more and let it run back up to the 15's, then sell. I keep a core amount for long term, just trade a small amount to make the money I am down on back gradually, that way my UAA is profit going forward.",0.933
50,UAA is down -4.96% to 18.98,-0.2462
51,UA reached an all time low at 8.19,-0.1847
52,This looks so very cheap. But could always go lower. I cant stay away completely.,-0.111
53,"Zachs......Is The End Near, for UA ?? Wow",0.6743
