,Recent headlines and conversations for UNH,Polarity
0,"As a consumer of various HMOs over decades, I can tell you that UNH has by far the best customer services. It made me want to research investing.",0.793
1,Wow was up 7.00 briefly but as usual the sellers can’t help themselves and started selling again now only up 4.50. 4.50 is really nothing when a stock is down 28 in a week,0.8938
2,Typical light trading decline continues today...,0.0196
3,"Let's take a look at the government-run retirement program and see how it's working out? Oh, is it running out of $$$? Cool. Let's have another deficit generating public healthcare program.",0.6299
4,"The market makers did it again, pull down early and accumulate it for the next few days.",0.1691
5,Signature Wealth Management group news drops the hammer on the buy button.,0.8261
6,"Cramer is an expert in calling the top. When he says buy, just know that the stock will start declining. He is always late to the game",0.4377
7,Poor Bill Johnson sold for a loss last week,-0.746
8,"Just algos selling all health care related stocks due to headline risk from Sanders the pipe dream man. This is not only UNH. ANTM, CNC all selling off",0.6466
9,Everyone is up except for the banks and healthcare.,0.5416
10,People selling because of talk of Medicare for all is dumb.,-0.4352
11,"Opps, feel the burn lol",0.4394
12,pathetic,-0.5719
13,"I find it amazing that a single person, Bernie Sanders can bring down the entire Health sector by pushing for a single health payer, the government. Market should always dictate the cost/price of anything in a free fair society. More government control equals greater taxes, paid by middle America. I wonder what happens when middle American dries up. We all we know shortly. I wish now I had worked in the Government as they hold all the cards for free healthcare, nice lucrative retirements, great pay (Sanders wealth is in the 1% go of Americans) and void of the laws they pass, they are exempt. Perhaps explains why we are seeing more illegals - it’s about the vote to keep one in office for life. Power money greed in our elected government officials.",0.9904
14,Buy at 200,0.1266
15,"Funny thing happens that every body can see, the chart readers bets on UNH down but some value players push it back up. I will wait till the selling side subsides down, which I think they will make a fortune if UNH downs to 235. I think UNH is too good in the next two weeks if they can not push down another few sessions, UNH will rebound strongly.",0.898
16,"one step forward, 10 steps back. great",0.6943
17,Buying opportunity for sure. UNH is nearing its 52 week low again. When trump is re-elected and fear of free healthcare dissipates this will be be $275+ in no time,0.7078
18,"Optum gains offset rising COVID costs for UnitedHealth, driving solid fourth quarter earnings and a robust 2021 profit forecast.",0.9174
19,Feel the Bern....,-0.0257
20,"Careful. Head and shoulders pattern completes at 237. Break under 237, look out below.",-0.4389
21,$3 from 52 week low.,-0.1803
22,This stock was once again worst performing HMO stock. Not even close. Should be removed from Dow Jones,-0.1512
23,"Humana..has awaken... SELL, SELL, SELL!",0.6499
24,Heading back up.,0.24
25,Those earning crushed it! Revenue will come back...$600/share by Nov!,-0.5167
26,"Raise your hand if you sold below $217 today.... Now that it is raised, go ahead and smack yourself...",0.2339
27,"It's the whole sector. The Democrats are foaming at the mouth about what they want to do with our health care system and that's STATE CONTROL. I'd be a buyer but, those people actually frighten me. And, it seems like it's most of them. You can look all day but, you will be hard pressed to find a moderate Democrat.",0.7606
28,What a looser stock .Dead money until elections are over,-0.599
29,I guess that's what you get for raising revenues guidance eh??,0.4614
30,This junk is overvalued,-0.5197
31,This should have split by now!,0.34
32,"Bernie and that goof AOC are now yapping about Uber and credit cards, maybe they can shut up about healthcare long enough for this to go back to normal levels.",0.8811
33,Rotation $ moving into tech. This drop is a bargain before earning. Believed it,0.3859
34,When the board suddenly floods with shorts.... That's the buy signal...,0.4199
35,Look out for 305 - 310 today!!!Don't bet against United States of America!Don't bet against UnitedHealth! (Bernie did and failed!),0.3667
36,I just canceled my United Healthcare Medicare coverage because my gym membership costs more going through UNH as opposed to my regular membership costs. How screwy is that? Goodbye UNH......,0.395
37,It's like people don't understand how this works. Have you seen the price targets? Let's keep a nice eye on who is buying and it will tell you all you need to know....,0.9101
38,It is wonderful time of the year to buy UNH. The market makers will suppress the price today and hand to the hedge fund at the close.,0.7886
39,"UNH was cruising 250's waiting on earnings...and after earnings with the impressive full year profit guidance should've been a green light on its way to new highs. The tabloid media with bernie fantasies interrupted it breifly,... UNH back on course.",0.8969
40,Closed on the lows of the day. Once it breaks 220.00 tomorrow it’s straight to 205,-0.3083
41,UHG preparing to be the single payer option...own it all and buying up thousands of physicians thru OptumCare,0.4626
42,"Betting Bernie flops tonight. Not ready to go long on this stock, so sitting it out for a bigger dip. Just not expecting that to come from the Bernie effect. IMO Bernie Sucks.",0.7954
43,"UNH is down 0.28% and Yahoo has a headline running ""United Health plunges""?? What is up with these idiots at Yahoo.",0.7386
