,Recent headlines and conversations for UNH,Polarity
0,"Riverpark Capital Management Llc Buys Charles Schwab Corp, Square Inc, UnitedHealth Group Inc, ...",0.3375
1,Here's How Much a $1000 Investment in UnitedHealth Group Made 10 Years Ago Would Be Worth Today,0.6727
2,"Zacks Industry Outlook Highlights: UnitedHealth Group, Anthem, Cigna Corp and Humana",0.4524
3,"Dempze Nancy E Buys Koninklijke DSM NV, Nike Inc, UnitedHealth Group Inc, Sells 3M Co, Chubb, ...",0.3287
4,TEXT-S&P rates UnitedHealth Group notes 'A',0.2175
5,Fitch Affirms UnitedHealth Group; Outlook Remains Negative,-0.6355
6,TEXT-Fitch affirms UnitedHealth Group ratings,0.2175
7,Seton Hall tops UNH for Willard's 200th win,0.7986
8,"Senator Investment Group LP Buys JPMorgan Chase, UnitedHealth Group Inc, Expedia Group Inc, ...",0.8122
9,"Kensico Capital Management Corp Buys Alphabet Inc, UnitedHealth Group Inc, General Electric Co, ...",0.3985
10,Fitch Affirms & Removes UnitedHealth Group from Rating Watch Negative; Outlook Negative,-0.7712
11,"RiverPark Advisors, LLC Buys UnitedHealth Group Inc, Snowflake Inc, Zillow Group Inc, Sells ...",0.6055
12,TEXT-Fitch expects rate UnitedHealth Group planned senior notes,0.2512
13,UnitedHealth (UNH) Offering to Meet Retirees' Post-Discharge Needs,-0.0378
