,Recent headlines and conversations for VZ,Polarity
0,BRIEF-VZ Holding Net Profit At CHF 48.7 Mln,0.4797
1,Why Did Warren Buffett Buy Verizon Stock?,0.6473
2,BRIEF-VZ Holding increases provisions for tax claims,0.0234
3,"BRIEF-VZ Holding H1 net profit at CHF 44.2 mln, up 9.3 pct",0.5929
4,Why Do Millennials Hate Verizon Stock?,-0.398
5,"Verizon to focus on 5G delivery, bows out of battle with AT&T, Comcast over contentMike Snider",0.4076
6,Verizon Communications (VZ) Gains As Market Dips: What You Should Know,0.5067
7,BRIEF-VZ Holding FY Profit Up 4.1% To CHF 102.3 Million,0.516
8,T-Mobile Still Has a Big Spectrum Advantage Over Verizon and AT&T,0.8154
9,"Verizon, ViacomCBS, MGM Resorts: 3 stocks that are absurdly cheap right nowTravis Hoium",0.3368
10,Verizon Response: Severe weather in the South,-0.7288
11,BRIEF-VZ Holding FY revenues up 4.2 pct at CHF 235.9 million,0.1091
12,Verizon wins $3.1 billion bidding war for Straight Path's 5G spectrumMike Snider,0.5502
13,BRIEF-VZ Holding: handover of VZ Group's CFO function,0.6919
14,BRIEF-VZ Holding FY Net Profit Up At CHF 98.2 Mln,0.4712
15,Verizon Stock Might Be a Steal After Expanding 5G Spectrum,0.5714
16,BRIEF-VZ Holding FY Operating Revenues Up 10.3 Pct To CHF 260.2 Mln,-0.0276
17,BRIEF-VZ Holding H1 Profit Before Taxes At CHF 60.2 Mln,0.487
18,Verizon sees more signs of pay-TV cord cuttingMike Snider,-0.0079
19,BRIEF-Vz Holding reports H1 net profit of CHF 32.9 million,0.5306
20,"Comcast, Verizon and maybe Amazon want look at 21st Century Fox assetsMike Snider",0.3054
21,Better Buy: Verizon Communications vs. T-Mobile,0.4911
22,"Justice Dept. investigating if AT&T, Verizon make it too hard to switch wireless carriersEdward C. Baig",0.1186
23,Verizon Communications (VZ) Gains But Lags Market: What You Should Know,0.2053
