,Recent headlines and conversations for WAB,Polarity
0,What’s the deal with the sell off today??,0.3621
1,WAB is up 5.21% to 57.60,0.1818
2,What are the reasons for this stock down $3.3 or 4.47% today while DJI is up 372 points or 1.49%? Do they try to scare the weak hands so they can buy it cheap before the new company emerges?,0.3366
3,upside tomorrow. buy buy,0.5054
4,Anybody know the cost basis that is recorded on the shares I received in the spinoff?,0.6058
5,I had a whopping 4 shares from the GE sale to WAB. I bought 96 shares in the dip in April. I sold a covered call this month for an $85 strike price. I'll let it go if the call is in the money.,0.7498
6,"Oh, forgot to mention, I got 2 shares of WAB, but lost $312.50 yesterday on GE.",-0.219
7,"Wabtec is a key player and leader in the rail industry worldwide. I understand the GE integration has created major challenges, but I also believe the GE products give Wabtec more competitive advantages than they had prior to the merger. Still researching the company, but I like the idea of buying industry leaders when they're dealing with short term challenges. That's where I see Wabtec today. Not buying yet, but definitely under consideration in the low $60's. Once the GE integration is wrapped, wouldn't mind seeing WAB bring GBX into the fold as well. There isn't any replacement for rail, so the long term looks great in my opinion.",0.9863
8,Westinghouse Air Brake is down 4.95% to 62.37,-0.3901
9,What happened!?!,0.1815
10,"$60 waiting to buy, but not today. may be next week",0.397
11,"Hold your WAB, that’s what I am doing.",0.0295
12,WAB reached a new 52 Week High at 97.63,0.4256
13,WAB reached a new All Time High at 108.27,0.3954
14,Is there any cash in lieu of fractional shares paid?,0.31
15,Great earnings report. Good to see $76 per share. It will go higher.,0.8998
16,"Okay, I'm pretty dumb here. Negative news on GE this morning drops GE stock price 13%. So why is WAB down? What is the present day correlation between GE's woes and WAB? I thought that GE had already sold off the WAB stock they received. Is there a connection between the two companies beyond that?",0.2023
17,248 shares of WAB showed up in my account...what are these for?,0.4534
18,"Wabtec(WAB) was excited to announce this that it had completed its merger with GE Transportation, immediately following GE Transportation’s spinoff from GE(GE). GE shareholders will see small amounts of Wabtec in their portfolios. The final ratio is a bit lower than what had been estimated. For each share of GE stock owned, shareholders received 0.005371 shares of Wabtec stock, approximately one share of Wabtec stock for every 186 shares of GE stock. Many small shareholders will receive cash in lieu of shares. Shareholders should be aware that this spinoff is taxable. People should ask their tax advisor what this means, but our understanding is that the full amount of the distribution is taxable, but it also reduces the basis on their GE shares by the value received. As mentioned previously, Wabtec has joined the S&P 500.",0.9416
19,"Must have been GE selling about 3 million shares of WAB. Started at $77 this morning, ended at $71.",0.3813
20,Welcome to the TOXIC GE family.,-0.4869
21,Good addition for BHI,0.7363
22,WAB is down 5.13% to $75.13,-0.2462
23,"WABTEC is shuttering the wholly owned subsidiary - Motive Power - stating they are moving the operation to Pennsylvania. With low costs of engine refurbishing that was provided in Boise Idaho (in comparison to the GE operation in Pennsylvania) - this is a questionable move at best. This company is scrambling after the GE merger (transportation component) and utilizing cannibalization techniques (first indication of trouble) in order to ""keep up appearances"" to investors. ""Danger Will Robinson""...",0.8833
24,WAB reached a 52 Week low at 49.00,-0.1464
25,"a happy workforce( money, benefits, enviorment) is a productive workforce. in the end it's business as usual and growing...at this price a great entry.... let's go Mets!",0.9106
26,Rails are the way to go 300 MPH soon no need to get on an airplane anymore..maybe a rail under the ocean to the far east?,-0.4009
27,"Wabtec and GE Transportation to Merge, Creating Global Leader for Rail Equipment, Services and Software",0.399
28,"Way oversold, rail freights has a bright future with all the oil pipe projects being canceled.",0.0154
29,WAB is down -4.91% to 77.27,-0.2462
30,just got wabtec shares through GE merger also ..doing some DD here,0.7574
31,WAB is down 4.94% to 72.80,-0.2462
32,Bought a train load this morning...way oversold,0.4467
33,Westinghouse Air Brake reached a 52 Week high at 83.55,0.2069
34,set limit buy buy at $60,0.307
35,WAB is up 7.32% to 44.14,0.1818
36,"Look into future, industry leader, all forms of current rail transport must and will expand. Think big - existing rails logically have space above, below and adjacent to current tracks. Just bought 100 shares to learn and track progress.",0.8631
37,Wow just got my spinoff I own 2 big shares of WAB.,0.8808
38,WAB is up 7.26% to 47.26,0.1818
39,Rafael Santana served as president and CEO of GE Transportation and is now president and CEO of Wabtec’s Freight segment. Is there a connection with GE's horrible numbers and this guy. Im starting to think so especially with what you have pointed out @Gator.,0.5401
40,Westinghouse Air Brake is up 8.79% to 56.96,0.0153
41,"One other thing regarding union leaders. They do not want lower paying jobs for former employees and new employees due to the lower income from these employees to the unions pockets. Stay on strike they may say, but in the long run it's union dues.As I said earlier, the job loses at the container company, Ford plant and the local GE plant never recovered and many hundreds of jobs were gone forever. No one saw the trees beyond the forest and these employees lost much, much more in the long term.",0.7952
42,load up this will rocket up in a short period of time.....,0.3838
43,WAB reached a 52 Week low at 60.15,-0.1464
44,I'm trying to help a few family members--How can I determine the cost basis of the spin-off non-covered $WAB shares my relatives received from GE on February 25th? How do they find the share price of WAB when they took possession?,0.8247
45,Train crash in Joisey may accelerate adoption of PTC which would be a plus for WAB.,0.1117
46,Westinghouse Air Brake is up 5.18% to 77.37,0.0153
47,It’s bounced back,0.0576
48,WAB is down 4.90% to 61.10,-0.2462
49,Earnings were great and the future looks great.,0.8696
50,"Since now GE empl received their shares too now, we are gong to see a temp dip..IMO",0.3138
51,"Am just reading about WABTEC, learning about the GE TRANS sale/merger? I have been offered to sell my less than 100 shares for a $7/share processing fee! Sounds a bit much to me. Also doesn’t sound beneficial to any stockholders with under 100 shares. Can anyone enlighten me to why the company is doing this?",0.9234
52,OK Ok So what is the problem with this company? Am I missing something from the past? I only got into this from the Ge spin off and decided to watch and see what it does after. Future looks great for increased revenue so what is the problem?Bad taste from the past or management?,0.929
53,Westinghouse Air Brake reached a 52 Week low at 56.90,-0.3027
54,WAB seems to be catching fire! Anyone have any insight into what’s going on?,-0.3585
55,"I've 200 shares of WAB. Can't remember when bought.Also, have had GE for a long disappointingly time. Couldn't understand why advisor told me to HOLD.",-0.0189
56,What a horrible stock. The next KHC.,-0.4044
57,Will explode above 75 in institutional buying,0.7556
58,WAB is up 4.95% to $69.56,0.1818
59,sold and going to buy a big juicy steak for lunch,0.3494
60,oversold retracing to 73.5...jmo,0.0423
61,Anything interesting happen in last month that will impact price?,0.3008
62,WAB reached a 52 Week low at 45.62,-0.1464
63,Bought when the pandemic hit...loving finally make a right move in these crazy markets....sold Ge to buy Webtec,-0.0589
64,Dividend is barely visable. How about raising it to a more viable $.50?,0.1421
65,"With all the stores emptied out from panic buying, wouldn't they need to restock them using railways and freight planes?",-0.2863
