,Recent headlines and conversations for WMT,Polarity
0,Not a good day for shorters.,0.5108
1,None of this valuation talk matters............the country will slide into recession in the coming months after a year of non payment of rents and record unemployment. stop dreaming you can close down the entire world with no impact on the global economy stimulus or no stimulus,-0.9318
2,"Q1 401K statements will look great. Should create a wealth Effect tail wind, combined with the Stimulus money that should be very positive for the consumer. The Recovery will be Rapid and Robust",0.9426
3,Every child that's not aborted is designated as Male or Female on their birth certificate.How's that for science?,0.5487
4,"Still Short a lot of shares of WMT. Still think there is a good chance this will turn around and fall down once the regular session starts. Running with a 10% Bracketed, Conditional OCO Cover order. So, if WMT should rally strong and hits $152.73, or, my preferred option, collapses down to $124.97, all of my shares will be immediately Covered for either a huge profit or a huge loss. Either way, I get out and move on to the next one. Which will most likely be a Sell Short of TJX, they report earnings pre-market tomorrow and stock price should collapse in direct response. Most likely neither 10% move will hit, in which case I plan to stay Short WMT until the early-mid afternoon. See what happens... :-) Good Luck Folks!",0.9609
5,combine a market sell off with the coming disastrous earnings report and we might get to sub 100 faster then I thought --won't be this month but the trap is set for the longs -- this will be falling in chunks,-0.7556
6,"Why have Cuban Americans always been fiercely Republican? Democrat ideology is based in the same corrupt ideals that failed horribly in their country, expanding big government and socialist policies at the expense of individual freedom and wealth creation, bankrupting the citizens at the expense of a small elite ruling class. Republicanism has always fought against this corrupt concentration of federal power and theft of individual wealth and freedom. “We the people are the government” - Fidel Xiden Castro",0.89
7,SHEP. HERE.......................... I wonder if Penynostoc has covered or if he is just hoping.,0.5471
8,"SHEP. HERE........................ Someone I know order a cover for her new camper, but when she realized that a relative would let her park it inside a building they had, she returned it unopened to Amazon. When her credit card didn't get credited, she called and they said they issued a gift card to her for the amount $300. Well, she didn't want the gift card but they told her that was the only thing she could do. She like Amazon, but was mad about that.",0.9881
9,"SHEP. HERE......................... Penystoc, since you say pe doesn't matter and you criticize people for asking a question like ""Why do good companies go down every day"" with comments like if you have to ask you shouldn't be in the market, well, how about lighting up and tell someone why good companies go down when it appears they should go up. And do you own any stocks at all and if so what are they. How about being a good investor instead of just bad mouthing WMT day in and day out?",0.9466
10,A Colorado man arrested this month for allegedly murdering his missing wife has also been accused of voting for former President [djt] her name.,-0.7617
11,"Mario, yes Mars, why do people tac to their own ID's.Mario: I don't know. Mars: Thanks.",0.2371
12,"Earnings out for WMT and they look better than expected at first glance. But, that does not mean the stock price goes up once the regular session opens. I am still expecting a sell-off and for the price to turn Red after this initial, early pre-market upside bounce. Happy to stay Short until early afternoon at minimum. Good Luck Folks!",0.9559
13,Yes. Not many people dislike free money and stuff ..... until the bill comes due.,0.6534
14,"Way to go Joe Xiden. Where is the vp in charge of fixing this mess?Around 200 migrants have been apprehended by Border Patrol near a small town in Texas this week, a report found, with images showing agents handing out blankets to those still cold after crossing the Rio Grande River in the early morning darkness. The developments come as Vice President Kamala Harris continues to avoid holding a news conference about her duties to address migration to the southern border – a national issue remaining under the spotlight following the emergence of a heartbreaking video purportedly depicting a young migrant boy abandoned alone in the Texas desert. ""Can you help me? It is that I was coming with a group and they abandoned me and I do not know where they are at,"" the child was heard telling a Border Patrol agent in a barren area east of Rio Grande City.",0.8775
15,Noah Green 13/90/2021,0.0406
16,"$Zest vs $WMT Walmart lawsuit is set!!! March 29th not too many even know about this, but ZEST buyout by Walmart imminent. Great buy on ZEST at current share price offers 5X to 10X upside! Walmart in trouble with IBM Food Trust and need to settle ZEST to move forward with IMB and the FDA on World Food Tracking RFID system! $GME $AMC is in!!!!!Court docs just posted on Pacer",0.9908
17,WMT is hanging in there on a brutal day in the markets. HOLDING LONG!!,0.4513
18,Hillary Clinton worked for Walmart,0.2818
19,"I guess when enough people leave they backtrack. PORTLAND, Ore. — After the protests have concluded, sometimes in the early morning hours, Margaret Carter finds herself climbing into her gray Toyota Camry and cruising the streets of Portland so she can see the latest damage for herself.Carter, 85, has been downtown to the Oregon Historical Society, where demonstrators have twice smashed out the windows, recently scrawling “No More History” on the side of the building. She has driven past the local headquarters of the Democratic Party, where windows have also been shattered. Last week, she found herself at the Boys & Girls Club in her own neighborhood, nearing tears at the scene of costly window destruction at a place she has worked so hard to support.“Portland was a beautiful city,” said Carter, who was the first Black woman elected to the Oregon Legislative Assembly and is now retired. “Now you walk around and see all the graffiti, buildings being boarded up. I get sick to my stomach. And I get angry.”",0.4648
20,"in 2019 and 2020, there were 110 people killed and 266 injured in mass shootings in Texas. There were also 2 cases of proven voter fraud.So, guess what the Texas Legislature is calling an emergency in Texas?",-0.8613
21,There are no wide spread police issues against people of color in our country today.The only wide spread issues we do have is where people commit crimes and then refuse to obey lawful orders from the police to apprehend them for their crimes.Forcing the police to use force sometimes deadly force to defend themselves and take these criminals into custody that refuse to be taken into custody for their crimes.Its simple.Don't fight the police when they give you a lawful order to take you into custody after you have committed a crime and force will not be needed or used by the police.,-0.8744
22,"$WMT will beat on both top and bottom lines. will give conservative guidance. the stock to tank, may be 5 to 6% hair cut we saw the same drill over and over this earnings season",0.1163
23,"i can't believe 4000 covid deaths a day in India. Variants out of control in South America.UN and others need more vaccine now. but some say profit $$ is more important.Moderna, for one, waived it's patents , acknowledging the need for MORE PRODUCTION globally...",0.898
24,"The problem with Democrats is the lack of real life experience, other than Joe, Pelosi etc most are career politicians - and for those I’ve met in real life it’s similar. Guilty rich kids or welfare recipients who want to feel woke and make knee jerk decisions that they can’t and don’t want to comprehend the outcome of for a hashtag IG post. With first hand experience in a truly small business you see government waste and false promises, your tax dollars going nowhere. Why would you hire a horribly inefficient business (govt) to do a bad job that they can’t be fired for and then after repeatedly being proven guilty for corruption decide to give them massive raises annually for their horrible performance?",-0.733
25,8 red days in a row go for 9?,-0.2622
26,U.S. consumer prices post biggest gain in nearly 12 years as inflation pressures build,0.1506
27,"Not much help right now, is it?johnnnyrotten46 minutes agoThere are more than 20 new electric cars and trucks coming to market within the next year.",0.5523
28,They beat by 6 billion dollars. What's Christmas sales going to do?,0.4725
29,Aluminum blankets on back order for the next 4 years on Joe’s website. Hats in stock.,0.6486
30,"After that disastrous jobs report, Joe will NEVER get his 4 trillion dollar handout passed.",0.124
31,Maybe I’ll visit Stone Mountain while I’m in Georgia.,0.0449
32,Have you noticed that the markets are at all time highs?The market LOVE what is happening here in AMERICA,0.6267
33,"WALMART STOCK BELOW THE 200 DAY MOVING AVERAGE WILL FINISH HIGHER TODAY, BASEBALL ️ IS BACK.",0.8585
34,Dem-Bots are in full force today. Newsoms recall YouTube vids are full of them too!,0.4433
35,UN warns conflict could turn into 'full-scale war'Joe says it’s a big nothing burger.,-0.4052
36,How come everything costs so much more at WalMart this year?,0.3026
37,"oh, and mask wearing, social distancing also cut season flu way down...but sure masks don't work do they.... nor the seasonal flu vaccines thatMore adults have gotten the flu shot in pharmacies in 2020 compared to last year’s flu season.",-0.8312
38,“We’ll allow the press in after we fix the CRISIS!!”,0.4386
39,"Luckily I bought in 20,000 shares before closing yesterday. I’m planning to sell off once the market opens. Thank you for easy money",0.8678
40,We’re there riots in MULTIPLE blue cities last night?,-0.656
41,"When you look at WMT's free cash flow yield it is approximately 6.6%, very close to the gold standard of 7 percent. That suggests valuation still has plenty of room to run from here. WMT's free cash flow is an enormous $25.8 billion, and cash flow per share is $9.12, which is a very big number. In addition to that the company has almost $18 billion in cash. Financially this is a very healthy company that even now still trades at a reasonably cheap price. Amazon may be stealing their business but WMT still has plenty of staying power and will not go under like the department stores, not even close. I remain a bull and bought on the earnings dip.",0.975
42,Pay the people working an extra $400 a week and see how fast the unemployment rate goes back to 3%.,-0.3275
43,hold this above 140 and we short again---,-0.1344
