,Recent headlines and conversations for XOM,Polarity
0,"Centiva Capital, LP Buys Exxon Mobil Corp, Perspecta Inc, Coherent Inc, Sells DuPont de Nemours ...",0.0287
1,"Ergoteles LLC Buys The Walt Disney Co, Exxon Mobil Corp, HMS Holdings Corp, Sells Tiffany, ...",0.3606
2,ExxonMobil (XOM) Stock Falls despite surpassing Wall Street forecastsTheStreet,0.619
3,ExxonMobil (XOM) Closes Lea County Asset Sale to Empire,0.46
4,Exxon Mobil (XOM) Gains As Market Dips: What You Should Know,0.5177
5,TOT or XOM: Which Is the Better Value Stock Right Now?,0.7087
6,"Cim Investment Mangement Inc Buys Apple Inc, Exxon Mobil Corp, C.H. ...",0.561
7,ExxonMobil (XOM) Increases Guyana Crude Production Target,-0.5106
8,"Inclusive Capital Partners, L.p. Buys Exxon Mobil Corp, Ingevity Corp, Nutrien, Sells BP PLC",0.0315
9,"Top Analyst Reports for Exxon Mobil, AbbVie & Citigroup",0.3099
10,"Q Capital Solutions Buys Etsy Inc, The Home Depot Inc, Exxon Mobil Corp, Sells Apple Inc, ...",0.5605
11,"Wallace Capital Management Inc. Buys Conduent Inc, Exxon Mobil Corp, Crawford, Sells Spectrum ...",0.7813
12,"The Zacks Analyst Blog Highlights: Exxon Mobil, AbbVie, Citigroup, Google and Micron",0.0734
13,ExxonMobil (XOM) Eyes Liza Destiny FPSO Glitch Repair by June,0.3102
