,Recent headlines and conversations for XRX,Polarity
0,Xerox Holdings Corporation (XRX) Down 2.1% Since Last Earnings Report: Can It Rebound?,0.4984
1,"Xerox - yes, Xerox - leads 2019 gains in S&P tech index",0.5152
2,Xerox makes official its split into two companiesMike Snider,0.147
3,Xerox completes split into 2 companiesTodd Clausen,0.1436
4,For sale? Xerox may be taken out of its miseryDouglas A. McIntyre,0.0634
5,Ursula Burns won't be CEO after Xerox splitBrian Sharp,-0.3083
6,Xerox shares fall on lower profits and revenueKevin McCoy,0.2863
7,Xerox earnings preview: what Wall Street is expecting,0.2264
8,"Japan's Fujifilm to take over partner XeroxSarah Taddeo, Len LaCara and Sean Lahman",0.3897
9,Ask Matt: Can Xerox copy its past success?Matt Krantz,0.4125
10,UPDATE 1-Xerox restructures business to create holding company,0.2814
11,Xerox restructures business to create holding company,0.4355
12,Xerox to adopt holding company structure,0.4362
13,Xerox names spinoff ConduentNathan Bomey,0.4235
14,Xerox reportedly plans split into two companiesMike Snider,0.1436
15,Tech Five: Xerox appoints Icahn exec to boardBrett Molina,0.094
16,Xerox reportedly in talks for a deal with FujifilmSarah Taddeo,0.1251
