Word,Polarity
able,1
abundance,1
abundant,1
acclaimed,1
accomplish,1
accomplished,1
accomplishes,1
accomplishing,1
accomplishment,1
accomplishments,1
achieve,1
achieved,1
achievement,1
achievements,1
achieves,1
achieving,1
adequately,1
advancement,1
advancements,1
advances,1
advancing,1
advantage,1
advantaged,1
advantageous,1
advantageously,1
advantages,1
alliance,1
alliances,1
assure,1
assured,1
assures,1
assuring,1
attain,1
attained,1
attaining,1
attainment,1
attainments,1
attains,1
attractive,1
attractiveness,1
beautiful,1
beautifully,1
beneficial,1
beneficially,1
benefit,1
benefited,1
benefiting,1
benefitted,1
benefitting,1
best,1
better,1
bolstered,1
bolstering,1
bolsters,1
boom,1
booming,1
boost,1
boosted,1
breakthrough,1
breakthroughs,1
brilliant,1
charitable,1
collaborate,1
collaborated,1
collaborates,1
collaborating,1
collaboration,1
collaborations,1
collaborative,1
collaborator,1
collaborators,1
compliment,1
complimentary,1
complimented,1
complimenting,1
compliments,1
conclusive,1
conclusively,1
conducive,1
confident,1
constructive,1
constructively,1
courteous,1
creative,1
creatively,1
creativeness,1
creativity,1
delight,1
delighted,1
delightful,1
delightfully,1
delighting,1
delights,1
dependability,1
dependable,1
desirable,1
desired,1
despite,1
destined,1
diligent,1
diligently,1
distinction,1
distinctions,1
distinctive,1
distinctively,1
distinctiveness,1
dream,1
easier,1
easily,1
easy,1
effective,1
efficiencies,1
efficiency,1
efficient,1
efficiently,1
empower,1
empowered,1
empowering,1
empowers,1
enable,1
enabled,1
enables,1
enabling,1
encouraged,1
encouragement,1
encourages,1
encouraging,1
enhance,1
enhanced,1
enhancement,1
enhancements,1
enhances,1
enhancing,1
enjoy,1
enjoyable,1
enjoyably,1
enjoyed,1
enjoying,1
enjoyment,1
enjoys,1
enthusiasm,1
enthusiastic,1
enthusiastically,1
excellence,1
excellent,1
excelling,1
excels,1
exceptional,1
exceptionally,1
excited,1
excitement,1
exciting,1
exclusive,1
exclusively,1
exclusiveness,1
exclusives,1
exclusivity,1
exemplary,1
fantastic,1
favorable,1
favorably,1
favored,1
favoring,1
favorite,1
favorites,1
friendly,1
gain,1
gained,1
