,word,polarity
0,able,2
1,abundance,2
2,abundant,2
3,acclaimed,2
4,accomplish,2
5,accomplished,2
6,accomplishes,2
7,accomplishing,2
8,accomplishment,2
9,accomplishments,2
10,achieve,2
11,achieved,2
12,achievement,2
13,achievements,2
14,achieves,2
15,achieving,2
16,adequately,2
17,advancement,2
18,advancements,2
19,advances,2
20,advancing,2
21,advantage,2
22,advantaged,2
23,advantageous,2
24,advantageously,2
25,advantages,2
26,alliance,2
27,alliances,2
28,assure,2
29,assured,2
30,assures,2
31,assuring,2
32,attain,2
33,attained,2
34,attaining,2
35,attainment,2
36,attainments,2
37,attains,2
38,attractive,2
39,attractiveness,2
40,beautiful,2
41,beautifully,2
42,beneficial,2
43,beneficially,2
44,benefit,2
45,benefited,2
46,benefiting,2
47,benefitted,2
48,benefitting,2
49,best,2
50,better,2
51,bolstered,2
52,bolstering,2
53,bolsters,2
54,boom,2
55,booming,2
56,boost,2
57,boosted,2
58,breakthrough,2
59,breakthroughs,2
60,brilliant,2
61,charitable,2
62,collaborate,2
63,collaborated,2
64,collaborates,2
65,collaborating,2
66,collaboration,2
67,collaborations,2
68,collaborative,2
69,collaborator,2
70,collaborators,2
71,compliment,2
72,complimentary,2
73,complimented,2
74,complimenting,2
75,compliments,2
76,conclusive,2
77,conclusively,2
78,conducive,2
79,confident,2
80,constructive,2
81,constructively,2
82,courteous,2
83,creative,2
84,creatively,2
85,creativeness,2
86,creativity,2
87,delight,2
88,delighted,2
89,delightful,2
90,delightfully,2
91,delighting,2
92,delights,2
93,dependability,2
94,dependable,2
95,desirable,2
96,desired,2
97,despite,2
98,destined,2
99,diligent,2
100,diligently,2
101,distinction,2
102,distinctions,2
103,distinctive,2
104,distinctively,2
105,distinctiveness,2
106,dream,2
107,easier,2
108,easily,2
109,easy,2
110,effective,2
111,efficiencies,2
112,efficiency,2
113,efficient,2
114,efficiently,2
115,empower,2
116,empowered,2
117,empowering,2
118,empowers,2
119,enable,2
120,enabled,2
121,enables,2
122,enabling,2
123,encouraged,2
124,encouragement,2
125,encourages,2
126,encouraging,2
127,enhance,2
128,enhanced,2
129,enhancement,2
130,enhancements,2
131,enhances,2
132,enhancing,2
133,enjoy,2
134,enjoyable,2
135,enjoyably,2
136,enjoyed,2
137,enjoying,2
138,enjoyment,2
139,enjoys,2
140,enthusiasm,2
141,enthusiastic,2
142,enthusiastically,2
143,excellence,2
144,excellent,2
145,excelling,2
146,excels,2
147,exceptional,2
148,exceptionally,2
149,excited,2
150,excitement,2
151,exciting,2
152,exclusive,2
153,exclusively,2
154,exclusiveness,2
155,exclusives,2
156,exclusivity,2
157,exemplary,2
158,fantastic,2
159,favorable,2
160,favorably,2
161,favored,2
162,favoring,2
163,favorite,2
164,favorites,2
165,friendly,2
166,gain,2
167,gained,2
168,gaining,2
169,gains,2
170,good,2
171,great,2
172,greater,2
173,greatest,2
174,greatly,2
175,greatness,2
176,happiest,2
177,happily,2
178,happiness,2
179,happy,2
180,highest,2
181,honor,2
182,honorable,2
183,honored,2
184,honoring,2
185,honors,2
186,ideal,2
187,impress,2
188,impressed,2
189,impresses,2
190,impressing,2
191,impressive,2
192,impressively,2
193,improve,2
194,improved,2
195,improvement,2
196,improvements,2
197,improves,2
198,improving,2
199,incredible,2
200,incredibly,2
201,influential,2
202,informative,2
203,ingenuity,2
204,innovate,2
205,innovated,2
206,innovates,2
207,innovating,2
208,innovation,2
209,innovations,2
210,innovative,2
211,innovativeness,2
212,innovator,2
213,innovators,2
214,insightful,2
215,inspiration,2
216,inspirational,2
217,integrity,2
218,invent,2
219,invented,2
220,inventing,2
221,invention,2
222,inventions,2
223,inventive,2
224,inventiveness,2
225,inventor,2
226,inventors,2
227,leadership,2
228,leading,2
229,loyal,2
230,lucrative,2
231,meritorious,2
232,opportunities,2
233,opportunity,2
234,optimistic,2
235,outperform,2
236,outperformed,2
237,outperforming,2
238,outperforms,2
239,perfect,2
240,perfected,2
241,perfectly,2
242,perfects,2
243,pleasant,2
244,pleasantly,2
245,pleased,2
246,pleasure,2
247,plentiful,2
248,popular,2
249,popularity,2
250,positive,2
251,positively,2
252,preeminence,2
253,preeminent,2
254,premier,2
255,premiere,2
256,prestige,2
257,prestigious,2
258,proactive,2
259,proactively,2
260,proficiency,2
261,proficient,2
262,proficiently,2
263,profitability,2
264,profitable,2
265,profitably,2
266,progress,2
267,progressed,2
268,progresses,2
269,progressing,2
270,prospered,2
271,prospering,2
272,prosperity,2
273,prosperous,2
274,prospers,2
275,rebound,2
276,rebounded,2
277,rebounding,2
278,receptive,2
279,regain,2
280,regained,2
281,regaining,2
282,resolve,2
283,revolutionize,2
284,revolutionized,2
285,revolutionizes,2
286,revolutionizing,2
287,reward,2
288,rewarded,2
289,rewarding,2
290,rewards,2
291,satisfaction,2
292,satisfactorily,2
293,satisfactory,2
294,satisfied,2
295,satisfies,2
296,satisfy,2
297,satisfying,2
298,smooth,2
299,smoothing,2
300,smoothly,2
301,smooths,2
302,solves,2
303,solving,2
304,spectacular,2
305,spectacularly,2
306,stability,2
307,stabilization,2
